Route_Id,Origin_Port,Destination_Port,Orgin_Port_Country,Destination_Port_Country,No_Of_Stops,Stops_Names,Stop_Points,Average_Transit_Days,Distance,Vessel_Type,No_Of_Travels,Total_Incidents_Count,Risk_Score
R0025,ALGECIRAS,BUENAVENTURA,SPAIN,COLOMBIA,0,"SINES,RODMAN",0,22,5257,Naval ship,2248,145,23
R0026,NAPLES,BUENAVENTURA,ITALY,COLOMBIA,0,"SINES,RODMAN",0,30,6255,Livestock carrier,1349,131,38
R0027,ALMERIA,BUENAVENTURA,SPAIN,COLOMBIA,0,"VALENCIA,SINES,RODMAN",0,36,5889,Bulk carrier,2884,109,14
R0028,ALGECIRAS,CARTAGENA,SPAIN,COLOMBIA,0,SINES,0,15,4215,Tank,785,138,60
R0029,ALMERIA,CARTAGENA,SPAIN,COLOMBIA,0,"VALENCIA,SINES",0,29,4847,Container Shipo,3126,136,17
R0030,ALICANTE,CARTAGENA,SPAIN,COLOMBIA,0,"VALENCIA,SINES",0,26,4711,Reefer ship,701,122,65
R0031,CARTAGENA,CARTAGENA,SPAIN,COLOMBIA,0,"VALENCIA,SINES",0,31,4756,Project cargo ship,2351,115,18
R0032,MALAGA,CARTAGENA,SPAIN,COLOMBIA,0,"VALENCIA,SINES",0,28,4965,Barge,2443,150,22
R0033,LAS PALMAS,CARTAGENA,SPAIN,COLOMBIA,0,SINES,0,34,4613,Dredgers,743,142,71
R0034,SANTA CRUZ DE TENERIFE,CARTAGENA,SPAIN,COLOMBIA,0,SINES,0,17,4633,Tugs,2467,141,21
R0035,NAPLES,CARTAGENA,ITALY,COLOMBIA,0,SINES,0,23,5213,Corvette,2374,160,25
R0036,PALERMO,CARTAGENA,ITALY,COLOMBIA,0,"GIOIA TAURO,SINES",0,46,5338,Reefer Vessel,2724,123,16
R0037,CASABLANCA,CARTAGENA,MOROCCO,COLOMBIA,0,SINES,0,20,4221,Frigate,3062,130,15
R0038,BEJAIA,CARTAGENA,ALGERIA,COLOMBIA,0,"VALENCIA,ANTWERP,SINES",0,51,7100,Offshore Ships,2954,135,17
R0039,SKIKDA,CARTAGENA,ALGERIA,COLOMBIA,0,"VALENCIA,SINES",0,37,4983,Heavy Lift Ships,1968,124,22
R0040,ORAN,CARTAGENA,ALGERIA,COLOMBIA,0,"VALENCIA,ANTWERP,SINES",0,36,7037,Panamax Ship,2785,134,18
R0041,TRAPANI,CARTAGENA,ITALY,COLOMBIA,0,"GIOIA TAURO,SINES",0,45,5397,Tanker,1266,128,37
R0042,TRAPANI,SAN ANTONIO,ITALY,CHILE,0,"GIOIA TAURO,SINES",0,58,8347,Canoe,1547,125,29
R0043,TRAPANI,RIO GRANDE,ITALY,BRAZIL,0,"GIOIA TAURO,SINES",0,55,7032,Hovercraft,1534,106,24
R0044,TRAPANI,VITORIA,ITALY,BRAZIL,0,"GIOIA TAURO,VALENCIA,RIO DE JANEIRO",0,52,5824,Submarine,2129,144,24
R0045,TRAPANI,BUENOS AIRES,ITALY,ARGENTINA,0,"GIOIA TAURO,SINES",0,51,6736,Yacht,602,124,78
R0046,TRAPANI,CORONEL,ITALY,CHILE,0,"GIOIA TAURO,SINES",0,61,8497,Sailboat,562,130,88
R0047,TRAPANI,TURBO,ITALY,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,53,5868,Gas carrier,1484,127,30
R0048,COLOMBO,HALDIA,SRI LANKA,INDIA,0,,0,4,1164,High-speed craft,2622,122,17
R0049,HALDIA,COLOMBO,INDIA,SRI LANKA,0,,0,7,1169,Tank,3072,117,13
R0050,COLOMBO,TUTICORIN,SRI LANKA,INDIA,0,,0,1,140,Container Shipo,884,132,56
R0051,TUTICORIN,COLOMBO,INDIA,SRI LANKA,0,,0,1,139,Reefer ship,2169,133,23
R0052,COLOMBO,ENNORE,SRI LANKA,INDIA,0,,0,2,601,Reefer ship,2710,143,19
R0053,ENNORE,COLOMBO,INDIA,SRI LANKA,0,,0,3,606,Project cargo ship,2149,116,20
R0054,HALDIA,TURBO,INDIA,COLOMBIA,0,"COLOMBO,SINES,CRISTOBAL",0,64,16028,Barge,3058,137,17
R0055,COCHIN,CARTAGENA,INDIA,COLOMBIA,0,"COLOMBO,SINES",0,46,14690,Dredgers,3191,124,14
R0056,COCHIN,CHATTOGRAM,INDIA,BANGLADESH,0,COLOMBO,0,12,1608,Tugs,2940,136,17
R0057,COCHIN,RIO GRANDE,INDIA,BRAZIL,0,"COLOMBO,SINES",0,56,16325,Corvette,2424,131,20
R0058,COCHIN,BUENOS AIRES,INDIA,ARGENTINA,0,"COLOMBO,SINES",0,52,16029,Reefer Vessel,2190,118,20
R0059,COCHIN,TURBO,INDIA,COLOMBIA,0,"COLOMBO,SINES,CRISTOBAL",0,54,15161,Frigate,1911,133,26
R0060,NEW MANGALORE,CARTAGENA,INDIA,COLOMBIA,0,"COLOMBO,SINES",0,48,14888,Offshore Ships,2931,128,16
R0061,NEW MANGALORE,CHATTOGRAM,INDIA,BANGLADESH,0,COLOMBO,0,14,1806,Panamax Ship,2125,135,26
R0062,NEW MANGALORE,TURBO,INDIA,COLOMBIA,0,"COLOMBO,SINES,CRISTOBAL",0,56,15359,Bulk carrier,1310,128,39
R0063,KOLKATA,TURBO,INDIA,COLOMBIA,0,"COLOMBO,SINES,CRISTOBAL",0,58,16001,Tank,1385,128,32
R0064,MALE,ENNORE,MALDIVES,INDIA,0,COLOMBO,0,6,1015,Container Shipo,2408,122,19
R0065,MALE,COCHIN,MALDIVES,INDIA,0,COLOMBO,0,7,741,Reefer ship,650,152,89
R0066,MALE,NEW MANGALORE,MALDIVES,INDIA,0,COLOMBO,0,5,917,Project cargo ship,3352,140,16
R0067,TUTICORIN,TURBO,INDIA,COLOMBIA,0,"COLOMBO,SINES,CRISTOBAL",0,56,14998,Barge,2717,125,18
R0068,VISAKHAPATNAM,TURBO,INDIA,COLOMBIA,0,"COLOMBO,SINES,CRISTOBAL",0,55,15733,Dredgers,822,130,56
R0069,COLOMBO,COCHIN,SRI LANKA,INDIA,0,,0,3,327,Tugs,937,114,42
R0070,COLOMBO,NEW MANGALORE,SRI LANKA,INDIA,0,,0,1,503,Corvette,2310,124,20
R0071,KOLKATA,COLOMBO,INDIA,SRI LANKA,0,,0,5,1142,Reefer Vessel,1512,117,27
R0072,COLOMBO,KOLKATA,SRI LANKA,INDIA,0,,0,5,1142,Frigate,2342,114,17
R0073,TUNIS,TURBO,TUNISIA,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,51,5983,Offshore Ships,1865,135,28
R0074,LA SPEZIA,FREMANTLE,ITALY,AUSTRALIA,0,,0,54,16293,Heavy Lift Ships,2709,151,21
R0075,LA SPEZIA,ADELAIDE,ITALY,AUSTRALIA,0,,0,48,14932,Panamax Ship,1821,118,23
R0076,LA SPEZIA,MELBOURNE,ITALY,AUSTRALIA,0,,0,44,14471,Tanker,2699,138,18
R0077,LA SPEZIA,SYDNEY,ITALY,AUSTRALIA,0,,0,40,13942,Canoe,2017,143,26
R0078,NAPLES,NELSON,ITALY,NEW ZEALAND,0,"LA SPEZIA,SYDNEY",0,56,15431,Hovercraft,2679,141,20
R0079,NAPLES,WELLINGTON,ITALY,NEW ZEALAND,0,"LA SPEZIA,SYDNEY",0,57,15505,Submarine,3208,120,14
R0080,NAPLES,PORT CHALMERS,ITALY,NEW ZEALAND,0,"LA SPEZIA,SYDNEY",0,61,15492,Yacht,2422,133,21
R0081,NAPLES,LYTTELTON,ITALY,NEW ZEALAND,0,"LA SPEZIA,SYDNEY",0,59,15738,Sailboat,659,133,78
R0082,NAPLES,SYDNEY,ITALY,AUSTRALIA,0,LA SPEZIA,0,45,14265,Gas carrier,1883,139,28
R0083,NAPLES,FREMANTLE,ITALY,AUSTRALIA,0,LA SPEZIA,0,59,16616,High-speed craft,801,125,61
R0084,NAPLES,ADELAIDE,ITALY,AUSTRALIA,0,LA SPEZIA,0,53,15255,High-speed craft,2844,139,17
R0085,NAPLES,MELBOURNE,ITALY,AUSTRALIA,0,LA SPEZIA,0,49,14794,Bulk carrier,510,106,79
R0086,NAPLES,AUCKLAND,ITALY,NEW ZEALAND,0,"LA SPEZIA,SYDNEY",0,52,15538,Tank,2420,115,18
R0087,VALENCIA,SYDNEY,SPAIN,AUSTRALIA,0,,0,43,14480,Container Shipo,567,117,79
R0088,VALENCIA,FREMANTLE,SPAIN,AUSTRALIA,0,,0,57,16831,Reefer ship,1796,115,24
R0089,VALENCIA,ADELAIDE,SPAIN,AUSTRALIA,0,,0,51,15470,Project cargo ship,2756,114,15
R0090,VALENCIA,MELBOURNE,SPAIN,AUSTRALIA,0,,0,47,15009,Barge,2077,149,26
R0091,ALICANTE,MELBOURNE,SPAIN,AUSTRALIA,0,VALENCIA,0,52,15118,Dredgers,657,129,75
R0092,CARTAGENA,MELBOURNE,SPAIN,AUSTRALIA,0,VALENCIA,0,57,15163,Tugs,2793,120,15
R0093,MALAGA,MELBOURNE,SPAIN,AUSTRALIA,0,VALENCIA,0,54,15372,Corvette,3436,130,14
R0094,ALGECIRAS,ADELAIDE,SPAIN,AUSTRALIA,0,LA SPEZIA,0,61,16616,Reefer Vessel,1721,117,25
R0095,ARRECIFE DE LANZAROTE,MELBOURNE,SPAIN,AUSTRALIA,0,VALENCIA,0,58,16077,Frigate,1617,119,27
R0096,SANTA CRUZ DE TENERIFE,MELBOURNE,SPAIN,AUSTRALIA,0,VALENCIA,0,59,16133,Offshore Ships,969,111,44
R0097,LAS PALMAS,MELBOURNE,SPAIN,AUSTRALIA,0,VALENCIA,0,59,16109,Heavy Lift Ships,3019,147,18
R0098,ALICANTE,FREMANTLE,SPAIN,AUSTRALIA,0,VALENCIA,0,62,16940,Panamax Ship,2209,125,21
R0099,ALICANTE,SYDNEY,SPAIN,AUSTRALIA,0,VALENCIA,0,48,14589,Tanker,718,137,68
R0100,ALICANTE,ADELAIDE,SPAIN,AUSTRALIA,0,VALENCIA,0,56,15579,Canoe,559,119,77
R0101,CARTAGENA,ADELAIDE,SPAIN,AUSTRALIA,0,VALENCIA,0,61,15624,Hovercraft,2556,140,21
R0102,MALAGA,SYDNEY,SPAIN,AUSTRALIA,0,VALENCIA,0,50,14843,Submarine,1514,124,30
R0103,MALAGA,ADELAIDE,SPAIN,AUSTRALIA,0,VALENCIA,0,58,15833,Yacht,750,118,57
R0104,CARTAGENA,FREMANTLE,SPAIN,AUSTRALIA,0,VALENCIA,0,67,16985,Sailboat,2979,106,13
R0105,CARTAGENA,SYDNEY,SPAIN,AUSTRALIA,0,VALENCIA,0,53,14634,Gas carrier,3144,140,16
R0106,ARRECIFE DE LANZAROTE,FREMANTLE,SPAIN,AUSTRALIA,0,VALENCIA,0,68,17899,High-speed craft,693,119,64
R0107,ARRECIFE DE LANZAROTE,SYDNEY,SPAIN,AUSTRALIA,0,VALENCIA,0,54,15548,Bulk carrier,2421,125,20
R0108,ARRECIFE DE LANZAROTE,ADELAIDE,SPAIN,AUSTRALIA,0,VALENCIA,0,62,16538,Tank,3465,128,14
R0109,LAS PALMAS,SYDNEY,SPAIN,AUSTRALIA,0,VALENCIA,0,55,15580,Container Shipo,1463,117,31
R0110,LAS PALMAS,FREMANTLE,SPAIN,AUSTRALIA,0,VALENCIA,0,69,17931,Reefer ship,1196,144,42
R0111,LAS PALMAS,ADELAIDE,SPAIN,AUSTRALIA,0,VALENCIA,0,63,16570,Project cargo ship,1175,123,40
R0112,DAMIETTA,FREMANTLE,EGYPT,AUSTRALIA,0,VALENCIA,0,63,18468,Barge,1569,134,33
R0113,DAMIETTA,MELBOURNE,EGYPT,AUSTRALIA,0,VALENCIA,0,53,16646,Dredgers,1114,125,41
R0114,ALMERIA,SYDNEY,SPAIN,AUSTRALIA,0,VALENCIA,0,51,14725,Tugs,1502,126,29
R0115,CHATTOGRAM,LYTTELTON,BANGLADESH,NEW ZEALAND,0,SINGAPORE,0,42,8379,Corvette,1741,118,23
R0116,CHATTOGRAM,PORT CHALMERS,BANGLADESH,NEW ZEALAND,0,SINGAPORE,0,44,8564,Reefer Vessel,2629,125,17
R0117,CHATTOGRAM,WELLINGTON,BANGLADESH,NEW ZEALAND,0,SINGAPORE,0,40,8223,Frigate,2876,134,17
R0118,LA SPEZIA,BLUFF,ITALY,NEW ZEALAND,0,ADELAIDE,0,55,16556,Offshore Ships,1553,121,29
R0119,LA SPEZIA,TAURANGA,ITALY,NEW ZEALAND,0,ADELAIDE,0,60,17067,Heavy Lift Ships,596,113,71
R0120,LA SPEZIA,NAPIER,ITALY,NEW ZEALAND,0,ADELAIDE,0,58,17168,Panamax Ship,766,114,53
R0121,FOS-SUR-MER,TAURANGA,FRANCE,NEW ZEALAND,0,ADELAIDE,0,58,16826,Tanker,1435,127,33
R0122,FOS-SUR-MER,NAPIER,FRANCE,NEW ZEALAND,0,ADELAIDE,0,56,16927,Canoe,2037,127,22
R0123,FOS-SUR-MER,BLUFF,FRANCE,NEW ZEALAND,0,ADELAIDE,0,53,16315,Hovercraft,733,132,66
R0124,NAPLES,BLUFF,ITALY,NEW ZEALAND,0,"LA SPEZIA,ADELAIDE",0,60,16879,Submarine,504,128,91
R0125,NAPLES,TAURANGA,ITALY,NEW ZEALAND,0,"LA SPEZIA,ADELAIDE",0,65,17390,Yacht,716,132,69
R0126,NAPLES,NAPIER,ITALY,NEW ZEALAND,0,"LA SPEZIA,ADELAIDE",0,63,17491,Sailboat,2751,144,19
R0127,VALENCIA,BLUFF,SPAIN,NEW ZEALAND,0,ADELAIDE,0,58,17094,Gas carrier,1631,127,27
R0128,VALENCIA,NAPIER,SPAIN,NEW ZEALAND,0,ADELAIDE,0,61,17706,High-speed craft,1756,144,31
R0129,CHATTOGRAM,MELBOURNE,BANGLADESH,AUSTRALIA,0,SINGAPORE,0,24,5516,Yacht,2147,106,19
R0130,CHATTOGRAM,ADELAIDE,BANGLADESH,AUSTRALIA,0,SINGAPORE,0,22,5181,Sailboat,964,122,48
R0131,CHATTOGRAM,FREMANTLE,BANGLADESH,AUSTRALIA,0,SINGAPORE,0,17,3828,Gas carrier,2713,117,16
R0132,CHATTOGRAM,NAPIER,BANGLADESH,NEW ZEALAND,0,SINGAPORE,0,32,7417,High-speed craft,3176,132,15
R0133,CHATTOGRAM,TAURANGA,BANGLADESH,NEW ZEALAND,0,SINGAPORE,0,34,7697,Passenger ship,3396,137,15
R0134,ALGECIRAS,TAURANGA,SPAIN,NEW ZEALAND,0,SINGAPORE,0,54,17024,Roll-on/roll-off,3272,135,16
R0135,ALGECIRAS,MELBOURNE,SPAIN,AUSTRALIA,0,SINGAPORE,0,44,14843,Naval ship,912,125,49
R0136,ALGECIRAS,BLUFF,SPAIN,NEW ZEALAND,0,SINGAPORE,0,49,16132,Livestock carrier,1490,106,28
R0137,ALGECIRAS,ADELAIDE,SPAIN,AUSTRALIA,0,SINGAPORE,0,42,14508,Bulk carrier,2044,127,22
R0138,ALGECIRAS,NAPIER,SPAIN,NEW ZEALAND,0,SINGAPORE,0,52,16744,Tank,2855,133,16
R0139,ALGECIRAS,FREMANTLE,SPAIN,AUSTRALIA,0,SINGAPORE,0,37,13155,Container Shipo,1081,131,43
R0140,HAIFA,MELBOURNE,ISRAEL,AUSTRALIA,0,VALENCIA,0,55,16769,Reefer ship,1827,127,24
R0141,HAIFA,SYDNEY,ISRAEL,AUSTRALIA,0,VALENCIA,0,51,16240,Project cargo ship,994,123,45
R0142,ASHDOD,SYDNEY,ISRAEL,AUSTRALIA,0,VALENCIA,0,54,16240,Barge,1032,130,46
R0143,ASHDOD,ADELAIDE,ISRAEL,AUSTRALIA,0,VALENCIA,0,62,17230,Dredgers,1685,132,28
R0144,ASHDOD,MELBOURNE,ISRAEL,AUSTRALIA,0,VALENCIA,0,58,16769,Tugs,1486,128,29
R0145,ASHDOD,FREMANTLE,ISRAEL,AUSTRALIA,0,VALENCIA,0,68,18591,Corvette,3399,117,12
R0146,HAIFA,ADELAIDE,ISRAEL,AUSTRALIA,0,VALENCIA,0,59,17230,Reefer Vessel,2338,117,17
R0147,HAIFA,FREMANTLE,ISRAEL,AUSTRALIA,0,VALENCIA,0,65,18591,Frigate,3387,123,14
R0148,ASHDOD,BLUFF,ISRAEL,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,69,18854,Offshore Ships,2020,144,25
R0149,ASHDOD,TAURANGA,ISRAEL,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,74,19365,Heavy Lift Ships,2831,109,13
R0150,ASHDOD,NAPIER,ISRAEL,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,72,19466,Panamax Ship,3028,128,16
R0151,HAIFA,TAURANGA,ISRAEL,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,71,19365,Tanker,2735,140,19
R0152,HAIFA,BLUFF,ISRAEL,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,66,18854,Canoe,2444,114,18
R0153,HAIFA,NAPIER,ISRAEL,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,69,19466,Hovercraft,1056,113,40
R0154,FOS-SUR-MER,BRISBANE,FRANCE,AUSTRALIA,0,SYDNEY,0,44,14186,Submarine,1181,128,40
R0155,LA SPEZIA,BRISBANE,ITALY,AUSTRALIA,0,SYDNEY,0,46,14427,Yacht,3325,131,14
R0156,ALGER,ADELAIDE,ALGERIA,AUSTRALIA,0,LA SPEZIA,0,59,15468,Sailboat,2821,125,16
R0157,ALGER,FREMANTLE,ALGERIA,AUSTRALIA,0,LA SPEZIA,0,65,16829,Gas carrier,561,128,80
R0158,ALGER,MELBOURNE,ALGERIA,AUSTRALIA,0,LA SPEZIA,0,55,15007,High-speed craft,3215,122,14
R0159,ALGER,SYDNEY,ALGERIA,AUSTRALIA,0,LA SPEZIA,0,51,14478,Frigate,2124,123,21
R0160,ALGER,BRISBANE,ALGERIA,AUSTRALIA,0,"LA SPEZIA,SYDNEY",0,57,14963,Offshore Ships,3037,123,15
R0161,NAPLES,BRISBANE,ITALY,AUSTRALIA,0,"LA SPEZIA,SYDNEY",0,51,14750,Bulk carrier,3453,129,14
R0162,ALGER,BLUFF,ALGERIA,NEW ZEALAND,0,"LA SPEZIA,MELBOURNE",0,66,16171,Tank,836,125,57
R0163,ALGER,NAPIER,ALGERIA,NEW ZEALAND,0,"LA SPEZIA,MELBOURNE",0,69,16741,Container Shipo,1060,127,46
R0164,ALGER,TAURANGA,ALGERIA,NEW ZEALAND,0,"LA SPEZIA,MELBOURNE",0,71,16701,Reefer ship,3354,107,12
R0165,ISTANBUL,SUAPE,TURKIYE,BRAZIL,0,"SINES,SANTOS",0,42,7875,Project cargo ship,2959,139,16
R0166,ALMERIA,MELBOURNE,SPAIN,AUSTRALIA,0,VALENCIA,0,55,15254,Barge,2744,125,17
R0167,ALMERIA,FREMANTLE,SPAIN,AUSTRALIA,0,VALENCIA,0,65,17076,Dredgers,2192,114,20
R0168,ALMERIA,BLUFF,SPAIN,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,66,17339,Tugs,1565,142,34
R0169,ALMERIA,NAPIER,SPAIN,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,69,17951,Corvette,2115,131,24
R0170,ALMERIA,ADELAIDE,SPAIN,AUSTRALIA,0,VALENCIA,0,59,15715,Reefer Vessel,2806,123,15
R0171,RIJEKA,MELBOURNE,CROATIA,AUSTRALIA,0,SINGAPORE,0,54,16729,Frigate,3343,108,12
R0172,RIJEKA,ADELAIDE,CROATIA,AUSTRALIA,0,SINGAPORE,0,52,16394,Offshore Ships,1881,106,19
R0173,TRIESTE,ADELAIDE,ITALY,AUSTRALIA,0,SINGAPORE,0,49,16261,Heavy Lift Ships,1146,117,38
R0174,TRIESTE,MELBOURNE,ITALY,AUSTRALIA,0,SINGAPORE,0,51,16596,Panamax Ship,1775,117,24
R0175,KOPER,TAURANGA,SLOVENIA,NEW ZEALAND,0,SINGAPORE,0,68,19066,Tanker,2329,131,21
R0176,KOPER,BLUFF,SLOVENIA,NEW ZEALAND,0,SINGAPORE,0,63,18174,Canoe,1500,123,27
R0177,RIJEKA,BLUFF,CROATIA,NEW ZEALAND,0,SINGAPORE,0,59,18018,Hovercraft,3021,116,14
R0178,TRIESTE,FREMANTLE,ITALY,AUSTRALIA,0,SINGAPORE,0,44,14908,Submarine,1776,99,20
R0179,RIJEKA,FREMANTLE,CROATIA,AUSTRALIA,0,SINGAPORE,0,47,15041,Yacht,1062,118,44
R0180,KOPER,NAPIER,SLOVENIA,NEW ZEALAND,0,SINGAPORE,0,66,18786,Sailboat,1065,135,47
R0181,TRIESTE,TAURANGA,ITALY,NEW ZEALAND,0,SINGAPORE,0,61,18777,Gas carrier,2981,122,15
R0182,TRIESTE,NAPIER,ITALY,NEW ZEALAND,0,SINGAPORE,0,59,18497,High-speed craft,1107,139,47
R0183,TRIESTE,BLUFF,ITALY,NEW ZEALAND,0,SINGAPORE,0,56,17885,Offshore Ships,1829,111,22
R0184,SANTA CRUZ DE TENERIFE,ADELAIDE,SPAIN,AUSTRALIA,0,VALENCIA,0,63,16594,Sailboat,1516,112,28
R0185,SANTA CRUZ DE TENERIFE,FREMANTLE,SPAIN,AUSTRALIA,0,VALENCIA,0,69,17955,Gas carrier,1092,123,40
R0186,SANTA CRUZ DE TENERIFE,SYDNEY,SPAIN,AUSTRALIA,0,VALENCIA,0,55,15604,High-speed craft,1164,117,39
R0187,SANTA CRUZ DE TENERIFE,NAPIER,SPAIN,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,73,18830,Passenger ship,2907,117,14
R0188,SANTA CRUZ DE TENERIFE,BLUFF,SPAIN,NEW ZEALAND,0,"VALENCIA,ADELAIDE",0,70,18218,Roll-on/roll-off,2314,137,22
R0189,NAPLES,SAN ANTONIO,ITALY,CHILE,0,SINES,0,36,8163,Naval ship,749,119,59
R0190,ALGECIRAS,SAN ANTONIO,SPAIN,CHILE,0,"SINES,RODMAN",0,28,7562,Livestock carrier,2711,132,18
R0191,ALGECIRAS,VALPARAISO,SPAIN,CHILE,0,SINES,0,32,7839,Barge,2824,143,19
R0192,ALGECIRAS,SAN ANTONIO,SPAIN,CHILE,0,SINES,0,28,7165,Dredgers,910,141,57
R0193,NAPLES,CALLAO,ITALY,PERU,0,SINES,0,32,7008,Tugs,2267,140,23
R0194,ALGECIRAS,CALLAO,SPAIN,PERU,0,SINES,0,24,6010,Corvette,2081,127,23
R0195,ALGECIRAS,CORONEL,SPAIN,CHILE,0,SINES,0,31,7315,Reefer Vessel,3172,112,13
R0196,NAPLES,CORONEL,ITALY,CHILE,0,SINES,0,39,8313,Frigate,600,140,84
R0197,BEJAIA,CORONEL,ALGERIA,CHILE,0,"VALENCIA,SINES",0,39,8006,Offshore Ships,1660,128,28
R0198,SANTA CRUZ DE TENERIFE,VALPARAISO,SPAIN,CHILE,0,SINES,0,34,8257,Panamax Ship,2200,126,22
R0199,ASHDOD,CARTAGENA,ISRAEL,COLOMBIA,0,ANTWERP,0,39,8507,Bulk carrier,1384,125,32
R0200,ASHDOD,CALLAO,ISRAEL,PERU,0,ANTWERP,0,48,10191,Tank,3148,117,13
R0201,HAIFA,CALLAO,ISRAEL,PERU,0,ANTWERP,0,45,10206,Tank,3059,128,16
R0202,HAIFA,CORONEL,ISRAEL,CHILE,0,ANTWERP,0,52,11766,Barge,2528,151,22
R0203,HAIFA,SAN ANTONIO,ISRAEL,CHILE,0,ANTWERP,0,49,11537,Dredgers,3230,134,15
R0204,ASHDOD,SAN ANTONIO,ISRAEL,CHILE,0,ANTWERP,0,52,11522,Tugs,2541,152,23
R0205,ANNABA,CORONEL,ALGERIA,CHILE,0,"VALENCIA,ANTWERP",0,48,10570,Corvette,2608,109,17
R0206,DAMIETTA,SAN ANTONIO,EGYPT,CHILE,0,"ANTWERP,CAUCEDO",0,54,11632,Reefer Vessel,1315,127,36
R0207,DAMIETTA,CORONEL,EGYPT,CHILE,0,ANTWERP,0,50,12387,Frigate,1429,130,32
R0208,DAMIETTA,CALLAO,EGYPT,PERU,0,ANTWERP,0,43,10827,Offshore Ships,668,111,60
