RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Scaled_RiskScore,Risk_Category
47,PortA,PortX,1,0,5,81,0,18,1573,16,regular,congested areas,745,567547,1008774,compliant,no,in place,hazardous,bulk carrier,14,353462,43114.025,56.96731658719376,Medium
48,PortC,PortX,1,2,2,52,1,18,1682,9,irregular,congested areas,942,356109,953018,compliant,yes,not in place,hazardous,container,9,487004,27323.98,30.70541851766228,Medium
49,PortB,PortX,0,1,6,81,1,18,1339,15,regular,clear,824,246777,1083755,non-compliant,no,in place,hazardous,bulk carrier,8,186712,19013.654999999995,16.88374112062642,Low
50,PortC,PortX,1,0,6,63,1,21,1798,15,regular,congested areas,912,400858,849140,non-compliant,no,not in place,hazardous,container,9,373531,30703.475,36.32617217710349,Medium
51,PortB,PortY,0,2,5,83,0,18,1445,16,regular,congested areas,702,470479,1000474,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,295989,35793.645,44.792109145401355,Medium
52,PortA,PortZ,0,1,1,40,1,21,1495,12,regular,clear,946,376761,714956,non-compliant,no,in place,hazardous,bulk carrier,15,362415,28826.53,33.20444970752745,Medium
53,PortA,PortZ,1,1,4,85,0,28,1350,15,regular,clear,900,298517,1011063,compliant,yes,in place,hazardous,bulk carrier,10,420978,22914.594999999998,23.37175864403171,Low
54,PortC,PortZ,0,0,4,18,1,23,1015,13,regular,clear,687,445243,1242958,compliant,no,not in place,hazardous,container,3,372080,33791.13999999999,41.461556116975714,Medium
55,PortC,PortZ,1,3,6,82,2,18,1676,15,regular,congested areas,970,415532,800771,non-compliant,no,in place,hazardous,bulk carrier,14,248977,31785.379999999997,38.125589394148555,Medium
56,PortB,PortZ,0,4,2,57,2,24,1647,13,irregular,congested areas,902,282907,836029,compliant,no,in place,non-hazardous,bulk carrier,13,299875,21819.21,21.549921580432866,Low
57,PortB,PortX,1,0,5,27,0,18,1443,14,regular,congested areas,767,405147,843497,non-compliant,no,in place,hazardous,container,14,492659,30906.124999999996,36.66321831242421,Medium
58,PortC,PortY,0,1,1,96,2,11,1513,13,irregular,congested areas,769,448925,969499,compliant,yes,in place,non-hazardous,container,16,382893,34205.805,42.15122419347597,Medium
59,PortB,PortX,0,1,0,20,2,15,1603,16,irregular,congested areas,734,466252,790544,compliant,yes,not in place,non-hazardous,container,15,434031,35522.020000000004,44.3403442477626,Medium
60,PortB,PortY,1,0,4,71,1,12,1187,16,regular,clear,649,363435,1013187,non-compliant,no,in place,hazardous,bulk carrier,18,375029,27688.445,31.31159428726344,Medium
61,PortB,PortY,0,3,0,93,0,18,1394,14,irregular,congested areas,939,342899,1077025,non-compliant,yes,not in place,hazardous,bulk carrier,12,430911,26260.32,28.936346263552952,Low
62,PortC,PortY,1,4,1,28,1,20,1658,15,irregular,congested areas,946,463701,1030152,compliant,yes,not in place,non-hazardous,bulk carrier,9,310385,35389.3,44.119605224423005,Medium
63,PortA,PortY,0,2,6,99,1,26,1249,12,regular,clear,733,266849,684737,non-compliant,no,not in place,hazardous,container,17,273248,20480.975,19.32417800825942,Low
64,PortA,PortZ,0,0,4,83,1,21,1558,14,irregular,clear,946,406404,1099275,compliant,yes,in place,hazardous,container,16,426369,31065.32,36.92799038008958,Medium
65,PortB,PortY,0,4,4,33,1,19,1228,14,regular,clear,736,263534,1090605,compliant,yes,not in place,non-hazardous,bulk carrier,10,462737,20225.964999999997,18.900047068372213,Low
66,PortC,PortY,1,4,5,22,1,23,1593,20,regular,clear,844,448158,1074524,compliant,no,not in place,non-hazardous,container,17,258571,34187.344999999994,42.120521643966846,Medium
67,PortB,PortZ,1,1,0,55,1,11,1492,12,regular,congested areas,708,343976,1005926,compliant,no,not in place,non-hazardous,container,12,292405,26317.195,29.030940386160243,Low
68,PortA,PortX,1,2,6,62,1,20,1176,17,regular,congested areas,912,468170,983028,non-compliant,no,not in place,non-hazardous,bulk carrier,18,333677,35596.700000000004,44.46455152822524,Medium
69,PortB,PortX,1,0,5,38,0,23,1732,16,regular,clear,886,414912,1104858,compliant,no,not in place,non-hazardous,bulk carrier,20,511982,31735.545,38.04270415282751,Medium
70,PortA,PortX,1,1,3,45,2,14,1353,15,regular,congested areas,620,272458,1238527,compliant,yes,in place,non-hazardous,container,25,406313,20901.94,20.024324202956162,Low
71,PortC,PortX,0,1,0,80,1,24,1337,18,regular,clear,689,474849,807043,compliant,no,not in place,hazardous,bulk carrier,12,217591,36092.94499999999,45.28990291940331,Medium
72,PortB,PortY,0,3,0,26,1,21,1540,15,irregular,congested areas,895,491134,1111718,non-compliant,yes,in place,hazardous,container,19,340701,37406.649999999994,47.474848358344985,Medium
73,PortC,PortZ,1,4,3,57,1,18,1729,15,regular,congested areas,711,436853,937067,compliant,yes,not in place,hazardous,container,16,325412,33345.585,40.720511997445335,Medium
74,PortB,PortZ,0,0,1,86,1,22,1296,14,irregular,congested areas,900,300706,930549,non-compliant,no,not in place,hazardous,bulk carrier,16,232673,23064.225000000002,23.62062226716541,Low
75,PortB,PortX,0,0,1,33,1,29,1512,17,regular,clear,676,342494,719520,non-compliant,yes,in place,hazardous,bulk carrier,14,339520,26208.505,28.850167899370152,Low
76,PortB,PortZ,0,0,4,63,1,20,1585,17,regular,clear,776,377683,907281,non-compliant,yes,in place,hazardous,container,16,320996,28883.545,33.29927667720577,Medium
77,PortB,PortY,0,1,2,94,2,20,1638,13,regular,congested areas,942,309395,800410,non-compliant,yes,not in place,hazardous,container,5,313836,23809.355,24.85991753887299,Low
78,PortB,PortX,1,3,5,10,2,18,1535,12,irregular,congested areas,747,500850,880421,non-compliant,no,not in place,hazardous,bulk carrier,11,309261,38104.845,48.63608164948866,Medium
79,PortC,PortY,0,2,2,88,1,16,1426,14,irregular,clear,700,386403,785272,non-compliant,yes,not in place,hazardous,container,8,497139,29482.53,34.29550455465503,Medium
80,PortC,PortY,1,1,4,76,2,23,1334,13,irregular,clear,845,149413,882663,non-compliant,no,not in place,non-hazardous,container,8,313629,11716.865,4.747768410303151,Low
81,PortA,PortY,1,2,2,15,0,16,1517,14,irregular,congested areas,716,394896,889083,compliant,no,not in place,non-hazardous,container,4,354967,30145.854999999996,35.39874229317775,Medium
82,PortB,PortY,0,3,0,87,1,20,1285,17,irregular,congested areas,691,339353,964513,compliant,yes,in place,hazardous,container,9,344123,25918.05,28.3670850706774,Low
83,PortA,PortY,1,4,0,64,0,18,915,14,irregular,clear,627,358980,707787,non-compliant,yes,not in place,hazardous,container,11,299498,27284.695,30.640079966336973,Medium
84,PortC,PortX,0,0,3,47,0,21,1587,14,regular,congested areas,624,338407,733172,non-compliant,no,not in place,non-hazardous,bulk carrier,12,357950,25908.46,28.351135046311626,Low
85,PortA,PortY,0,2,3,42,1,21,1680,15,regular,clear,657,432390,1004287,non-compliant,no,in place,non-hazardous,container,11,356535,32987.515,40.12497234941032,Medium
86,PortC,PortX,0,1,4,17,2,24,1027,16,irregular,clear,896,457473,830384,compliant,no,in place,non-hazardous,container,17,357975,34754.32,43.063510701817705,Medium
87,PortB,PortZ,1,2,4,99,0,17,1298,10,irregular,congested areas,733,385848,1111179,non-compliant,no,not in place,hazardous,bulk carrier,7,264076,29416.44,34.185584105193655,Medium
88,PortA,PortY,1,4,6,88,1,18,1623,13,irregular,congested areas,930,339324,983790,compliant,no,in place,non-hazardous,bulk carrier,2,329387,26048.705,28.584389599719263,Low
89,PortA,PortY,1,0,4,87,0,16,1911,15,irregular,congested areas,848,367994,1041014,compliant,yes,in place,non-hazardous,bulk carrier,14,426032,28252.295,32.24938586585015,Medium
90,PortA,PortZ,0,2,0,29,0,18,1504,17,irregular,clear,637,368168,1161603,non-compliant,no,in place,non-hazardous,container,11,332018,28122.024999999998,32.032721666253636,Medium
91,PortA,PortX,0,4,2,64,0,21,1354,14,regular,clear,989,304114,903543,compliant,yes,not in place,hazardous,container,11,366178,23351.754999999997,24.098840255266914,Low
92,PortB,PortY,0,1,5,57,0,23,1463,11,regular,clear,674,414649,863826,non-compliant,no,not in place,non-hazardous,bulk carrier,8,366703,31606.22,37.827611670960486,Medium
93,PortC,PortZ,1,3,6,92,2,16,1774,16,regular,congested areas,741,406390,1080755,non-compliant,yes,not in place,hazardous,bulk carrier,16,391739,31077.85,36.948830192947064,Medium
94,PortC,PortZ,0,1,6,65,0,23,1370,13,regular,congested areas,921,493528,1026427,non-compliant,no,in place,non-hazardous,bulk carrier,9,405865,37548.505,47.71078065306951,Medium
95,PortB,PortY,0,0,6,97,0,25,1340,12,regular,clear,767,467057,921900,compliant,yes,not in place,non-hazardous,bulk carrier,7,332584,35524.600000000006,44.344635286643076,Medium
96,PortC,PortX,1,1,4,19,0,21,1403,13,regular,clear,858,308089,1158718,non-compliant,yes,not in place,hazardous,bulk carrier,20,258866,23635.739999999998,24.571162222891193,Low
97,PortA,PortX,1,1,4,61,2,27,1309,14,regular,congested areas,972,427030,918163,compliant,no,in place,non-hazardous,container,15,228128,32557.995000000003,39.410597535480086,Medium
98,PortB,PortY,1,1,0,59,0,16,1524,13,regular,clear,954,296512,954916,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,451768,22815.42,23.20681144210507,Low
99,PortC,PortZ,0,1,5,43,0,15,1824,10,irregular,congested areas,824,427025,953183,non-compliant,no,in place,non-hazardous,container,0,427025,32653.024999999998,39.56865080091076,Medium
100,PortB,PortY,0,0,0,45,2,12,1564,16,irregular,congested areas,751,329417,809810,non-compliant,no,in place,hazardous,container,10,414936,25252.149999999998,27.259564609241032,Low
101,PortB,PortX,0,4,5,70,2,25,1449,17,regular,clear,618,289695,961637,non-compliant,yes,in place,hazardous,bulk carrier,11,431120,22221.75,22.219423437388254,Low
102,PortC,PortZ,1,2,0,25,2,22,1441,16,regular,clear,745,389095,1159514,non-compliant,yes,in place,hazardous,bulk carrier,19,333844,29699.025,34.655577602107606,Medium
103,PortC,PortY,1,3,2,88,0,19,1187,12,regular,clear,840,150410,1016745,compliant,no,not in place,non-hazardous,bulk carrier,3,287512,11752.155,4.806462504137196,Low
104,PortB,PortZ,1,2,4,27,2,21,1676,14,irregular,clear,971,222519,954659,non-compliant,no,not in place,hazardous,bulk carrier,19,251959,17310.265,14.050674175430311,Low
105,PortB,PortX,1,2,1,80,2,15,1484,14,irregular,clear,980,347853,925734,non-compliant,no,not in place,non-hazardous,bulk carrier,14,241065,26662.375,29.60504147172655,Low
106,PortC,PortX,0,3,1,56,0,29,1463,16,regular,congested areas,943,380156,999630,non-compliant,yes,in place,non-hazardous,container,5,471215,29075.205,33.6180443174504,Medium
107,PortB,PortX,0,0,4,95,2,20,2138,16,irregular,clear,836,335488,1062464,compliant,yes,not in place,non-hazardous,bulk carrier,16,300685,25869.764999999996,28.286777779071368,Low
108,PortC,PortY,0,3,6,41,0,20,1559,13,regular,congested areas,634,246419,1041385,non-compliant,no,not in place,non-hazardous,bulk carrier,10,455485,19005.075,16.869470921558815,Low
109,PortB,PortZ,0,0,4,52,1,22,1349,15,regular,clear,789,301134,900220,non-compliant,yes,in place,non-hazardous,container,3,331311,23086.52,23.657703163227467,Low
110,PortB,PortY,0,2,4,92,2,21,1414,15,regular,clear,600,395415,998717,non-compliant,yes,in place,non-hazardous,bulk carrier,9,282375,30136.670000000002,35.3834658621246,Medium
111,PortB,PortY,0,0,4,49,1,20,1729,17,regular,clear,752,408570,1021990,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,240563,31231.39,37.20419690213604,Medium
112,PortC,PortY,0,4,6,74,0,16,1522,16,regular,clear,725,363261,798920,compliant,no,in place,non-hazardous,bulk carrier,12,291184,27775.755,31.456807699920002,Medium
113,PortA,PortY,0,3,5,44,2,21,1212,16,irregular,clear,944,467137,975234,non-compliant,no,not in place,hazardous,container,15,491823,35535.095,44.36209050100375,Medium
114,PortC,PortZ,1,4,2,78,0,27,1683,15,regular,clear,999,393870,625804,compliant,yes,in place,hazardous,bulk carrier,17,241578,30169.685,35.43837619105435,Medium
115,PortB,PortZ,1,2,1,59,1,25,1366,17,regular,congested areas,825,318287,1022380,compliant,yes,in place,non-hazardous,bulk carrier,6,561674,24386.329999999998,25.81953853036908,Low
116,PortA,PortY,0,3,3,21,0,26,1874,15,regular,clear,820,340856,1049051,compliant,no,not in place,hazardous,bulk carrier,11,265939,26204.86,28.844105559556464,Low
117,PortA,PortY,1,2,1,85,2,17,1716,13,regular,clear,810,259020,1062131,compliant,yes,in place,hazardous,bulk carrier,8,424994,20023.605,18.563483259127192,Low
118,PortB,PortX,0,4,1,94,2,16,1410,17,irregular,clear,624,358122,890742,non-compliant,no,in place,hazardous,container,5,335474,27343.154999999995,30.73731025042702,Medium
119,PortC,PortX,0,2,6,67,1,19,1756,16,regular,clear,615,454865,996357,non-compliant,no,in place,non-hazardous,bulk carrier,11,317944,34683.28,42.94535744520194,Medium
120,PortA,PortZ,1,3,0,92,0,20,1513,14,regular,congested areas,781,415966,1163593,compliant,no,not in place,hazardous,container,14,222857,31739.069999999996,38.048566909437454,Medium
121,PortA,PortX,0,3,4,72,2,24,1670,14,irregular,congested areas,928,479168,1162065,compliant,no,not in place,non-hazardous,bulk carrier,14,340160,36549.615,46.049433433180376,Medium
122,PortC,PortZ,0,2,4,82,1,13,1596,15,regular,congested areas,728,337477,945624,compliant,no,not in place,hazardous,bulk carrier,10,234171,25860.289999999997,28.271019021942504,Low
123,PortC,PortZ,0,3,4,58,2,26,1330,15,regular,congested areas,641,466780,970897,non-compliant,no,in place,hazardous,bulk carrier,6,181842,35478.369999999995,44.26774585740113,Medium
124,PortA,PortZ,0,3,0,45,2,19,1371,15,regular,congested areas,935,352633,1116636,compliant,no,in place,hazardous,container,8,361959,26984.15,30.140215516596186,Medium
125,PortC,PortX,0,2,6,63,0,18,1705,15,regular,congested areas,835,482049,724879,compliant,yes,in place,non-hazardous,bulk carrier,2,286457,36752.704999999994,46.3872113735815,Medium
126,PortA,PortX,0,4,2,56,2,15,1433,18,irregular,clear,959,374173,901538,compliant,no,in place,non-hazardous,bulk carrier,6,518434,28619.285,32.859761198696724,Medium
127,PortB,PortZ,0,3,2,41,0,13,1419,17,regular,clear,633,429078,1150335,compliant,yes,not in place,non-hazardous,container,6,450002,32666.604999999996,39.591236966801,Medium
128,PortC,PortZ,1,3,6,62,2,23,1308,15,regular,congested areas,944,493996,1096280,compliant,yes,not in place,non-hazardous,bulk carrier,16,519743,37574.125,47.75339166706862,Medium
129,PortA,PortY,1,3,3,41,1,20,1584,16,irregular,clear,980,348621,1005389,non-compliant,yes,in place,non-hazardous,bulk carrier,16,281911,26746.140000000003,29.744358863905884,Low
130,PortC,PortZ,0,3,2,71,2,14,1912,12,regular,clear,644,385651,724125,compliant,no,not in place,non-hazardous,bulk carrier,22,363613,29536.055,34.38452697949117,Medium
131,PortC,PortZ,1,2,6,46,0,14,1286,15,regular,clear,733,457505,942513,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,87932,34786.125,43.11640856677639,Medium
132,PortA,PortY,0,4,2,47,0,18,1504,18,irregular,clear,620,355450,861512,non-compliant,no,not in place,non-hazardous,container,9,321819,27165.555,30.44192710888761,Medium
133,PortB,PortZ,0,4,4,39,1,26,1782,14,regular,clear,721,262321,999655,non-compliant,no,in place,non-hazardous,container,12,359849,20272.645,18.97768493462819,Low
134,PortA,PortZ,0,0,5,67,2,18,1484,13,irregular,congested areas,669,539710,828597,non-compliant,yes,not in place,hazardous,container,11,365404,40989.495,53.43381238846211,Medium
135,PortC,PortZ,0,3,6,41,2,13,1590,13,regular,congested areas,951,329707,796141,non-compliant,yes,not in place,hazardous,bulk carrier,8,345763,25321.35,27.374657590066082,Low
136,PortA,PortY,1,3,1,75,1,19,1287,12,irregular,congested areas,960,380533,640270,compliant,yes,not in place,non-hazardous,bulk carrier,13,356659,29061.175,33.59470971454612,Medium
137,PortC,PortX,1,0,2,60,2,18,1585,13,regular,congested areas,647,446414,1133270,non-compliant,yes,not in place,hazardous,bulk carrier,12,78675,34013.13,41.830768411966346,Medium
138,PortA,PortZ,1,4,2,20,2,9,1462,14,regular,congested areas,638,320101,890034,non-compliant,no,not in place,hazardous,bulk carrier,11,375622,24505.980000000003,26.018539616434357,Low
139,PortB,PortY,1,1,0,68,0,19,1697,12,irregular,congested areas,886,289287,973571,compliant,yes,in place,non-hazardous,container,10,398343,22304.374999999996,22.356844789132026,Low
140,PortB,PortZ,0,1,3,29,2,19,1737,15,regular,clear,609,394489,949664,non-compliant,yes,not in place,non-hazardous,bulk carrier,15,483802,30149.01,35.403989668242815,Medium
141,PortB,PortY,1,4,5,46,2,22,2017,16,irregular,congested areas,629,225897,789884,compliant,yes,not in place,hazardous,container,9,386873,17581.319999999996,14.501491052851291,Low
142,PortB,PortZ,0,3,0,82,1,27,1615,13,irregular,clear,843,343813,761140,compliant,yes,in place,non-hazardous,bulk carrier,9,336926,26367.074999999997,29.11390047118268,Low
143,PortA,PortY,0,1,4,58,1,24,1565,18,irregular,clear,873,392627,799202,compliant,yes,not in place,hazardous,bulk carrier,14,460494,30020.44,35.190152897366005,Medium
144,PortB,PortX,1,2,1,28,0,18,1538,16,irregular,congested areas,687,334117,841524,compliant,no,in place,non-hazardous,container,17,114266,25587.28,27.816950601493886,Low
145,PortA,PortX,0,2,3,64,2,15,1429,17,regular,congested areas,843,241449,1004990,compliant,no,in place,hazardous,bulk carrier,16,298505,18640.14,16.262513451076337,Low
146,PortC,PortX,1,0,0,49,2,30,1567,13,irregular,congested areas,980,491205,830642,non-compliant,no,in place,non-hazardous,container,10,273419,37438.2,47.52732210899572,Medium
147,PortC,PortZ,1,4,6,16,2,20,1440,16,regular,clear,928,375610,1211973,compliant,yes,in place,hazardous,container,5,346547,28724.03,33.033972387663766,Medium
148,PortC,PortY,1,4,2,14,0,20,1533,12,regular,congested areas,614,470998,1104072,compliant,yes,not in place,hazardous,bulk carrier,10,130130,35838.28,44.866345781226876,Medium
149,PortB,PortZ,1,1,2,51,0,19,1763,16,irregular,congested areas,603,353295,1071253,non-compliant,no,not in place,hazardous,container,12,481963,27065.405000000002,30.275358293430557,Medium
150,PortB,PortZ,1,3,3,97,1,20,1298,15,irregular,congested areas,790,295849,932051,non-compliant,no,in place,hazardous,container,6,325019,22679.19,22.980234610056,Low
151,PortB,PortY,0,4,2,57,0,19,1727,16,regular,clear,767,390628,1177142,non-compliant,no,not in place,non-hazardous,bulk carrier,10,381879,29888.954999999998,34.97146791783159,Medium
152,PortC,PortZ,1,1,6,16,2,17,1763,12,irregular,congested areas,608,351352,917299,non-compliant,no,in place,hazardous,container,18,372309,26920.729999999996,30.034735793418076,Medium
153,PortC,PortY,1,1,0,20,2,17,1476,13,regular,congested areas,708,279591,945310,compliant,yes,not in place,non-hazardous,container,12,476248,21486.12,20.995928502643647,Low
154,PortC,PortY,0,4,0,82,0,19,1075,16,irregular,clear,736,475772,975496,non-compliant,yes,not in place,hazardous,bulk carrier,9,163804,36105.72,45.31115021463511,Medium
