High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore
0.0,1.0,3,88.0,1,12.0,1717,15.0,1,1,726,279253.0,1,1,1,2,1,11,191924,21
0.0,2.0,0,90.0,1,13.0,1876,15.0,1,0,767,272635.0,1,0,0,1,1,14,343889,20
0.0,2.0,4,22.0,1,20.0,1808,16.0,0,0,679,444417.0,1,1,0,1,0,7,294794,42
0.0,2.0,2,80.0,0,21.0,1402,19.0,1,0,893,320061.0,1,1,0,1,0,12,518457,26
1.0,4.0,0,18.0,0,16.0,1276,12.0,0,1,932,386653.0,1,1,1,2,0,3,534389,34
1.0,2.0,4,72.0,1,22.0,1528,15.0,1,1,725,330862.0,1,0,1,2,1,11,226471,27
1.0,3.0,4,32.0,1,13.0,1146,13.0,1,0,942,260332.0,1,1,1,1,1,19,237784,19
0.0,3.0,3,63.0,0,19.0,1564,16.0,0,1,909,352654.0,0,0,1,2,1,10,322368,30
0.0,4.0,0,56.0,0,15.0,1470,13.0,1,1,749,411348.0,0,1,1,2,1,18,268396,37
1.0,1.0,2,48.0,0,17.0,1406,14.0,0,1,615,271966.0,0,1,1,2,1,10,371741,20
1.0,0.0,2,96.0,2,20.0,1181,14.0,0,1,627,430595.0,0,1,0,1,0,6,317337,40
0.0,1.0,0,35.0,2,16.0,1602,16.0,0,1,772,300924.0,0,0,1,2,1,15,378053,24
1.0,1.0,0,10.0,2,18.0,1393,16.0,0,1,645,333941.0,0,0,1,2,1,14,451609,28
1.0,1.0,5,23.0,1,24.0,1266,12.0,0,1,927,404633.0,0,0,1,2,0,23,243577,37
0.0,1.0,1,83.0,2,17.0,925,15.0,0,1,835,319401.0,0,1,0,1,0,7,449521,26
1.0,0.0,3,74.0,1,23.0,1494,13.0,1,1,813,366862.0,1,0,1,2,0,13,277134,32
1.0,2.0,0,78.0,1,15.0,1854,12.0,0,1,684,353067.0,0,0,0,1,0,13,564848,30
1.0,1.0,0,76.0,2,22.0,1832,14.0,0,1,881,385954.0,0,1,0,2,0,17,512097,34
0.0,3.0,1,58.0,1,25.0,1408,14.0,1,1,831,176475.0,0,1,1,1,1,14,338691,8
1.0,4.0,1,59.0,2,10.0,1379,19.0,0,0,684,216307.0,1,0,1,1,1,10,253641,13
1.0,4.0,4,67.0,2,16.0,1593,15.0,1,1,664,411003.0,0,0,1,1,1,6,234513,37
1.0,3.0,6,62.0,0,22.0,1300,12.0,0,1,733,454842.0,1,1,0,1,1,13,437362,43
0.0,1.0,2,66.0,2,19.0,1560,13.0,0,0,750,294509.0,1,0,1,1,1,13,346959,23
0.0,0.0,3,95.0,0,21.0,1653,17.0,0,0,714,352612.0,0,1,0,2,0,15,442686,30
1.0,2.0,4,27.0,2,17.0,1745,19.0,1,0,663,402098.0,1,1,0,2,1,10,570422,36
0.0,4.0,0,25.0,2,20.0,1479,11.0,1,1,942,419105.0,0,0,1,2,1,13,272961,38
1.0,2.0,1,11.0,0,19.0,1459,11.0,0,1,962,199135.0,0,0,1,1,0,4,226986,11
0.0,0.0,5,22.0,0,24.0,1324,18.0,0,0,951,297579.0,0,1,1,1,0,6,369256,23
0.0,4.0,2,54.0,2,21.0,1334,15.0,1,0,757,346617.0,1,0,0,1,1,16,464475,29
1.0,2.0,4,89.0,1,21.0,1454,13.0,1,0,676,419048.0,0,1,1,2,1,12,255953,38
1.0,0.0,5,81.0,0,18.0,1573,16.0,1,1,745,567547.0,0,0,0,1,0,14,353462,57
1.0,2.0,2,52.0,1,18.0,1682,9.0,0,1,942,356109.0,0,1,1,1,1,9,487004,31
0.0,1.0,6,81.0,1,18.0,1339,15.0,1,0,824,246777.0,1,0,0,1,0,8,186712,17
1.0,0.0,6,63.0,1,21.0,1798,15.0,1,1,912,400858.0,1,0,1,1,1,9,373531,36
0.0,2.0,5,83.0,0,18.0,1445,16.0,1,1,702,470479.0,1,1,1,2,0,13,295989,45
0.0,1.0,1,40.0,1,21.0,1495,12.0,1,0,946,376761.0,1,0,0,1,0,15,362415,33
1.0,1.0,4,85.0,0,28.0,1350,15.0,1,0,900,298517.0,0,1,0,1,0,10,420978,23
0.0,0.0,4,18.0,1,23.0,1015,13.0,1,0,687,445243.0,0,0,1,1,1,3,372080,41
1.0,3.0,6,82.0,2,18.0,1676,15.0,1,1,970,415532.0,1,0,0,1,0,14,248977,38
0.0,4.0,2,57.0,2,24.0,1647,13.0,0,1,902,282907.0,0,0,0,2,0,13,299875,22
1.0,0.0,5,27.0,0,18.0,1443,14.0,1,1,767,405147.0,1,0,0,1,1,14,492659,37
0.0,1.0,1,96.0,2,11.0,1513,13.0,0,1,769,448925.0,0,1,0,2,1,16,382893,42
0.0,1.0,0,20.0,2,15.0,1603,16.0,0,1,734,466252.0,0,1,1,2,1,15,434031,44
1.0,0.0,4,71.0,1,12.0,1187,16.0,1,0,649,363435.0,1,0,0,1,0,18,375029,31
0.0,3.0,0,93.0,0,18.0,1394,14.0,0,1,939,342899.0,1,1,1,1,0,12,430911,29
1.0,4.0,1,28.0,1,20.0,1658,15.0,0,1,946,463701.0,0,1,1,2,0,9,310385,44
0.0,2.0,6,99.0,1,26.0,1249,12.0,1,0,733,266849.0,1,0,1,1,1,17,273248,19
0.0,0.0,4,83.0,1,21.0,1558,14.0,0,0,946,406404.0,0,1,0,1,1,16,426369,37
0.0,4.0,4,33.0,1,19.0,1228,14.0,1,0,736,263534.0,0,1,1,2,0,10,462737,19
1.0,4.0,5,22.0,1,23.0,1593,20.0,1,0,844,448158.0,0,0,1,2,1,17,258571,42
1.0,1.0,0,55.0,1,11.0,1492,12.0,1,1,708,343976.0,0,0,1,2,1,12,292405,29
1.0,2.0,6,62.0,1,20.0,1176,17.0,1,1,912,468170.0,1,0,1,2,0,18,333677,44
1.0,0.0,5,38.0,0,23.0,1732,16.0,1,0,886,414912.0,0,0,1,2,0,20,511982,38
1.0,1.0,3,45.0,2,14.0,1353,15.0,1,1,620,272458.0,0,1,0,2,1,25,406313,20
0.0,1.0,0,80.0,1,24.0,1337,18.0,1,0,689,474849.0,0,0,1,1,0,12,217591,45
0.0,3.0,0,26.0,1,21.0,1540,15.0,0,1,895,491134.0,1,1,0,1,1,19,340701,47
1.0,4.0,3,57.0,1,18.0,1729,15.0,1,1,711,436853.0,0,1,1,1,1,16,325412,41
0.0,0.0,1,86.0,1,22.0,1296,14.0,0,1,900,300706.0,1,0,1,1,0,16,232673,24
0.0,0.0,1,33.0,1,29.0,1512,17.0,1,0,676,342494.0,1,1,0,1,0,14,339520,29
0.0,0.0,4,63.0,1,20.0,1585,17.0,1,0,776,377683.0,1,1,0,1,1,16,320996,33
0.0,1.0,2,94.0,2,20.0,1638,13.0,1,1,942,309395.0,1,1,1,1,1,5,313836,25
1.0,3.0,5,10.0,2,18.0,1535,12.0,0,1,747,500850.0,1,0,1,1,0,11,309261,49
0.0,2.0,2,88.0,1,16.0,1426,14.0,0,0,700,386403.0,1,1,1,1,1,8,497139,34
1.0,1.0,4,76.0,2,23.0,1334,13.0,0,0,845,149413.0,1,0,1,2,1,8,313629,5
1.0,2.0,2,15.0,0,16.0,1517,14.0,0,1,716,394896.0,0,0,1,2,1,4,354967,35
0.0,3.0,0,87.0,1,20.0,1285,17.0,0,1,691,339353.0,0,1,0,1,1,9,344123,28
1.0,4.0,0,64.0,0,18.0,915,14.0,0,0,627,358980.0,1,1,1,1,1,11,299498,31
0.0,0.0,3,47.0,0,21.0,1587,14.0,1,1,624,338407.0,1,0,1,2,0,12,357950,28
0.0,2.0,3,42.0,1,21.0,1680,15.0,1,0,657,432390.0,1,0,0,2,1,11,356535,40
0.0,1.0,4,17.0,2,24.0,1027,16.0,0,0,896,457473.0,0,0,0,2,1,17,357975,43
1.0,2.0,4,99.0,0,17.0,1298,10.0,0,1,733,385848.0,1,0,1,1,0,7,264076,34
1.0,4.0,6,88.0,1,18.0,1623,13.0,0,1,930,339324.0,0,0,0,2,0,2,329387,29
1.0,0.0,4,87.0,0,16.0,1911,15.0,0,1,848,367994.0,0,1,0,2,0,14,426032,32
0.0,2.0,0,29.0,0,18.0,1504,17.0,0,0,637,368168.0,1,0,0,2,1,11,332018,32
0.0,4.0,2,64.0,0,21.0,1354,14.0,1,0,989,304114.0,0,1,1,1,1,11,366178,24
0.0,1.0,5,57.0,0,23.0,1463,11.0,1,0,674,414649.0,1,0,1,2,0,8,366703,38
1.0,3.0,6,92.0,2,16.0,1774,16.0,1,1,741,406390.0,1,1,1,1,0,16,391739,37
0.0,1.0,6,65.0,0,23.0,1370,13.0,1,1,921,493528.0,1,0,0,2,0,9,405865,48
0.0,0.0,6,97.0,0,25.0,1340,12.0,1,0,767,467057.0,0,1,1,2,0,7,332584,44
1.0,1.0,4,19.0,0,21.0,1403,13.0,1,0,858,308089.0,1,1,1,1,0,20,258866,25
1.0,1.0,4,61.0,2,27.0,1309,14.0,1,1,972,427030.0,0,0,0,2,1,15,228128,39
1.0,1.0,0,59.0,0,16.0,1524,13.0,1,0,954,296512.0,1,1,1,2,0,11,451768,23
0.0,1.0,5,43.0,0,15.0,1824,10.0,0,1,824,427025.0,1,0,0,2,1,0,427025,40
0.0,0.0,0,45.0,2,12.0,1564,16.0,0,1,751,329417.0,1,0,0,1,1,10,414936,27
0.0,4.0,5,70.0,2,25.0,1449,17.0,1,0,618,289695.0,1,1,0,1,0,11,431120,22
1.0,2.0,0,25.0,2,22.0,1441,16.0,1,0,745,389095.0,1,1,0,1,0,19,333844,35
1.0,3.0,2,88.0,0,19.0,1187,12.0,1,0,840,150410.0,0,0,1,2,0,3,287512,5
1.0,2.0,4,27.0,2,21.0,1676,14.0,0,0,971,222519.0,1,0,1,1,0,19,251959,14
1.0,2.0,1,80.0,2,15.0,1484,14.0,0,0,980,347853.0,1,0,1,2,0,14,241065,30
0.0,3.0,1,56.0,0,29.0,1463,16.0,1,1,943,380156.0,1,1,0,2,1,5,471215,34
0.0,0.0,4,95.0,2,20.0,2138,16.0,0,0,836,335488.0,0,1,1,2,0,16,300685,28
0.0,3.0,6,41.0,0,20.0,1559,13.0,1,1,634,246419.0,1,0,1,2,0,10,455485,17
0.0,0.0,4,52.0,1,22.0,1349,15.0,1,0,789,301134.0,1,1,0,2,1,3,331311,24
0.0,2.0,4,92.0,2,21.0,1414,15.0,1,0,600,395415.0,1,1,0,2,0,9,282375,35
0.0,0.0,4,49.0,1,20.0,1729,17.0,1,0,752,408570.0,1,1,1,2,0,13,240563,37
0.0,4.0,6,74.0,0,16.0,1522,16.0,1,0,725,363261.0,0,0,0,2,0,12,291184,31
0.0,3.0,5,44.0,2,21.0,1212,16.0,0,0,944,467137.0,1,0,1,1,1,15,491823,44
1.0,4.0,2,78.0,0,27.0,1683,15.0,1,0,999,393870.0,0,1,0,1,0,17,241578,35
1.0,2.0,1,59.0,1,25.0,1366,17.0,1,1,825,318287.0,0,1,0,2,0,6,561674,26
0.0,3.0,3,21.0,0,26.0,1874,15.0,1,0,820,340856.0,0,0,1,1,0,11,265939,29
1.0,2.0,1,85.0,2,17.0,1716,13.0,1,0,810,259020.0,0,1,0,1,0,8,424994,19
0.0,4.0,1,94.0,2,16.0,1410,17.0,0,0,624,358122.0,1,0,0,1,1,5,335474,31
0.0,2.0,6,67.0,1,19.0,1756,16.0,1,0,615,454865.0,1,0,0,2,0,11,317944,43
1.0,3.0,0,92.0,0,20.0,1513,14.0,1,1,781,415966.0,0,0,1,1,1,14,222857,38
0.0,3.0,4,72.0,2,24.0,1670,14.0,0,1,928,479168.0,0,0,1,2,0,14,340160,46
0.0,2.0,4,82.0,1,13.0,1596,15.0,1,1,728,337477.0,0,0,1,1,0,10,234171,28
0.0,3.0,4,58.0,2,26.0,1330,15.0,1,1,641,466780.0,1,0,0,1,0,6,181842,44
0.0,3.0,0,45.0,2,19.0,1371,15.0,1,1,935,352633.0,0,0,0,1,1,8,361959,30
0.0,2.0,6,63.0,0,18.0,1705,15.0,1,1,835,482049.0,0,1,0,2,0,2,286457,46
0.0,4.0,2,56.0,2,15.0,1433,18.0,0,0,959,374173.0,0,0,0,2,0,6,518434,33
0.0,3.0,2,41.0,0,13.0,1419,17.0,1,0,633,429078.0,0,1,1,2,1,6,450002,40
1.0,3.0,6,62.0,2,23.0,1308,15.0,1,1,944,493996.0,0,1,1,2,0,16,519743,48
1.0,3.0,3,41.0,1,20.0,1584,16.0,0,0,980,348621.0,1,1,0,2,0,16,281911,30
0.0,3.0,2,71.0,2,14.0,1912,12.0,1,0,644,385651.0,0,0,1,2,0,22,363613,34
1.0,2.0,6,46.0,0,14.0,1286,15.0,1,0,733,457505.0,1,1,1,2,0,13,87932,43
0.0,4.0,2,47.0,0,18.0,1504,18.0,0,0,620,355450.0,1,0,1,2,1,9,321819,30
0.0,4.0,4,39.0,1,26.0,1782,14.0,1,0,721,262321.0,1,0,0,2,1,12,359849,19
0.0,0.0,5,67.0,2,18.0,1484,13.0,0,1,669,539710.0,1,1,1,1,1,11,365404,53
0.0,3.0,6,41.0,2,13.0,1590,13.0,1,1,951,329707.0,1,1,1,1,0,8,345763,27
1.0,3.0,1,75.0,1,19.0,1287,12.0,0,1,960,380533.0,0,1,1,2,0,13,356659,34
1.0,0.0,2,60.0,2,18.0,1585,13.0,1,1,647,446414.0,1,1,1,1,0,12,78675,42
1.0,4.0,2,20.0,2,9.0,1462,14.0,1,1,638,320101.0,1,0,1,1,0,11,375622,26
1.0,1.0,0,68.0,0,19.0,1697,12.0,0,1,886,289287.0,0,1,0,2,1,10,398343,22
0.0,1.0,3,29.0,2,19.0,1737,15.0,1,0,609,394489.0,1,1,1,2,0,15,483802,35
1.0,4.0,5,46.0,2,22.0,2017,16.0,0,1,629,225897.0,0,1,1,1,1,9,386873,15
0.0,3.0,0,82.0,1,27.0,1615,13.0,0,0,843,343813.0,0,1,0,2,0,9,336926,29
0.0,1.0,4,58.0,1,24.0,1565,18.0,0,0,873,392627.0,0,1,1,1,0,14,460494,35
1.0,2.0,1,28.0,0,18.0,1538,16.0,0,1,687,334117.0,0,0,0,2,1,17,114266,28
0.0,2.0,3,64.0,2,15.0,1429,17.0,1,1,843,241449.0,0,0,0,1,0,16,298505,16
1.0,0.0,0,49.0,2,30.0,1567,13.0,0,1,980,491205.0,1,0,0,2,1,10,273419,48
1.0,4.0,6,16.0,2,20.0,1440,16.0,1,0,928,375610.0,0,1,0,1,1,5,346547,33
1.0,4.0,2,14.0,0,20.0,1533,12.0,1,1,614,470998.0,0,1,1,1,0,10,130130,45
1.0,1.0,2,51.0,0,19.0,1763,16.0,0,1,603,353295.0,1,0,1,1,1,12,481963,30
1.0,3.0,3,97.0,1,20.0,1298,15.0,0,1,790,295849.0,1,0,0,1,1,6,325019,23
0.0,4.0,2,57.0,0,19.0,1727,16.0,1,0,767,390628.0,1,0,1,2,0,10,381879,35
1.0,1.0,6,16.0,2,17.0,1763,12.0,0,1,608,351352.0,1,0,0,1,1,18,372309,30
1.0,1.0,0,20.0,2,17.0,1476,13.0,1,1,708,279591.0,0,1,1,2,1,12,476248,21
0.0,4.0,0,82.0,0,19.0,1075,16.0,0,0,736,475772.0,1,1,1,1,0,9,163804,45
1.0,1.0,2,58.0,2,17.0,1378,13.0,1,0,753,318279.0,0,1,0,2,1,12,361232,26
1.0,0.0,2,39.0,2,17.0,1759,15.0,1,0,987,226009.0,1,0,1,1,0,12,464617,15
0.0,0.0,4,50.0,0,20.0,1495,12.0,0,1,808,473263.0,1,0,0,2,1,10,340201,45
0.0,4.0,1,12.0,0,18.0,1300,16.0,1,1,871,322399.0,1,0,1,1,0,15,254873,26
1.0,3.0,3,95.0,2,26.0,1399,12.0,1,0,742,315854.0,1,1,1,1,0,2,289610,26
0.0,0.0,0,49.0,2,9.0,1668,16.0,0,1,698,224304.0,1,1,1,2,0,14,310705,14
1.0,0.0,3,60.0,2,24.0,1609,16.0,0,0,976,503170.0,0,0,0,1,0,9,277894,49
0.0,4.0,4,93.0,1,24.0,1452,13.0,0,0,907,263577.0,0,1,0,1,0,17,334718,19
1.0,2.0,0,41.0,1,11.0,1426,16.0,0,0,668,379717.0,0,0,0,1,1,5,500824,33
1.0,1.0,4,57.0,1,18.0,1421,15.0,0,0,846,437522.0,1,0,1,1,0,16,290263,41
1.0,0.0,4,80.0,0,18.0,1315,13.0,1,0,860,398798.0,0,0,0,2,0,8,301232,36
0.0,2.0,5,80.0,1,14.0,1823,12.0,1,1,875,365026.0,1,1,0,1,1,13,395978,32
1.0,3.0,2,29.0,0,16.0,1435,11.0,0,1,678,230492.0,1,0,0,2,0,9,332517,15
0.0,2.0,6,98.0,0,15.0,1743,15.0,1,1,745,296076.0,0,0,1,2,1,17,217081,23
1.0,4.0,5,44.0,1,27.0,1804,11.0,1,1,710,382218.0,0,1,1,2,1,11,343881,34
1.0,3.0,3,33.0,1,23.0,1699,15.0,1,0,857,304031.0,1,0,1,2,0,8,340110,24
1.0,3.0,6,49.0,1,25.0,1413,14.0,1,1,692,388647.0,1,0,1,1,1,18,447567,35
1.0,2.0,3,86.0,2,22.0,1580,16.0,1,0,612,417178.0,0,1,0,1,1,10,252784,38
1.0,4.0,2,61.0,1,15.0,1495,14.0,0,0,859,449411.0,1,0,1,2,1,14,448231,42
0.0,0.0,6,48.0,2,17.0,1319,14.0,0,1,708,268916.0,0,0,0,1,0,16,340216,20
0.0,2.0,5,77.0,0,21.0,1564,16.0,1,1,929,537691.0,0,0,1,1,1,7,239205,53
0.0,0.0,3,70.0,2,15.0,1264,15.0,1,0,788,422354.0,1,1,0,2,0,14,219122,39
1.0,2.0,5,85.0,1,22.0,1737,15.0,0,1,694,377034.0,1,0,0,2,0,14,543438,33
1.0,0.0,2,90.0,0,19.0,1407,15.0,0,1,704,453863.0,1,0,1,2,1,4,334008,43
0.0,2.0,6,74.0,0,18.0,1540,11.0,0,1,607,561415.0,1,0,0,1,0,13,443650,56
1.0,3.0,6,71.0,0,22.0,1556,16.0,0,1,666,243861.0,0,1,0,2,1,10,179188,17
1.0,1.0,0,90.0,2,21.0,1448,16.0,1,0,790,362667.0,1,1,0,2,1,20,613769,31
1.0,3.0,4,11.0,1,18.0,1617,12.0,0,0,965,181691.0,0,1,0,1,0,16,439324,9
0.0,0.0,4,15.0,0,24.0,1405,14.0,0,1,855,381634.0,0,0,1,1,0,14,324455,34
0.0,4.0,5,84.0,0,15.0,1674,14.0,1,0,608,395200.0,1,1,1,1,0,1,319383,35
0.0,3.0,6,52.0,0,22.0,1230,14.0,0,0,716,368040.0,0,0,0,1,1,14,423459,32
0.0,1.0,3,91.0,2,22.0,1525,15.0,0,1,866,318523.0,1,1,1,1,1,8,417718,26
0.0,0.0,5,49.0,2,18.0,1887,17.0,0,1,698,204451.0,1,1,0,1,1,16,368252,12
1.0,3.0,5,98.0,1,21.0,1299,17.0,0,0,897,397437.0,0,1,0,1,0,11,351087,36
1.0,2.0,1,48.0,2,14.0,1364,12.0,0,0,996,486740.0,0,1,1,1,1,9,406106,47
1.0,4.0,6,37.0,0,23.0,1602,16.0,1,0,763,311510.0,0,0,0,2,1,9,175829,25
1.0,0.0,4,89.0,1,19.0,1535,17.0,1,1,975,400848.0,1,1,1,1,1,10,312872,36
0.0,3.0,6,72.0,0,17.0,1570,15.0,1,0,740,233814.0,1,0,0,2,1,5,185313,15
0.0,0.0,2,73.0,0,24.0,1597,17.0,1,0,867,407100.0,0,0,1,1,0,5,410459,37
1.0,2.0,5,21.0,2,17.0,1626,19.0,1,1,636,332650.0,1,0,1,1,1,10,282418,28
0.0,1.0,1,50.0,1,14.0,1721,17.0,0,0,673,298648.0,1,1,0,2,0,19,192842,23
1.0,3.0,1,38.0,2,13.0,1581,15.0,0,1,672,302701.0,0,1,1,1,1,15,270621,24
1.0,0.0,4,32.0,2,22.0,1451,17.0,0,1,907,336757.0,1,0,0,2,1,16,364935,28
1.0,0.0,4,94.0,1,14.0,1634,15.0,0,0,798,397068.0,0,1,1,1,1,17,329477,36
1.0,0.0,4,89.0,0,27.0,1879,15.0,0,1,729,256661.0,0,0,0,2,0,13,232684,18
0.0,1.0,2,60.0,0,11.0,1473,14.0,0,1,845,327206.0,0,1,1,2,0,9,179513,27
1.0,0.0,1,54.0,1,26.0,1305,18.0,0,0,911,364551.0,1,1,1,1,0,9,357393,32
0.0,4.0,3,99.0,0,20.0,1721,13.0,0,1,659,276673.0,0,0,1,2,1,7,291923,21
1.0,4.0,2,31.0,1,19.0,1475,18.0,0,0,878,509942.0,0,1,0,2,1,16,324191,50
1.0,0.0,0,19.0,1,17.0,1065,15.0,0,1,702,298421.0,0,0,1,1,0,7,334031,23
1.0,4.0,5,16.0,2,21.0,1669,12.0,0,1,895,316095.0,0,0,0,1,1,22,393006,26
1.0,3.0,4,82.0,1,19.0,1392,15.0,0,0,919,293470.0,1,1,1,2,1,7,434694,23
0.0,4.0,1,98.0,2,24.0,1481,10.0,0,0,940,512110.0,0,1,1,1,0,18,364650,50
1.0,0.0,5,24.0,0,20.0,1566,16.0,1,0,750,410130.0,1,1,0,2,1,18,317953,37
0.0,2.0,6,86.0,0,20.0,1538,16.0,0,1,756,292696.0,0,0,1,2,1,15,352476,23
1.0,3.0,2,55.0,0,18.0,1641,13.0,1,0,805,454302.0,1,1,0,2,1,20,316076,43
1.0,1.0,0,99.0,0,19.0,1412,15.0,0,1,778,375343.0,1,1,0,1,0,11,185744,33
1.0,0.0,6,94.0,2,21.0,1602,18.0,0,0,796,393540.0,1,1,0,1,1,12,459194,35
0.0,1.0,2,96.0,0,13.0,1448,13.0,0,1,822,344459.0,1,1,0,2,0,13,440343,29
1.0,2.0,2,70.0,1,14.0,1647,12.0,1,0,688,317488.0,0,0,0,2,1,14,548833,26
1.0,1.0,3,70.0,1,22.0,1623,17.0,1,1,886,405923.0,0,1,1,2,0,2,578049,37
1.0,0.0,5,60.0,1,20.0,1312,18.0,0,0,875,318012.0,1,0,0,1,0,11,232397,26
1.0,0.0,3,47.0,2,19.0,1717,15.0,0,1,835,511163.0,1,1,1,2,0,16,316460,50
1.0,2.0,2,21.0,0,20.0,1392,17.0,0,1,782,278514.0,1,1,0,1,0,10,601153,21
0.0,0.0,0,97.0,0,21.0,1661,17.0,0,1,808,490189.0,0,1,0,2,1,21,345944,47
0.0,2.0,1,86.0,0,17.0,1573,13.0,1,1,729,359815.0,1,0,1,2,0,12,374421,31
1.0,2.0,1,75.0,2,16.0,1867,14.0,1,0,752,383821.0,1,0,1,2,1,14,197887,34
1.0,0.0,6,63.0,1,20.0,1455,17.0,0,1,612,434904.0,0,1,0,2,1,19,365028,40
0.0,4.0,5,48.0,1,16.0,1430,18.0,1,0,721,326739.0,0,0,0,1,0,12,543194,27
1.0,2.0,4,85.0,0,21.0,1496,16.0,1,1,958,443072.0,0,0,1,1,1,19,478662,41
0.0,0.0,4,48.0,1,13.0,1439,13.0,0,0,819,147846.0,0,1,1,1,1,14,289001,5
1.0,4.0,1,87.0,1,24.0,1659,18.0,0,1,705,307919.0,0,1,0,1,1,14,310368,25
1.0,2.0,2,39.0,2,21.0,1176,13.0,0,1,974,287920.0,0,1,0,1,1,7,236909,22
0.0,4.0,2,57.0,2,21.0,1289,14.0,1,0,669,262963.0,1,1,0,2,0,17,264883,19
1.0,3.0,3,92.0,2,23.0,1286,15.0,0,0,794,340752.0,1,1,1,1,1,8,158978,29
0.0,3.0,5,40.0,2,26.0,1690,18.0,1,1,785,397935.0,0,1,0,1,1,11,341518,36
0.0,4.0,3,34.0,0,24.0,1842,16.0,0,0,698,431263.0,1,0,1,1,1,18,501011,40
0.0,2.0,4,77.0,2,12.0,1479,15.0,0,0,681,388547.0,0,1,1,1,1,10,385543,35
1.0,0.0,1,60.0,1,14.0,1466,15.0,1,0,674,321075.0,1,1,0,2,1,13,486623,26
0.0,1.0,6,22.0,0,17.0,1514,15.0,1,1,973,402387.0,0,1,0,2,0,11,457324,36
0.0,0.0,2,72.0,1,20.0,1732,16.0,1,0,939,374708.0,0,1,1,2,1,11,295319,33
1.0,1.0,1,51.0,1,22.0,1314,9.0,1,1,791,438586.0,1,0,0,1,0,11,274049,41
1.0,1.0,0,63.0,1,17.0,1547,14.0,1,0,924,426049.0,1,0,0,2,1,6,277881,39
1.0,2.0,1,76.0,2,20.0,1695,15.0,1,0,813,361352.0,0,0,1,2,0,14,178293,31
1.0,4.0,0,89.0,2,16.0,1600,12.0,0,1,914,295881.0,0,1,0,1,1,15,353233,23
1.0,0.0,3,99.0,0,17.0,1537,15.0,1,0,981,300741.0,0,1,1,1,1,9,59553,24
1.0,4.0,3,65.0,0,14.0,1700,14.0,1,0,966,326473.0,0,0,1,1,0,9,409141,27
0.0,3.0,4,28.0,2,16.0,959,18.0,0,0,917,342638.0,0,0,0,2,0,16,357188,29
1.0,2.0,1,55.0,1,14.0,1635,18.0,1,0,743,391301.0,0,1,1,1,0,10,397143,35
0.0,2.0,1,24.0,0,16.0,1369,14.0,1,0,983,429999.0,1,1,1,2,1,12,455701,40
1.0,3.0,0,41.0,2,24.0,1133,14.0,0,0,815,364404.0,1,1,0,2,0,7,369879,31
0.0,0.0,3,58.0,2,16.0,1602,14.0,0,0,960,376947.0,1,1,1,2,0,11,513157,33
0.0,3.0,0,30.0,2,30.0,1774,14.0,0,1,923,382074.0,1,1,0,2,0,7,412194,34
