RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Insurance_Premium,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Scaled_RiskScore,Risk_Category
61,PortB,PortY,0,3,0,93,0,18,1394,14,irregular,congested areas,939,342899,41246,1077025,non-compliant,yes,not in place,hazardous,bulk carrier,12,430911,22354.215,28.35064685,Low
62,PortC,PortY,1,4,1,28,1,20,1658,15,irregular,congested areas,946,463701,49909,1030152,compliant,yes,not in place,non-hazardous,bulk carrier,9,310385,29931.055,43.38006363,Medium
63,PortA,PortY,0,2,6,99,1,26,1249,12,regular,clear,733,266849,41648,684737,non-compliant,no,not in place,hazardous,container,17,273248,17727.68,19.17345388,Low
64,PortA,PortZ,0,0,4,83,1,21,1558,14,irregular,clear,946,406404,40291,1099275,compliant,yes,in place,hazardous,container,16,426369,26177.99,35.93548541,Medium
65,PortB,PortY,0,4,4,33,1,19,1228,14,regular,clear,736,263534,37425,1090605,compliant,yes,not in place,non-hazardous,bulk carrier,10,462737,17395.705,18.51494841,Low
66,PortC,PortY,1,4,5,22,1,23,1593,20,regular,clear,844,448158,36296,1074524,compliant,no,not in place,non-hazardous,container,17,258571,28553.855,40.64825027,Medium
67,PortB,PortZ,1,1,0,55,1,11,1492,12,regular,congested areas,708,343976,16488,1005926,compliant,no,not in place,non-hazardous,container,12,292405,21652.195,26.95812026,Low
68,PortA,PortX,1,2,6,62,1,20,1176,17,regular,congested areas,912,468170,44376,983028,non-compliant,no,not in place,non-hazardous,bulk carrier,18,333677,29905.43,43.32923389,Medium
69,PortB,PortX,1,0,5,38,0,23,1732,16,regular,clear,886,414912,35897,1104858,compliant,no,not in place,non-hazardous,bulk carrier,20,511982,26588.775,36.75031837,Medium
70,PortA,PortX,1,1,3,45,2,14,1353,15,regular,congested areas,620,272458,34992,1238527,compliant,yes,in place,non-hazardous,container,25,406313,17864.83,19.44550457,Low
71,PortC,PortX,0,1,0,80,1,24,1337,18,regular,clear,689,474849,28684,807043,compliant,no,not in place,hazardous,bulk carrier,12,217591,29830.73,43.181059,Medium
72,PortB,PortY,0,3,0,26,1,21,1540,15,irregular,congested areas,895,491134,48865,1111718,non-compliant,yes,in place,hazardous,container,19,340701,31505.59,46.50331063,Medium
73,PortC,PortZ,1,4,3,57,1,18,1729,15,regular,congested areas,711,436853,66591,937067,compliant,yes,not in place,hazardous,container,16,325412,28790.52,41.11769887,Medium
74,PortB,PortZ,0,0,1,86,1,22,1296,14,irregular,congested areas,900,300706,34064,930549,non-compliant,no,not in place,hazardous,bulk carrier,16,232673,19575.555,22.83889799,Low
75,PortB,PortX,0,0,1,33,1,29,1512,17,regular,clear,676,342494,35612,719520,non-compliant,yes,in place,hazardous,bulk carrier,14,339520,22139.455,27.924649,Low
76,PortB,PortZ,0,0,4,63,1,20,1585,17,regular,clear,776,377683,23792,907281,non-compliant,yes,in place,hazardous,container,16,320996,23932.06,31.48045956,Medium
77,PortB,PortY,0,1,2,94,2,20,1638,13,regular,congested areas,942,309395,37386,800410,non-compliant,yes,not in place,hazardous,container,5,313836,20290.01,24.25609064,Low
78,PortB,PortX,1,3,5,10,2,18,1535,12,irregular,congested areas,747,500850,49855,880421,non-compliant,no,not in place,hazardous,bulk carrier,11,309261,32087.745,47.65807305,Medium
79,PortC,PortY,0,2,2,88,1,16,1426,14,irregular,clear,700,386403,33992,785272,non-compliant,yes,not in place,hazardous,container,8,497139,24706.245,33.01613262,Medium
80,PortC,PortY,1,1,4,76,2,23,1334,13,irregular,clear,845,149413,15604,882663,non-compliant,no,not in place,non-hazardous,container,8,313629,9943.79,3.733332804,Low
81,PortA,PortY,1,2,2,15,0,16,1517,14,irregular,congested areas,716,394896,49092,889083,compliant,no,not in place,non-hazardous,container,4,354967,25695.175,34.97777377,Medium
82,PortB,PortY,0,3,0,87,1,20,1285,17,irregular,congested areas,691,339353,51389,964513,compliant,yes,in place,hazardous,container,9,344123,22369.425,28.3808174,Low
83,PortA,PortY,1,4,0,64,0,18,915,14,irregular,clear,627,358980,23308,707787,non-compliant,yes,not in place,hazardous,container,11,299498,22599.235,28.83666843,Low
84,PortC,PortX,0,0,3,47,0,21,1587,14,regular,congested areas,624,338407,52487,733172,non-compliant,no,not in place,non-hazardous,bulk carrier,12,357950,22406.965,28.45528173,Low
85,PortA,PortY,0,2,3,42,1,21,1680,15,regular,clear,657,432390,45810,1004287,non-compliant,no,in place,non-hazardous,container,11,356535,27875.965,39.30358793,Medium
86,PortC,PortX,0,1,4,17,2,24,1027,16,irregular,clear,896,457473,50242,830384,compliant,no,in place,non-hazardous,container,17,357975,29399.485,42.3256416,Medium
87,PortB,PortZ,1,2,4,99,0,17,1298,10,irregular,congested areas,733,385848,33977,1111179,non-compliant,no,not in place,hazardous,bulk carrier,7,264076,24648.03,32.90065736,Medium
88,PortA,PortY,1,4,6,88,1,18,1623,13,irregular,congested areas,930,339324,53305,983790,compliant,no,in place,non-hazardous,bulk carrier,2,329387,22557.995,28.75486478,Low
89,PortA,PortY,1,0,4,87,0,16,1911,15,irregular,congested areas,848,367994,32033,1041014,compliant,yes,in place,non-hazardous,bulk carrier,14,426032,23693.375,31.00700409,Medium
90,PortA,PortZ,0,2,0,29,0,18,1504,17,irregular,clear,637,368168,22438,1161603,non-compliant,no,in place,non-hazardous,container,11,332018,23272.645,30.17244423,Medium
91,PortA,PortX,0,4,2,64,0,21,1354,14,regular,clear,989,304114,19265,903543,compliant,yes,not in place,hazardous,container,11,366178,19367.995,22.42718206,Low
92,PortB,PortY,0,1,5,57,0,23,1463,11,regular,clear,674,414649,53104,863826,non-compliant,no,not in place,non-hazardous,bulk carrier,8,366703,26979.605,37.5255686,Medium
93,PortC,PortZ,1,3,6,92,2,16,1774,16,regular,congested areas,741,406390,41350,1080755,non-compliant,yes,not in place,hazardous,bulk carrier,16,391739,26222.5,36.02377542,Medium
94,PortC,PortZ,0,1,6,65,0,23,1370,13,regular,congested areas,921,493528,42314,1026427,non-compliant,no,in place,non-hazardous,bulk carrier,9,405865,31415.005,46.32362626,Medium
95,PortB,PortY,0,0,6,97,0,25,1340,12,regular,clear,767,467057,29803,921900,compliant,yes,not in place,non-hazardous,bulk carrier,7,332584,29412.835,42.35212265,Medium
96,PortC,PortX,1,1,4,19,0,21,1403,13,regular,clear,858,308089,44785,1158718,non-compliant,yes,not in place,hazardous,bulk carrier,20,258866,20357.955,24.39086632,Low
97,PortA,PortX,1,1,4,61,2,27,1309,14,regular,congested areas,972,427030,25175,918163,compliant,no,in place,non-hazardous,container,15,228128,26907.795,37.38312631,Medium
98,PortB,PortY,1,1,0,59,0,16,1524,13,regular,clear,954,296512,32566,954916,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,451768,19344.72,22.38101378,Low
99,PortC,PortZ,0,1,5,43,0,15,1824,10,irregular,congested areas,824,427025,17809,953183,non-compliant,no,in place,non-hazardous,container,0,427025,26781.92,37.13344071,Medium
100,PortB,PortY,0,0,0,45,2,12,1564,16,irregular,congested areas,751,329417,28260,809810,non-compliant,no,in place,hazardous,container,10,414936,21158.695,25.97921386,Low
101,PortB,PortX,0,4,5,70,2,25,1449,17,regular,clear,618,289695,33823,961637,non-compliant,yes,in place,hazardous,bulk carrier,11,431120,18891.015,21.48104472,Low
102,PortC,PortZ,1,2,0,25,2,22,1441,16,regular,clear,745,389095,48260,1159514,non-compliant,yes,in place,hazardous,bulk carrier,19,333844,25310.4,34.21453423,Medium
103,PortC,PortY,1,3,2,88,0,19,1187,12,regular,clear,840,150410,35055,1016745,compliant,no,not in place,non-hazardous,bulk carrier,3,287512,10547.655,4.931159176,Low
104,PortB,PortZ,1,2,4,27,2,21,1676,14,irregular,clear,971,222519,40878,954659,non-compliant,no,not in place,hazardous,bulk carrier,19,251959,15198.82,14.1572082,Low
105,PortB,PortX,1,2,1,80,2,15,1484,14,irregular,clear,980,347853,67805,925734,non-compliant,no,not in place,non-hazardous,bulk carrier,14,241065,23478.73,30.58123435,Medium
106,PortC,PortX,0,3,1,56,0,29,1463,16,regular,congested areas,943,380156,44677,999630,non-compliant,yes,in place,non-hazardous,container,5,471215,24713.175,33.02987896,Medium
107,PortB,PortX,0,0,4,95,2,20,2138,16,irregular,clear,836,335488,55156,1062464,compliant,yes,not in place,non-hazardous,bulk carrier,16,300685,22492.125,28.62420507,Low
108,PortC,PortY,0,3,6,41,0,20,1559,13,regular,congested areas,634,246419,54224,1041385,non-compliant,no,not in place,non-hazardous,bulk carrier,10,455485,16935.51,17.60210579,Low
109,PortB,PortZ,0,0,4,52,1,22,1349,15,regular,clear,789,301134,25466,900220,non-compliant,yes,in place,non-hazardous,container,3,331311,19333.49,22.35873795,Low
110,PortB,PortY,0,2,4,92,2,21,1414,15,regular,clear,600,395415,39743,998717,non-compliant,yes,in place,non-hazardous,bulk carrier,9,282375,25397.735,34.3877719,Medium
111,PortB,PortY,0,0,4,49,1,20,1729,17,regular,clear,752,408570,45843,1021990,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,240563,26478.13,36.53084299,Medium
112,PortC,PortY,0,4,6,74,0,16,1522,16,regular,clear,725,363261,45178,798920,compliant,no,in place,non-hazardous,bulk carrier,12,291184,23682.18,30.98479769,Medium
113,PortA,PortY,0,3,5,44,2,21,1212,16,irregular,clear,944,467137,62107,975234,non-compliant,no,not in place,hazardous,container,15,491823,30391.25,44.29290625,Medium
114,PortC,PortZ,1,4,2,78,0,27,1683,15,regular,clear,999,393870,27853,625804,compliant,yes,in place,hazardous,bulk carrier,17,241578,25097.225,33.79168039,Medium
115,PortB,PortZ,1,2,1,59,1,25,1366,17,regular,congested areas,825,318287,34060,1022380,compliant,yes,in place,non-hazardous,bulk carrier,6,561674,20633.825,24.93808194,Low
116,PortA,PortY,0,3,3,21,0,26,1874,15,regular,clear,820,340856,41001,1049051,compliant,no,not in place,hazardous,bulk carrier,11,265939,22322.05,28.28684437,Low
117,PortA,PortY,1,2,1,85,2,17,1716,13,regular,clear,810,259020,57546,1062131,compliant,yes,in place,hazardous,bulk carrier,8,424994,17864.685,19.44521695,Low
118,PortB,PortX,0,4,1,94,2,16,1410,17,irregular,clear,624,358122,55038,890742,non-compliant,no,in place,hazardous,container,5,335474,23622.465,30.86634704,Medium
119,PortC,PortX,0,2,6,67,1,19,1756,16,regular,clear,615,454865,40866,996357,non-compliant,no,in place,non-hazardous,bulk carrier,11,317944,29086.285,41.7043782,Medium
120,PortA,PortZ,1,3,0,92,0,20,1513,14,regular,congested areas,781,415966,41677,1163593,compliant,no,not in place,hazardous,container,14,222857,26749.89,37.06990602,Medium
121,PortA,PortX,0,3,4,72,2,24,1670,14,irregular,congested areas,928,479168,39831,1162065,compliant,no,not in place,non-hazardous,bulk carrier,14,340160,30557.025,44.62173747,Medium
122,PortC,PortZ,0,2,4,82,1,13,1596,15,regular,congested areas,728,337477,21080,945624,compliant,no,not in place,hazardous,bulk carrier,10,234171,21430.535,26.51843557,Low
123,PortC,PortZ,0,3,4,58,2,26,1330,15,regular,congested areas,641,466780,24289,970897,non-compliant,no,in place,hazardous,bulk carrier,6,181842,29205.34,41.94053565,Medium
124,PortA,PortZ,0,3,0,45,2,19,1371,15,regular,congested areas,935,352633,42899,1116636,compliant,no,in place,hazardous,container,8,361959,22981.625,29.59517708,Low
125,PortC,PortX,0,2,6,63,0,18,1705,15,regular,congested areas,835,482049,40846,724879,compliant,yes,in place,non-hazardous,bulk carrier,2,286457,30747.35,44.99926607,Medium
126,PortA,PortX,0,4,2,56,2,15,1433,18,irregular,clear,959,374173,60132,901538,compliant,no,in place,non-hazardous,bulk carrier,6,518434,24810.65,33.22323033,Medium
127,PortB,PortZ,0,3,2,41,0,13,1419,17,regular,clear,633,429078,22231,1150335,compliant,yes,not in place,non-hazardous,container,6,450002,26897.365,37.36243737,Medium
128,PortC,PortZ,1,3,6,62,2,23,1308,15,regular,congested areas,944,493996,41796,1096280,compliant,yes,not in place,non-hazardous,bulk carrier,16,519743,31418.065,46.32969607,Medium
129,PortA,PortY,1,3,3,41,1,20,1584,16,irregular,clear,980,348621,30622,1005389,non-compliant,yes,in place,non-hazardous,bulk carrier,16,281911,22435.485,28.51185399,Low
130,PortC,PortZ,0,3,2,71,2,14,1912,12,regular,clear,644,385651,44548,724125,compliant,no,not in place,non-hazardous,bulk carrier,22,363613,25087.73,33.77284611,Medium
131,PortC,PortZ,1,2,6,46,0,14,1286,15,regular,clear,733,457505,42314,942513,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,87932,29192.97,41.91599852,Medium
132,PortA,PortY,0,4,2,47,0,18,1504,18,irregular,clear,620,355450,39798,861512,non-compliant,no,not in place,non-hazardous,container,9,321819,23027.745,29.68666069,Low
133,PortB,PortZ,0,4,4,39,1,26,1782,14,regular,clear,721,262321,43004,999655,non-compliant,no,in place,non-hazardous,container,12,359849,17627.95,18.9756295,Low
134,PortA,PortZ,0,0,5,67,2,18,1484,13,irregular,congested areas,669,539710,28532,828597,non-compliant,yes,not in place,hazardous,container,11,365404,33749.805,50.9549346,Medium
135,PortC,PortZ,0,3,6,41,2,13,1590,13,regular,congested areas,951,329707,46827,796141,non-compliant,yes,not in place,hazardous,bulk carrier,8,345763,21780.555,27.21273511,Low
136,PortA,PortY,1,3,1,75,1,19,1287,12,irregular,congested areas,960,380533,30188,640270,compliant,yes,not in place,non-hazardous,bulk carrier,13,356659,24258.82,32.12862057,Medium
137,PortC,PortX,1,0,2,60,2,18,1585,13,regular,congested areas,647,446414,20592,1133270,non-compliant,yes,not in place,hazardous,bulk carrier,12,78675,27934.68,39.42005499,Medium
138,PortA,PortZ,1,4,2,20,2,9,1462,14,regular,congested areas,638,320101,23439,890034,non-compliant,no,not in place,hazardous,bulk carrier,11,375622,20407.635,24.48941155,Low
139,PortB,PortY,1,1,0,68,0,19,1697,12,irregular,congested areas,886,289287,52855,973571,compliant,yes,in place,non-hazardous,container,10,398343,19550.72,22.7896353,Low
140,PortB,PortZ,0,1,3,29,2,19,1737,15,regular,clear,609,394489,37011,949664,non-compliant,yes,not in place,non-hazardous,bulk carrier,15,483802,25342.005,34.2772259,Medium
141,PortB,PortY,1,4,5,46,2,22,2017,16,irregular,congested areas,629,225897,38156,789884,compliant,yes,not in place,hazardous,container,9,386873,15337.545,14.43238306,Low
142,PortB,PortZ,0,3,0,82,1,27,1615,13,irregular,clear,843,343813,53259,761140,compliant,yes,in place,non-hazardous,bulk carrier,9,336926,22807.65,29.25008034,Low
143,PortA,PortY,0,1,4,58,1,24,1565,18,irregular,clear,873,392627,40442,799202,compliant,yes,not in place,hazardous,bulk carrier,14,460494,25344.295,34.28176834,Medium
144,PortB,PortX,1,2,1,28,0,18,1538,16,irregular,congested areas,687,334117,49375,841524,compliant,no,in place,non-hazardous,container,17,114266,22056.775,27.76064499,Low
145,PortA,PortX,0,2,3,64,2,15,1429,17,regular,congested areas,843,241449,44899,1004990,compliant,no,in place,hazardous,bulk carrier,16,298505,16365.375,16.47118623,Low
146,PortC,PortX,1,0,0,49,2,30,1567,13,irregular,congested areas,980,491205,58551,830642,non-compliant,no,in place,non-hazardous,container,10,273419,31826.655,47.14017503,Medium
147,PortC,PortZ,1,4,6,16,2,20,1440,16,regular,clear,928,375610,29882,1211973,compliant,yes,in place,hazardous,container,5,346547,23986.34,31.58812935,Medium
148,PortC,PortY,1,4,2,14,0,20,1533,12,regular,congested areas,614,470998,25987,1104072,compliant,yes,not in place,hazardous,bulk carrier,10,130130,29552.92,42.6299952,Medium
149,PortB,PortZ,1,1,2,51,0,19,1763,16,irregular,congested areas,603,353295,64295,1071253,non-compliant,no,not in place,hazardous,container,12,481963,23694.83,31.00989023,Medium
150,PortB,PortZ,1,3,3,97,1,20,1298,15,irregular,congested areas,790,295849,46705,932051,non-compliant,no,in place,hazardous,container,6,325019,19642.605,22.97189834,Low
151,PortB,PortY,0,4,2,57,0,19,1727,16,regular,clear,767,390628,55765,1177142,non-compliant,no,not in place,non-hazardous,bulk carrier,10,381879,25702.485,34.99227388,Medium
152,PortC,PortZ,1,1,6,16,2,17,1763,12,irregular,congested areas,608,351352,42676,917299,non-compliant,no,in place,hazardous,container,18,372309,22930.73,29.49422177,Low
153,PortC,PortY,1,1,0,20,2,17,1476,13,regular,congested areas,708,279591,41126,945310,compliant,yes,not in place,non-hazardous,container,12,476248,18526.035,20.75707054,Low
154,PortC,PortY,0,4,0,82,0,19,1075,16,irregular,clear,736,475772,33112,975496,non-compliant,yes,not in place,hazardous,bulk carrier,9,163804,29962.5,43.44243792,Medium
