Route,POL,POD,Total_Travel_Days,Leg_1_Travel_Days,Leg_1_Distance,Leg_2_Travel_Days,Leg_2_Distance,Leg_3_Travel_Days,Leg_3_Distance,No_Of_Travels,Vessel_Age,Vessel_Capacity,Port_Congestion_Level,Port_Security_Rating,Cargo_Value,Freight_Rates,Incident_Date,Recent_Incidents_10Days,Recent_Incidents_5Months,Older_Incidents,Risk_Score
Route 83,Mumbai,Hamburg,29,6,1409,10,3727,9,3549,31,17,3049,4,4,70582,302,2024-07-28,1,21,63,7734.3547117397275
Route 84,Mumbai,Hamburg,34,10,2224,4,5233,13,3243,103,6,2738,2,3,145398,237,2024-08-04,1,21,63,15178.80741276451
Route 85,Shanghai,Los Angeles,36,7,3043,11,3194,6,4223,54,14,2716,3,2,132302,262,2024-08-11,1,21,63,13848.314203652457
Route 86,Shanghai,Rotterdam,32,7,1492,11,4188,11,2053,32,9,3405,2,1,44591,276,2024-08-18,1,21,63,5198.152197750155
Route 87,Shanghai,Hamburg,30,8,1819,8,3343,13,2882,67,9,2673,4,2,134124,380,2024-08-25,1,21,63,14034.75768151311
Route 88,Shanghai,Antwerp,23,7,2208,13,3739,12,5539,65,3,3457,3,3,114489,285,2024-09-01,1,21,63,12213.368261947384
Route 89,Tokyo,Los Angeles,24,8,1973,6,2489,16,3071,46,8,3611,6,4,216651,382,2024-09-08,1,21,63,22469.92057330255
Route 90,Hong Kong,Rotterdam,28,5,1508,13,3779,8,5243,66,6,2165,5,3,120197,358,2024-09-15,1,21,63,12538.207419714783
Route 91,Hong Kong,New York,26,5,2560,10,3806,12,4355,33,8,3566,4,4,92937,357,2024-09-22,1,21,63,10076.223182223928
Route 92,Shanghai,Antwerp,29,4,3160,8,4540,9,2190,40,5,4030,3,2,57174,438,2024-09-29,1,21,63,6603.19503463538
Route 93,Hong Kong,Hamburg,30,7,2098,9,4223,13,4635,9,8,3126,5,3,62787,188,2024-10-06,1,21,63,6946.272471656862
Route 94,Hong Kong,Hamburg,32,8,1547,9,2801,9,3882,23,8,3299,6,3,58711,252,2024-10-13,1,21,63,6586.294726807033
Route 95,Shanghai,Antwerp,29,7,1225,13,5084,8,3544,86,10,3518,5,1,168554,476,2024-10-20,1,21,63,17672.495768427114
Route 96,Hong Kong,Hamburg,32,10,2128,6,4210,13,4244,82,3,2862,8,2,100898,274,2024-10-27,1,21,63,10748.007871776808
Route 97,Mumbai,Los Angeles,30,6,2551,7,4198,8,4474,51,4,3091,5,3,128262,18,2024-11-03,1,21,63,13487.369509141661
Route 98,Singapore,Rotterdam,20,8,2237,13,3990,5,4707,83,11,2342,6,3,175712,279,2024-11-10,1,21,63,18126.777286524954
Route 99,Singapore,Los Angeles,25,4,1998,8,3482,8,5178,46,6,3069,5,1,-17923,313,2024-11-17,1,21,63,0.0
Route 100,Shanghai,Hamburg,29,6,1705,12,4217,11,4408,45,14,3249,6,0,163943,38,2024-11-24,1,21,63,17085.99632615074
Route 101,Tokyo,New York,23,8,1453,15,4475,14,2624,51,10,3258,3,2,102769,433,2024-12-01,1,21,63,11014.979728414984
Route 102,Shanghai,Rotterdam,32,8,2417,8,2253,10,3526,47,12,3532,4,2,121752,228,2024-12-08,1,21,63,12947.866936212416
Route 103,Tokyo,Rotterdam,37,6,2456,12,3461,13,6943,45,15,2612,5,2,58579,332,2024-12-15,1,21,63,6454.273272798753
Route 104,Singapore,Antwerp,36,6,1227,6,3745,5,4724,72,8,2733,5,3,62243,277,2024-12-22,1,21,63,6850.785239887432
Route 105,Shanghai,Antwerp,28,3,2794,12,4256,8,6369,53,7,3947,6,3,124442,171,2024-12-29,1,21,63,13297.93189029259
Route 106,Mumbai,New York,37,6,2287,10,5193,9,5395,64,13,2924,7,3,219229,192,2025-01-05,1,21,63,22575.74703368676
Route 107,Hong Kong,Rotterdam,30,8,2699,11,3228,9,4241,70,12,3100,2,0,150165,206,2025-01-12,1,21,63,15705.164363247046
Route 108,Tokyo,New York,28,8,1328,8,3502,10,4301,57,9,2966,3,1,163276,408,2025-01-19,1,21,63,17004.694196112705
Route 109,Hong Kong,Antwerp,26,8,1317,5,3487,12,3963,30,15,2589,5,2,90399,285,2025-01-26,1,21,63,9617.61913456575
Route 110,Hong Kong,Antwerp,28,7,1925,11,3198,8,2262,22,9,3811,3,3,69989,247,2025-02-02,1,21,63,7815.27245212821
Route 111,Shanghai,Rotterdam,28,7,2251,3,3652,10,4018,52,10,2736,11,3,60959,206,2025-02-09,1,21,63,6708.578590999102
Route 112,Hong Kong,Los Angeles,30,5,2898,9,4770,9,5210,46,10,2436,6,3,75586,419,2025-02-16,1,21,63,8128.860625909952
Route 113,Mumbai,Hamburg,30,8,2353,12,2946,7,3400,51,6,2774,4,2,-2639,446,2025-02-23,1,21,63,379.90586835394953
Route 114,Hong Kong,Antwerp,30,7,1878,10,4427,9,4411,49,10,1999,3,2,63754,418,2025-03-02,1,21,63,6857.717330277675
Route 115,Shanghai,Antwerp,32,7,1486,15,2298,9,4851,101,15,2674,4,2,71982,349,2025-03-09,1,21,63,7839.250178823492
Route 116,Mumbai,Los Angeles,35,5,2615,13,3438,9,3090,23,11,2515,5,3,91232,328,2025-03-16,1,21,63,9692.222645598407
Route 117,Singapore,Los Angeles,34,2,1517,8,3670,10,3548,10,10,3308,5,2,106587,178,2025-03-23,1,21,63,11360.188675003974
Route 118,Hong Kong,New York,22,9,2814,10,5674,10,2982,56,9,2663,4,3,118122,275,2025-03-30,1,21,63,12419.674045711114
Route 119,Shanghai,New York,17,6,1857,9,3725,8,3177,42,11,3443,4,3,99253,231,2025-04-06,1,21,63,10676.016364174944
Route 120,Singapore,Hamburg,34,5,2795,5,1798,13,2712,56,12,3699,7,2,70927,117,2025-04-13,1,21,63,7893.048196257682
Route 121,Singapore,Hamburg,23,8,2339,7,2001,6,3099,61,12,3390,7,2,1832,405,2025-04-20,1,21,63,948.0570216248474
Route 122,Tokyo,Rotterdam,28,6,1931,8,4034,7,5419,75,8,2892,5,1,71234,230,2025-04-27,1,21,63,7776.00897550975
Route 123,Mumbai,New York,24,9,1740,3,4613,18,3084,19,11,3070,2,2,51377,419,2025-05-04,1,21,63,5820.017464570185
Route 124,Hong Kong,Antwerp,20,8,1829,10,4375,6,4126,38,11,2237,6,2,123303,388,2025-05-11,1,21,63,12852.22215038188
Route 125,Shanghai,New York,32,8,2214,9,4167,5,3497,58,5,2933,8,0,145464,355,2025-05-18,1,21,63,15212.766581781141
Route 126,Tokyo,Antwerp,33,4,2038,4,5162,12,5178,65,10,2569,7,2,146928,361,2025-05-25,1,21,63,15293.160946835107
Route 127,Mumbai,Los Angeles,27,9,1703,11,3460,3,5311,93,1,3347,6,3,137847,238,2025-06-01,1,21,63,14541.740027063672
Route 128,Tokyo,New York,17,7,1917,12,4894,9,4864,69,11,4286,7,3,93323,485,2025-06-08,1,21,63,10290.784678842869
Route 129,Mumbai,Los Angeles,27,6,2039,10,2367,16,4306,48,12,3249,5,2,73902,304,2025-06-15,1,21,63,8111.352277378754
Route 130,Mumbai,Hamburg,31,7,935,9,3095,5,3768,32,12,2004,6,3,62644,330,2025-06-22,1,21,63,6732.696973246483
Route 131,Hong Kong,Hamburg,22,3,2229,11,2192,4,2808,38,8,2819,3,2,24625,235,2025-06-29,1,21,63,3084.2617094403868
Route 132,Mumbai,Rotterdam,30,7,1510,12,3725,5,5943,38,11,3061,5,3,149592,206,2025-07-06,1,21,63,15627.831988995875
Route 133,Tokyo,New York,29,4,1423,10,3953,12,3240,63,15,3043,7,4,91264,347,2025-07-13,1,21,63,9818.673966372846
Route 134,Mumbai,Los Angeles,32,4,1156,7,4114,13,4663,55,15,2634,3,3,37682,321,2025-07-20,1,21,63,4374.238956232442
Route 135,Hong Kong,Antwerp,30,3,1103,10,4061,8,5059,23,9,3122,3,3,58675,221,2025-07-27,1,21,63,6542.062588586807
Route 136,Hong Kong,Hamburg,25,9,1322,13,3072,12,3444,41,10,2378,5,2,56651,156,2025-08-03,1,21,63,6196.732557478471
Route 137,Tokyo,Hamburg,35,5,1645,8,3809,14,5038,67,14,2527,4,3,102151,173,2025-08-10,1,21,63,10787.805207815882
Route 138,Singapore,Antwerp,29,10,2976,16,2502,15,4764,57,3,3322,6,1,153373,419,2025-08-17,1,21,63,16086.715832889906
Route 139,Singapore,Los Angeles,29,5,1737,8,5363,9,5727,61,8,2492,4,2,82600,238,2025-08-24,1,21,63,8833.525814441316
Route 140,Mumbai,Los Angeles,25,3,2088,10,3696,3,3530,57,15,3269,8,3,-12626,266,2025-08-31,1,21,63,0.0
Route 141,Shanghai,New York,27,4,2200,7,3511,7,2714,82,13,2315,2,3,90540,445,2025-09-07,1,21,63,9620.72693349581
Route 142,Mumbai,New York,25,9,2065,10,5588,8,3494,54,11,3882,7,3,92190,187,2025-09-14,1,21,63,10057.76831203435
Route 143,Tokyo,Rotterdam,29,6,1961,4,2757,9,4208,42,3,2612,3,3,88753,227,2025-09-21,1,21,63,9454.603144974439
Route 144,Tokyo,Hamburg,38,5,1402,8,2874,9,4058,31,9,2888,1,2,68626,223,2025-09-28,1,21,63,7497.994621966176
Route 145,Tokyo,New York,23,7,2725,6,2903,13,3606,54,7,3165,5,3,110871,461,2025-10-05,1,21,63,11811.042078985274
Route 146,Tokyo,Los Angeles,21,8,2903,10,3932,13,2090,1,11,2717,4,2,103307,499,2025-10-12,1,21,63,10942.867357676476
Route 147,Tokyo,Antwerp,37,9,1158,12,4431,9,4470,46,6,3071,2,2,98758,375,2025-10-19,1,21,63,10563.30736752977
Route 148,Hong Kong,Los Angeles,28,9,1487,11,4739,13,5972,45,5,3287,1,3,120632,378,2025-10-26,1,21,63,12797.717482776217
Route 149,Singapore,Hamburg,26,6,1860,2,6571,11,4464,22,1,3480,4,3,78508,241,2025-11-02,1,21,63,8599.714843891987
Route 150,Tokyo,Los Angeles,35,4,1517,16,1750,10,4609,31,14,3395,6,1,75670,494,2025-11-09,1,21,63,8332.198954121657
Route 151,Shanghai,Rotterdam,26,6,2252,10,4608,12,4572,66,8,2914,6,3,169006,326,2025-11-16,1,21,63,17568.336666459214
Route 152,Shanghai,Hamburg,39,7,1635,7,3442,10,4397,54,10,2926,5,3,127967,385,2025-11-23,1,21,63,13463.541028844811
Route 153,Shanghai,Antwerp,33,5,3082,10,3413,16,4931,52,9,4174,5,2,141347,289,2025-11-30,1,21,63,15042.726246834387
Route 154,Shanghai,Rotterdam,27,5,2595,10,3380,5,4395,56,5,3474,4,5,161305,273,2025-12-07,1,21,63,16899.43516992095
Route 155,Hong Kong,Hamburg,40,7,2106,7,3091,8,3687,51,4,2539,2,2,126297,466,2025-12-14,1,21,63,13221.611112829823
Route 156,Shanghai,Antwerp,26,6,2513,10,5684,9,3204,74,5,3049,2,2,146419,353,2025-12-21,1,21,63,15337.657440817038
Route 157,Tokyo,Rotterdam,33,7,2552,8,4842,11,3751,52,7,2832,4,2,21032,445,2025-12-28,1,21,63,2758.776314643487
Route 158,Mumbai,Rotterdam,31,5,1718,8,4023,13,4314,20,11,2932,4,2,110207,325,2026-01-04,1,21,63,11669.452091553345
Route 159,Shanghai,Hamburg,36,6,1591,7,5351,9,3683,82,6,2385,6,2,90864,215,2026-01-11,1,21,63,9639.802833932757
Route 160,Hong Kong,New York,37,5,2039,5,2487,5,4314,57,16,2794,6,1,183884,241,2026-01-18,1,21,63,19020.99004291854
Route 161,Hong Kong,Rotterdam,30,8,2430,10,2669,12,4439,38,14,3905,6,2,146382,310,2026-01-25,1,21,63,15488.790606798308
Route 162,Shanghai,Rotterdam,26,9,2069,11,1822,12,4833,24,13,3289,4,2,68477,237,2026-02-01,1,21,63,7561.462017909214
Route 163,Mumbai,Antwerp,32,3,1211,11,3300,4,5282,57,9,1754,2,4,118639,189,2026-02-08,1,21,63,12278.730957353135
Route 164,Shanghai,Los Angeles,26,5,1598,12,4161,9,4078,47,16,3608,5,5,108384,420,2026-02-15,1,21,63,11647.790366992964
Route 165,Hong Kong,Hamburg,40,4,1963,10,4102,5,2692,81,9,3544,6,4,122716,245,2026-02-22,1,21,63,13065.787657548972
Route 166,Singapore,Hamburg,30,5,1962,8,4149,8,3654,43,9,2820,0,2,49057,313,2026-03-01,1,21,63,5538.497330129088
Route 167,Tokyo,New York,28,6,2986,12,2588,7,4044,33,10,3358,3,2,118000,329,2026-03-08,1,21,63,12538.635505092347
Route 168,Hong Kong,New York,30,4,1307,5,4803,12,2164,67,12,2570,3,2,88592,241,2026-03-15,1,21,63,9447.702956740992
Route 169,Shanghai,Hamburg,23,5,2252,7,4239,10,5388,68,12,2764,5,4,114122,445,2026-03-22,1,21,63,12066.203277897373
Route 170,Tokyo,New York,25,4,2744,7,4733,6,4142,53,8,3749,3,2,63780,188,2026-03-29,1,21,63,7189.859456121349
Route 171,Shanghai,Antwerp,36,7,3135,13,2107,12,4381,63,7,2864,4,1,70746,326,2026-04-05,1,21,63,7726.155951349647
Route 172,Shanghai,Hamburg,26,7,1797,12,4311,5,5365,49,12,2065,4,2,158692,324,2026-04-12,1,21,63,16356.06834817225
Route 173,Singapore,New York,24,5,2245,11,2812,10,3369,54,12,2968,4,3,47422,294,2026-04-19,1,21,63,5411.2535412022835
Route 174,Tokyo,Hamburg,32,7,2284,13,3602,7,4574,73,8,2960,3,3,51112,170,2026-04-26,1,21,63,5775.606662343557
Route 175,Tokyo,Los Angeles,35,5,2097,7,4534,8,3890,62,3,3599,3,2,97420,387,2026-05-03,1,21,63,10544.3283463097
Route 176,Singapore,Rotterdam,33,6,1950,11,4091,11,3815,46,9,3007,2,3,61405,374,2026-05-10,1,21,63,6823.495320005884
Route 177,Hong Kong,Hamburg,34,10,2217,9,3148,11,3227,77,12,2789,5,0,55748,232,2026-05-17,1,21,63,6212.717350588112
Route 178,Shanghai,Rotterdam,26,9,733,12,4006,14,5665,2,17,3522,6,3,105253,370,2026-05-24,1,21,63,11289.33291194594
Route 179,Mumbai,New York,22,4,2341,9,2468,9,3624,91,5,3060,3,3,24746,337,2026-05-31,1,21,63,3182.1056209123535
Route 180,Shanghai,Rotterdam,37,8,2063,8,5150,10,4699,15,8,2624,8,2,49601,171,2026-06-07,1,21,63,5527.538517934703
Route 181,Shanghai,Hamburg,28,8,1888,11,3794,8,2124,37,8,3577,4,2,202704,214,2026-06-14,1,21,63,21042.603433724147
Route 182,Hong Kong,Los Angeles,28,4,3023,12,5118,10,5179,49,15,3096,8,1,122973,413,2026-06-21,1,21,63,13004.035591938073
Route 183,Shanghai,New York,36,8,1662,7,3473,11,5052,47,9,3001,3,4,62671,330,2026-06-28,1,21,63,6941.8841428250935
Route 184,Singapore,Hamburg,32,10,1798,9,3476,9,4097,70,6,3088,0,2,120910,243,2026-07-05,1,21,63,12785.234100436985
Route 185,Singapore,New York,32,4,2995,6,3235,4,3773,28,12,2464,5,3,128366,214,2026-07-12,1,21,63,13382.932304953294
Route 186,Tokyo,Antwerp,40,5,1583,2,4876,10,4400,55,8,2736,5,3,149720,248,2026-07-19,1,21,63,15589.691281056625
Route 187,Mumbai,Rotterdam,26,9,1724,10,3290,11,6288,38,5,3001,5,4,93642,255,2026-07-26,1,21,63,10024.592159311522
Route 188,Shanghai,Antwerp,34,7,1926,11,4644,7,2236,55,6,2902,3,2,148824,215,2026-08-02,1,21,63,15530.6330564651
Route 189,Shanghai,Hamburg,30,8,2420,10,3617,6,4782,48,16,3636,4,2,-1922,125,2026-08-09,1,21,63,589.4325055185617
Route 190,Hong Kong,Los Angeles,31,7,2103,4,2024,14,3088,51,11,3108,3,3,47184,414,2026-08-16,1,21,63,5424.550041111478
Route 191,Singapore,New York,37,7,1353,8,3429,11,3980,39,10,3427,4,4,108193,397,2026-08-23,1,21,63,11581.870079175093
Route 192,Mumbai,Rotterdam,32,4,1733,3,2820,9,3752,39,9,3004,6,2,116481,172,2026-08-30,1,21,63,12302.792097224654
