RouteID,POL_Code,POD_Code,Distance,Average_Transit_Days,Number_Of_Travels,Total_Incidents_Count,Carbon_Emissions,Cargo_Value,Route_Duration,Incident_Date,Average_Vessel_Age,Crew_Experience_Level,Days_Since_Incident,Recent_Incidents,Total_Recent_Incidents,Previous_Safety_Awards_no,Previous_Safety_Awards_yes,Training_Programs_irregular,Training_Programs_regular,Incident_Severity_critical,Incident_Severity_major,Incident_Severity_minor,Cargo_Type_hazardous,Cargo_Type_non-hazardous,Navigational_Risks_clear,Navigational_Risks_congested areas,Navigational_Risks_shallow waters,Regulatory_Compliance_compliant,Regulatory_Compliance_non-compliant,Ship_Maintenance_Records_overdue,Ship_Maintenance_Records_up-to-date,Insurance_Coverage_full,Insurance_Coverage_none,Insurance_Coverage_partial,Ship_Type_bulk carrier,Ship_Type_container,Emergency_Response_Plans_in place,Emergency_Response_Plans_not in place,RiskScore,RiskScore_Category
25,POL2,POD3,0.7916435437612542,0.2906904775808814,0.2708333333333333,0.2857142857142857,0.5992852258495418,0.22534200940878363,0.17213979112804367,2023-08-25 13:54:32.478650,0.3128641187986692,0.5232251986380919,354,0,0.0,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,0.38045497865985856,Medium Risk
26,POL3,POD3,0.5397677984187695,0.47393471790731,0.9166666666666666,0.2857142857142857,0.546760255287025,0.6384758177705143,0.3750522236558579,2023-09-07 13:54:32.478650,0.4444152373303792,0.49054987349978896,341,0,0.0,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,0.6987546255762519,High Risk
27,POL1,POD3,0.3322802783893284,0.42743319074187125,0.5624999999999999,0.3571428571428571,0.7015740035924882,0.28355415361720043,0.5910501897061144,2024-02-17 13:54:32.479650,0.5354445821247329,0.548171207007904,178,0,0.0,False,True,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,0.8115711331421894,High Risk
28,POL3,POD2,0.4606073240004669,0.372324742034302,0.4583333333333333,0.42857142857142855,0.301104084197966,0.22098543745437244,0.31287053425278155,2024-02-21 13:54:32.479650,0.5964056160591266,0.7076146851414357,174,0,0.0,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,0.6524776445183412,Medium Risk
29,POL1,POD3,0.3532044216288257,0.4527308016554278,0.5624999999999999,0.21428571428571427,0.5022304260418047,0.3880846526198279,0.6710118309569766,2024-06-10 13:54:32.479650,0.38277194805563935,0.6731343000881477,64,0,0.0,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0.37797431437649864,Medium Risk
30,POL2,POD2,0.6018127114643085,0.5086110291885558,0.0625,0.5714285714285714,0.6324948645940767,0.3872140489054016,0.34180089768871424,2023-11-16 13:54:32.479650,0.3732483570137799,0.596716682874616,271,0,0.0,True,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True,0.5347497845885897,Medium Risk
31,POL2,POD2,0.49939009640885124,0.4268686648497688,0.6874999999999999,0.14285714285714285,0.7478159998719067,0.3055036548682187,0.5061986914892574,2023-12-12 13:54:32.479650,0.48612852788101224,0.31722552958633543,245,0,0.0,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,0.19367189606057628,Low Risk
32,POL3,POD3,0.5815109932497889,0.6044177290195187,0.6041666666666666,0.5714285714285714,0.5562566079997702,0.4734585710024855,0.3581338512180796,2023-10-10 13:54:32.479650,0.5331253244719932,0.625634982674106,308,0,0.0,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,0.5790188732821643,Medium Risk
33,POL1,POD1,0.3255560410447824,0.18370641374480956,0.4375,0.14285714285714285,0.5329626696481213,0.49700822926290006,0.5126582782370932,2023-09-04 13:54:32.479650,0.5029905325896821,0.5774392822895361,344,0,0.0,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,0.3990285548346897,Medium Risk
34,POL2,POD3,0.635647564395598,0.41378628504526327,0.04166666666666667,0.14285714285714285,0.5502688698741236,0.3187426579842925,0.6655449331606142,2024-04-24 13:54:32.479650,0.13674555340015426,0.7255591205459054,111,0,0.0,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,0.5022946002741776,Medium Risk
35,POL2,POD3,0.5270129107542291,0.2563220623717849,0.7916666666666666,0.5,0.591276558226747,0.47384535351594786,0.5946660140529604,2023-10-04 13:54:32.479650,0.3539368648683483,0.5038727217897101,314,0,0.0,True,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,0.6854427904350099,High Risk
36,POL2,POD2,0.2894187406971116,0.6900437800723459,0.49999999999999994,0.3571428571428571,0.44386160698265126,0.398573464311986,0.7097891154546281,2024-03-22 13:54:32.479650,0.2343864079839046,0.6243900134388395,144,0,0.0,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,0.5269700596783737,Medium Risk
37,POL1,POD2,0.3191613623858165,0.2543253713005744,0.3541666666666667,0.21428571428571427,0.36721564871236295,0.19470605559177873,0.3210631617020373,2024-08-13 13:54:32.479650,0.17625385496322726,0.6405916836146689,0,1,1.0,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,0.4045744124830091,Medium Risk
38,POL3,POD2,0.13862860647211217,0.22896377450228322,0.2708333333333333,0.21428571428571427,0.44681921546532294,0.4943816552297063,0.2544019042394624,2023-08-17 13:54:32.479650,0.38681142136344493,0.6887028793907792,362,0,0.0,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,0.569280165149387,Medium Risk
39,POL1,POD2,0.25773547154904985,0.2521394870945822,0.18749999999999997,0.14285714285714285,0.5993321046377036,0.31849161855072866,0.2385862305707599,2024-01-12 13:54:32.479650,0.4303062632349468,0.41870132893580403,214,0,0.0,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,0.32409434779908586,Low Risk
40,POL3,POD3,0.45781854047559123,0.09708326561561564,0.8541666666666666,0.3571428571428571,0.41295742546169817,0.5579750516856405,0.40189707097040295,2023-12-22 13:54:32.479650,0.3494675227894212,0.6644880730901764,235,0,0.0,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,0.5209839549147415,Medium Risk
41,POL3,POD1,0.2737514936886707,0.5247207200770627,0.5208333333333333,0.07142857142857142,0.6615385873598834,0.37057907499510584,0.23008234219167878,2024-06-03 13:54:32.479650,0.5394942263617865,0.6609303820164139,71,0,0.0,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True,0.37041010977423455,Medium Risk
42,POL1,POD1,0.400974105862682,0.2978692850623875,0.7708333333333333,0.07142857142857142,0.7508425859377523,0.40060199442816385,0.28749925896351625,2023-11-30 13:54:32.479650,0.6001031802031487,0.5910092529973853,257,0,0.0,True,False,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,0.4871456918154669,Medium Risk
43,POL3,POD1,0.27308887659412195,0.5245602089663962,0.2916666666666667,0.14285714285714285,0.4320756151699047,0.3604487349948819,0.3152800618318392,2024-03-22 13:54:32.479650,0.23110081983178637,0.5989087134433873,144,0,0.0,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,0.27683580844145783,Low Risk
44,POL1,POD1,0.30163453266812057,0.5599599359575657,0.6041666666666666,0.3571428571428571,0.5175787165416361,0.2610999514142723,0.9615782194085154,2024-01-20 13:54:32.479650,0.6202324632764087,0.6100116826667108,206,0,0.0,False,True,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,0.5445512949772359,Medium Risk
45,POL1,POD2,0.4816590385812667,0.25798484815630307,0.9791666666666666,0.5,0.46417355322887127,0.4003186911184306,0.4746346479163911,2024-07-21 13:54:32.479650,0.29638360154083043,0.5252924182196849,23,0,0.0,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,0.5885259813096317,Medium Risk
46,POL1,POD3,0.7156391673443497,0.400901729883553,0.14583333333333331,0.5,0.5219736861454691,0.1126951137606505,0.4285540599149418,2024-04-10 13:54:32.479650,0.8230295234016841,0.5415048259602033,125,0,0.0,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,0.37826726178351894,Medium Risk
47,POL2,POD2,0.36509814207714364,0.41749342825903646,0.5624999999999999,0.42857142857142855,0.5159279164221673,0.566286558918256,0.33651229025536933,2024-03-26 13:54:32.479650,0.3049262515866269,0.41441741615317185,140,0,0.0,False,True,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,True,False,0.3627746546975285,Medium Risk
48,POL2,POD2,0.6974569722248766,0.4598615317778846,0.5833333333333333,0.2857142857142857,0.6346464799181619,0.20511841138666959,0.26454405284598126,2024-06-21 13:54:32.479650,0.4134907817363536,0.5147071659006288,53,0,0.0,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,0.3882998956497839,Medium Risk
49,POL3,POD3,0.48128401844438984,0.5490122440242133,0.4583333333333333,0.21428571428571427,0.6517773597665255,0.4330012690270542,0.43893853476413947,2024-03-20 13:54:32.479650,0.5610552719765614,0.46727968516227625,146,0,0.0,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,0.40959933904055484,Medium Risk
50,POL1,POD3,0.3990435402516139,0.44669135167987783,0.08333333333333333,0.14285714285714285,0.5566058695850338,0.6993388476722846,0.2735518862837295,2024-04-30 13:54:32.479650,0.7055097863009158,0.68862450996077,105,0,0.0,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,0.4524061581067591,Medium Risk
51,POL1,POD3,0.2612685574171807,0.6512445419062057,0.0625,0.42857142857142855,0.3179946874068707,0.5457667156249473,0.18319331415074447,2024-05-23 13:54:32.479650,0.5362407134904958,0.2889050422763269,82,0,0.0,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,True,0.4667681227881336,Medium Risk
52,POL2,POD2,0.49304551698298915,0.31596644892557246,0.49999999999999994,0.2857142857142857,0.5862652791386469,0.4686130865184093,0.17327373179992944,2024-03-02 13:54:32.479650,0.5184424814929081,0.599955467580208,164,0,0.0,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,0.6780224778447564,High Risk
53,POL1,POD1,0.7036539306848916,0.6319383151811676,0.8124999999999999,0.3571428571428571,0.4764168338920513,0.22378837469495888,0.71544272888733,2024-01-14 13:54:32.479650,0.44193281267431855,0.46897702477528036,212,0,0.0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,0.5522695735615419,Medium Risk
54,POL2,POD2,0.6561736755045321,0.7672087867120708,0.5416666666666666,0.5,0.3753565227468651,0.5449216905631513,0.3313364875731366,2023-09-25 13:54:32.479650,0.5221681868343372,0.4899555622089755,323,0,0.0,True,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,True,False,0.5377799006473806,Medium Risk
55,POL3,POD2,0.4437690922610703,0.9694400128072397,0.18749999999999997,0.2857142857142857,0.6034882760658469,0.49690242512416577,0.16929888563122353,2024-05-05 13:54:32.479650,0.6893825315066784,0.5753030187878984,100,0,0.0,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,0.4876108450527269,Medium Risk
56,POL3,POD3,0.5662933251713352,0.1425139096569844,0.8541666666666666,0.5,0.5264987874709854,0.1104429770559206,0.38464499487562287,2024-02-14 13:54:32.479650,0.48129537404123834,0.6611569979277678,181,0,0.0,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,0.6237335112108159,Medium Risk
57,POL1,POD2,0.6057044191555707,0.28533217137089384,0.14583333333333331,0.42857142857142855,0.7770037497167703,0.6717571821894719,0.5487938276379869,2024-02-12 13:54:32.479650,0.46136798833449333,0.3912279707081494,183,0,0.0,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,0.5246300192914236,Medium Risk
58,POL2,POD1,0.4589908501244029,0.40154114229575333,0.4166666666666667,0.5714285714285714,0.5783848675076844,0.6488362875314393,0.4370678543586628,2023-08-20 13:54:32.479650,0.3253297032343125,0.39933665821868536,359,0,0.0,True,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,0.41248308041014153,Medium Risk
59,POL2,POD1,0.3152247549447541,0.53628007757789,0.22916666666666666,0.6428571428571428,0.44514675678308485,0.6913714734452279,0.254947864275623,2024-03-21 13:54:32.479650,0.33657846964510846,0.6551876484242644,145,0,0.0,True,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,0.5283261760090932,Medium Risk
60,POL2,POD2,0.30526245199640534,0.37452325040398804,0.12499999999999999,0.3571428571428571,0.784985058923023,0.4785255785701525,0.4240851760940686,2023-09-06 13:54:32.479650,0.4417349287613007,0.27014465419565986,342,0,0.0,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,0.6472356458077293,Medium Risk
61,POL2,POD3,0.4229282775483365,0.4070097394854685,0.5833333333333333,0.42857142857142855,0.7150252495789535,0.754803631226082,0.34332667483251655,2024-01-16 13:54:32.479650,0.49790966800259645,0.5425752656897117,210,0,0.0,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,0.556510786305722,Medium Risk
62,POL3,POD2,0.5612077406938649,0.5387194602034234,0.9374999999999999,0.2857142857142857,0.45262682266427495,0.5839386272580798,0.6055876902296754,2023-10-27 13:54:32.479650,0.7367213777086221,0.29285610176941645,291,0,0.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,0.6043612089991048,Medium Risk
63,POL3,POD1,0.33806494790930286,0.2544312018562571,0.04166666666666667,0.5,0.5019587796464331,0.3676576210810016,0.676133275521773,2024-07-10 13:54:32.479650,0.506871656836884,0.6251729419828296,34,0,0.0,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,0.4456316979910066,Medium Risk
64,POL3,POD1,0.6516131941790754,0.639340628127138,0.8124999999999999,0.21428571428571427,0.5761433415268629,0.43144968465801975,0.47857857187671005,2024-08-09 13:54:32.479650,0.39504243999755717,0.5450136932418366,4,1,1.0,False,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,0.7432812823456774,High Risk
65,POL1,POD2,0.3370654783007103,0.504046454771117,0.5624999999999999,0.2857142857142857,0.5942684268760801,0.4753239335388843,0.13732198578526966,2023-08-29 13:54:32.479650,0.6438505615977648,0.44862680473866035,350,0,0.0,False,True,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,0.5411823938750651,Medium Risk
66,POL3,POD1,0.2814219016333932,0.4494666927526705,0.6458333333333333,0.5,0.7689983570589256,0.41375919301125336,0.40507744917973065,2024-07-02 13:54:32.479650,0.5303248946407871,0.502385539794657,42,0,0.0,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,0.5486143558807981,Medium Risk
67,POL2,POD2,0.19629948049947954,0.47613368182743454,0.7291666666666666,0.2857142857142857,0.598680576693347,0.7928637753297414,0.45377600368121207,2024-06-21 13:54:32.479650,0.5434250498128059,0.605320401669311,53,0,0.0,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,0.7221627863821691,High Risk
68,POL1,POD1,0.4608257682515985,0.2844776783266625,0.24999999999999997,0.21428571428571427,0.8332169250579218,0.43257297416801826,0.3505452591815923,2023-08-26 13:54:32.479650,0.4360994970515022,0.4327102503937663,353,0,0.0,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,0.43309596459721184,Medium Risk
69,POL2,POD3,0.3997188092065552,0.5267351414182743,0.0,0.2857142857142857,0.45410189988583455,0.4331882179291486,0.3573382168530662,2024-04-16 13:54:32.479650,0.5309662268133386,0.5485367321183624,119,0,0.0,True,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,0.4993432103607883,Medium Risk
70,POL3,POD1,0.4839325190855265,0.16925391042108295,0.4791666666666667,0.3571428571428571,0.5529407560211841,0.49424854495598297,0.5014009760127759,2024-07-29 13:54:32.479650,0.6453646015092179,0.5635096743364947,15,0,0.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,True,False,0.40584180794562535,Medium Risk
71,POL1,POD2,0.8130191322962302,0.5066097279041336,0.10416666666666667,0.2857142857142857,0.6957297311851489,0.7769980117963913,0.5343609481442588,2023-11-04 13:54:32.479650,0.24070406946684453,0.49808085925923784,283,0,0.0,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,0.4991821251375044,Medium Risk
72,POL1,POD2,0.7038111338655496,0.5749510648478082,0.0,0.42857142857142855,0.42693417179242105,0.6378599758730432,0.6268588418929492,2024-06-05 13:54:32.479650,0.6255309387740436,0.34128582989388756,69,0,0.0,False,True,True,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,False,True,0.5826353302666977,Medium Risk
73,POL3,POD3,0.41321703137256593,0.2663275847009987,0.7291666666666666,0.07142857142857142,0.6352919523190947,0.5228301021250479,0.3174164174698846,2023-09-05 13:54:32.479650,0.5296036305284005,0.7929200602283732,343,0,0.0,False,True,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,0.5785061204050868,Medium Risk
74,POL1,POD1,0.43771443564290824,0.4513697417926479,0.20833333333333331,0.07142857142857142,0.8476628391777428,0.43101653559964487,0.399243802653948,2024-04-14 13:54:32.479650,0.3090255624901501,0.3731498293972264,121,0,0.0,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,0.3890027013742569,Medium Risk
