RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Insurance_Premium,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,RiskScore,Scaled_RiskScore,Risk_Category
10,PortC,PortY,5,19,5,1,28.1122267179552,1970.860667252709,11.223985263828977,irregular,clear,12668.626199039642,307378.48345063016,54440.831425003285,659170.5062653357,compliant,no,in place,non-hazardous,container,23.714733712300507,24236.811451959336,34.85572775715996,Medium
11,PortC,PortY,4,5,36,0,31.38361486294158,1401.761346956223,6.548651493249794,irregular,shallow waters,10782.168795823143,417746.1381084559,42086.96524066636,1121867.314767323,compliant,no,in place,hazardous,bulk carrier,14.247462498557141,22155.009113035994,32.06545253165938,Medium
12,PortA,PortX,7,11,9,6,23.512451800088847,1698.0228750770689,6.050658210825784,irregular,clear,12901.10093071148,456779.648599453,60393.13228775777,1283853.8338726081,non-compliant,yes,not in place,hazardous,bulk carrier,18.495517820272163,23848.914566494535,34.33582293751169,Medium
13,PortC,PortY,8,1,39,1,26.210719019970618,1824.0917942086119,8.501841566697435,irregular,shallow waters,9753.498573927645,418923.4037980996,57536.36169510743,895186.395269454,non-compliant,yes,not in place,hazardous,bulk carrier,9.653745145203569,30155.10933588956,42.78812347692049,Medium
14,PortB,PortY,2,6,6,4,30.124287518756347,1603.7224081810098,10.922460987173315,regular,congested areas,11091.798234230648,345426.2691191472,50190.66819780466,1128911.022838339,compliant,yes,not in place,non-hazardous,container,21.874117964421174,13980.666151941896,21.109241068816093,Low
15,PortA,PortZ,9,15,38,1,28.497725655911243,1362.8950948025513,10.577729894039372,regular,shallow waters,9651.335837316261,542054.380256579,63243.294344614966,902581.3686100917,non-compliant,no,in place,non-hazardous,bulk carrier,10.26151973700215,45006.049464052114,62.693092138083195,High
16,PortB,PortY,2,2,37,0,33.04203876899613,2086.8961094629276,8.469875334178148,regular,shallow waters,14758.087182794206,638574.775928462,49321.432791619285,1117076.226825395,compliant,no,not in place,non-hazardous,bulk carrier,19.430166856664187,50305.53179061108,69.79607879887402,High
17,PortB,PortX,2,12,20,5,43.829898072196336,2013.7614334653695,12.338816464312924,irregular,clear,11682.521372654424,498719.02770006435,47243.54146491293,548300.1287380904,compliant,yes,not in place,non-hazardous,container,16.45959366457173,49801.78792660057,69.12090229557862,High
18,PortB,PortY,5,2,19,4,30.495691697090624,2233.7089602890387,8.683180129763318,irregular,shallow waters,7766.589738297585,564818.2045633986,69981.02766658831,1032431.332817483,non-compliant,yes,in place,hazardous,bulk carrier,12.333347292853428,44181.41814102593,61.58782469371972,High
19,PortB,PortZ,0,17,2,0,25.791440269809954,1666.8722752242672,10.924907972254253,regular,clear,13705.19493694924,495746.6046012436,52957.36042289888,1079078.1927686927,compliant,no,not in place,non-hazardous,bulk carrier,19.478355882011087,34259.31850307598,48.28906511069503,Medium
20,PortA,PortZ,6,10,21,1,37.09120177378782,2227.9768229142414,9.274427344931656,regular,shallow waters,8533.640483285224,455836.11903232604,40143.48617207332,1268936.390214622,non-compliant,no,in place,non-hazardous,container,11.940058036096286,21926.416423219358,31.759065845853385,Medium
21,PortA,PortY,0,7,46,2,22.055907623398895,2458.7912583460657,8.262447298012688,irregular,congested areas,10027.391919133079,591919.6559017723,41497.30719803193,1185051.1082559628,compliant,no,in place,non-hazardous,container,18.84192899207647,41227.54007339576,57.628691476720526,High
22,PortB,PortZ,4,5,3,3,23.055459144854463,2078.6644196710563,8.78986642377052,regular,shallow waters,10936.60159165132,357180.9059192426,50189.58140652752,967752.789520499,compliant,no,in place,hazardous,container,13.8902467956239,20311.460304696568,29.594512581821984,Medium
23,PortB,PortX,9,0,27,0,27.024482806761384,1817.019111666002,11.468000769627116,regular,clear,11099.983949687308,313659.72540544346,26020.01724137634,1053612.9595897284,compliant,yes,in place,non-hazardous,bulk carrier,10.113917684865065,10671.81285469041,16.674328489694094,Low
24,PortA,PortX,7,0,11,6,28.585566397401873,2043.5241948527732,10.72205029028551,irregular,shallow waters,10967.444446976797,355770.01780895784,43670.105347849116,710776.7150187416,compliant,yes,in place,non-hazardous,container,13.601340024651062,27363.55455646922,39.04655493508059,Medium
25,PortA,PortY,3,7,37,1,26.904636317413956,1802.6637832113267,11.936205327553086,irregular,shallow waters,7733.908989321093,585358.7978276089,48996.06011533119,1328814.9876080337,non-compliant,no,not in place,non-hazardous,container,12.170518149436187,36068.292138376244,50.71366336567274,High
26,PortA,PortY,4,4,35,6,29.842438377884886,1752.7149326963745,10.721972165074163,regular,congested areas,10974.06927032422,508721.1106886087,48328.024796822836,1138231.879664414,compliant,no,in place,hazardous,bulk carrier,9.787416919238797,33175.62801025519,46.83657623713934,Medium
27,PortC,PortY,3,15,46,6,31.373709513731725,2204.9781168509976,6.7776610736515615,irregular,clear,12201.291874271406,537653.7979246787,37425.56752256689,627819.8461578479,non-compliant,no,not in place,non-hazardous,bulk carrier,13.16492910055517,51506.30360460182,71.4054937665748,High
28,PortC,PortZ,3,10,40,6,35.34479767637569,1958.2849040638405,14.228829668617585,regular,congested areas,12143.728059988316,667692.2993457549,45514.84208560135,1049197.4096256308,non-compliant,yes,in place,hazardous,bulk carrier,14.018433525871375,55001.20344651638,76.08976770659903,Critical
29,PortC,PortX,7,4,4,6,30.455941369218912,2361.5286960350086,10.750338028116937,irregular,shallow waters,7396.374813095925,383666.0325448849,61798.038971653856,1064468.0888955928,compliant,yes,not in place,hazardous,bulk carrier,-0.272674534096744,20826.001681896912,30.284161176433322,Medium
30,PortB,PortX,1,3,12,6,27.190268761524493,1867.273103226929,11.029343108776459,irregular,congested areas,8688.694237037944,620417.0369163868,59731.48830342888,845211.2208274279,non-compliant,no,in place,non-hazardous,bulk carrier,14.50681792717779,55791.32887502449,77.14878631128771,Critical
31,PortC,PortZ,0,5,22,4,35.07322693219706,1897.6476257989966,9.24632464100688,regular,shallow waters,7910.9567075982395,460367.5585851371,50956.16394729024,1019373.1071252356,compliant,no,in place,hazardous,container,15.705523983458722,30557.01449788191,43.326803828815976,Medium
32,PortB,PortX,2,13,49,0,25.911422621349345,1830.0467014305584,12.226356586601415,irregular,shallow waters,10679.625984000899,445163.91247532616,49310.90023609009,825103.9603370564,non-compliant,no,in place,non-hazardous,container,19.258228711984497,34978.295718012894,49.25272254974633,Medium
33,PortB,PortY,8,18,29,0,21.836986271563383,1663.9449683938385,7.813784878799757,regular,congested areas,6896.704435104878,508122.03772516036,48383.732515381045,719080.4854586835,non-compliant,no,not in place,hazardous,container,5.819996886895546,44846.46220225643,62.47919460584953,High
34,PortC,PortY,3,8,36,3,36.02978008952271,2244.3274695849773,11.219658155326986,irregular,congested areas,7754.514455437064,523773.62556798616,52363.100625949235,877330.6034751893,compliant,no,not in place,hazardous,bulk carrier,6.912480170564756,42592.78745885712,59.45855586158928,High
35,PortB,PortY,9,11,24,1,35.70926622405486,2655.7134993842465,5.840733435505921,regular,shallow waters,8669.730020697538,478945.786042676,51025.6884467451,1034318.0518278568,compliant,no,not in place,non-hazardous,container,13.046365821504214,32690.333830988482,46.186128161368686,Medium
36,PortC,PortX,4,10,47,2,26.03850803897947,1885.3318284301545,11.354417042700367,irregular,congested areas,6406.419775538556,561031.4301061633,53241.40970871027,1185666.3466752467,non-compliant,yes,in place,non-hazardous,bulk carrier,8.435370257087094,37519.73944256143,52.659062973630746,High
37,PortC,PortY,1,13,26,4,28.00450573089537,1795.851216897498,7.840899176721141,irregular,congested areas,9944.401792281806,508524.3076811077,55017.941749388556,1013963.6901743037,compliant,yes,in place,hazardous,bulk carrier,6.051206275979422,37186.02124946469,52.21177478056519,High
38,PortA,PortZ,3,15,13,1,25.415362273350354,1776.4029548878727,10.553989040854251,regular,shallow waters,5787.0095219838095,480066.838324754,37888.925108127994,1187618.2737879418,compliant,yes,not in place,hazardous,container,9.932971823107902,26437.843636185724,37.80580878039127,Medium
39,PortC,PortZ,1,0,47,4,31.63312108782567,1796.080031719886,12.71468093349235,irregular,clear,10970.689539087065,458371.5864220219,46897.313083853,1129740.6155408104,non-compliant,no,in place,hazardous,container,10.2008994814856,27290.70240975383,38.94890995875224,Medium
40,PortA,PortX,1,12,46,0,38.66024645684041,2494.9351058722405,11.645434749000877,regular,congested areas,9205.956722662253,523834.64657176496,51979.12409896198,792920.3908324284,non-compliant,no,not in place,hazardous,bulk carrier,6.921751876027233,45458.00685983723,63.29885835366598,High
41,PortC,PortZ,3,12,35,6,33.51440899297561,1784.4558440720325,12.448763340235123,irregular,congested areas,8752.033585527115,364334.21725538943,40341.649232764576,1128220.6074083794,compliant,no,in place,non-hazardous,bulk carrier,6.888397659098071,15117.423681449196,22.632856597860926,Low
42,PortC,PortZ,5,1,38,3,35.17862321291516,1824.419959733138,12.241696887295618,irregular,clear,9078.502756861484,392553.6170020012,43261.78645640618,1133748.680524279,non-compliant,yes,not in place,hazardous,container,11.39340606595251,18629.682271431375,27.34039676435304,Medium
43,PortA,PortX,6,3,15,3,34.09864165845506,1627.8937243547084,8.951434514180242,regular,congested areas,9879.227815409238,463254.9930803819,47821.0329238143,1348360.209487392,compliant,no,not in place,hazardous,container,4.756862037551995,21125.63647493673,30.685766806365212,Medium
44,PortA,PortY,9,5,21,5,29.99940425720453,2088.0946321589213,11.196660347615708,irregular,shallow waters,11185.732365486232,554487.5059689588,48311.653417634516,1082130.8722671303,compliant,yes,in place,non-hazardous,bulk carrier,4.676410604912542,40475.93352189146,56.62130038066143,High
45,PortC,PortY,2,4,20,2,35.41670218955658,1979.831131354704,6.55016620811638,irregular,congested areas,12634.194547194234,714285.0123724857,52166.02786891314,753065.1904374934,non-compliant,no,not in place,hazardous,bulk carrier,12.35754425822727,70073.07914712164,96.29086008839195,Critical
46,PortB,PortY,2,2,20,3,33.725152814564,1658.846367259232,8.626127164111498,regular,shallow waters,12027.81163042991,484067.4364116397,41519.69237042045,889183.8407319549,compliant,no,in place,non-hazardous,bulk carrier,19.528215867939892,37361.64241014444,52.44716282128178,High
47,PortA,PortX,9,0,7,6,37.19722857576568,1732.151120804576,12.785309776568102,irregular,clear,14463.376645553231,322576.8708664237,59680.20454894734,629488.5730481078,non-compliant,no,in place,non-hazardous,bulk carrier,15.665206674394573,27643.90000086878,39.422306721628495,Medium
48,PortB,PortZ,5,3,48,0,27.702255294191218,2459.880011160667,9.229926395147558,regular,clear,11350.5944187549,420975.2490367701,48229.241094911726,1102095.50376116,compliant,yes,in place,non-hazardous,container,18.11309320262741,23974.164860443037,34.503698045372275,Medium
49,PortB,PortY,2,19,15,2,21.309441802273067,2009.8123268806303,6.263996226658513,regular,clear,10280.630204747866,565889.184959223,51451.97701605401,1330793.5081556083,compliant,yes,not in place,hazardous,container,2.9746986743245927,34415.80444580792,48.498805892026766,Medium
50,PortB,PortY,1,1,30,1,35.22625507436539,2030.5056186341892,14.027397834662715,regular,congested areas,9085.936361336742,402971.7891051052,46301.67558318778,521770.5020300926,compliant,yes,not in place,non-hazardous,bulk carrier,4.956996175036181,38516.34619752028,53.9948320262135,High
51,PortA,PortX,7,4,41,6,31.748847603030292,2031.6961475078185,11.124500566339439,irregular,clear,9152.402086114938,369425.47421215556,52356.50750192513,1339246.0685047149,non-compliant,no,not in place,non-hazardous,bulk carrier,12.053250916698616,10440.443300152383,16.3642199246819,Low
52,PortB,PortY,4,2,9,6,28.51976949839382,2418.387616463353,11.52895644061158,irregular,congested areas,11078.076053131843,565366.8901614079,66712.21159440631,1099447.500607871,non-compliant,yes,in place,non-hazardous,container,16.18111017811442,42698.24772206756,59.5999060533001,High
53,PortA,PortX,0,8,31,3,28.799235938462544,1686.4356913037868,8.039060930156204,regular,congested areas,8001.111716443592,546488.0060892913,46208.811573870735,784683.6691685573,compliant,no,in place,hazardous,bulk carrier,15.190219362483486,47541.61257969628,66.09155068143076,High
54,PortB,PortZ,2,19,33,2,42.77343162951058,1881.0813439470637,10.56811314105974,irregular,congested areas,10457.952278383873,352745.92572432035,44555.03645580313,1051338.9278985101,non-compliant,no,not in place,hazardous,bulk carrier,5.279174322097292,16717.639469510024,24.777653145255634,Low
55,PortC,PortX,9,5,8,0,26.789026737328644,1949.3104380012467,10.51514994177839,regular,clear,9962.27020839223,410500.6654544319,41698.44445022318,791134.4645271352,non-compliant,yes,in place,hazardous,bulk carrier,17.678535124882295,31147.277886016043,44.11794392777584,Medium
56,PortC,PortX,7,17,16,5,25.733483465868332,1483.6472524130827,8.35703028675265,irregular,clear,8543.805886995424,624467.0176817495,49403.78150316871,1088083.9531165527,compliant,yes,in place,hazardous,bulk carrier,11.593256440444062,48097.83183950649,66.83706085383136,High
57,PortA,PortX,3,5,10,4,30.42642116746676,1725.157545025597,9.660360628953683,regular,congested areas,7897.619414067636,585284.4270094341,49287.963197302844,1012672.2100217099,non-compliant,no,not in place,non-hazardous,bulk carrier,15.888638661812603,45575.8127151695,63.45675555332161,High
58,PortC,PortX,6,18,31,4,35.90245438986481,2314.002448184281,6.999064574433964,regular,clear,15049.435003463683,380262.84841988224,50514.430145981816,1065868.7138762944,non-compliant,no,not in place,non-hazardous,bulk carrier,8.974612212350891,21056.743442741696,30.593428298837722,Medium
59,PortC,PortZ,9,11,9,0,41.39200993264614,2228.0640488990352,9.306580934247997,irregular,congested areas,7206.857667563418,301111.06450882147,54682.558797363155,816212.1365627114,non-compliant,no,in place,non-hazardous,container,4.2813115633993615,17767.400902448382,26.18466632044918,Medium
60,PortB,PortZ,1,10,21,0,33.286824816947856,2281.120062530609,11.947692514519638,regular,clear,9864.482871306769,526851.7915860872,53421.68107047406,845335.8786770962,compliant,no,in place,hazardous,bulk carrier,16.22922577363264,44427.595177021794,61.9177799789951,High
61,PortA,PortY,6,1,16,4,23.64795628010285,1823.2729332405797,8.50630348201583,regular,shallow waters,12445.167616314413,470393.20047612704,49774.78518467293,1100364.2825677942,compliant,yes,not in place,non-hazardous,container,14.348234429001621,30127.429413501948,42.75102360425829,Medium
62,PortB,PortZ,4,14,3,5,39.85432135358899,1860.2914279643492,13.814595672853107,irregular,clear,11058.113729856555,518174.1896727072,69538.01568038912,899454.741213467,non-compliant,yes,not in place,hazardous,container,5.771878252068445,43108.662241684666,60.14999164253313,High
63,PortB,PortZ,4,11,47,2,29.902656504614516,1463.5803514885902,7.127816974929887,regular,clear,9052.928888088678,563466.1943843939,56906.80284092072,1029803.5616343311,compliant,yes,in place,hazardous,container,8.659136414042228,43187.30078619504,60.25539222663959,High
64,PortB,PortY,5,11,46,4,25.811452840525153,2279.5803626948928,9.479649300408813,regular,clear,7615.705728909324,404373.05826039775,39107.40057159339,1090596.7059414166,non-compliant,no,in place,hazardous,bulk carrier,15.430435630570985,20853.805241861475,30.32142676265125,Medium
65,PortB,PortZ,8,8,24,0,24.60303771450323,2328.9956806298287,8.687140072771749,irregular,congested areas,10259.572886519049,456785.44734141015,34547.9801423774,955528.8284390988,compliant,no,in place,non-hazardous,bulk carrier,13.03017804053204,31390.59167130732,44.444061549236544,Medium
66,PortB,PortX,5,1,20,3,34.18164359667728,2325.1762899606824,9.639638337254262,regular,congested areas,4720.969501730238,410094.1476294201,43043.50874465583,1231020.2356743496,non-compliant,no,not in place,non-hazardous,bulk carrier,14.50846085655073,17050.811725974418,25.224209610129968,Medium
67,PortB,PortX,7,2,36,1,31.19414693093207,2481.2273760431717,12.742949564281846,regular,shallow waters,10339.734120791738,413676.49670195096,51526.58380050128,962889.9033970525,compliant,yes,in place,hazardous,container,9.378233053962981,27325.248345935284,38.99521246695227,Medium
68,PortB,PortY,6,11,37,5,31.725376884729254,2126.6325780469715,8.031089007071806,regular,shallow waters,10069.65317378908,556475.9193324429,42205.00344032216,956884.902585666,non-compliant,no,in place,non-hazardous,container,19.115634575507897,43803.641758260186,61.08148455666538,High
69,PortA,PortY,8,15,48,6,36.432515595359654,2467.0645509640076,9.09745893814094,regular,shallow waters,12140.2438570532,514406.85813444154,43723.72755193448,873658.9649174332,compliant,no,in place,hazardous,bulk carrier,11.44424774917809,41870.407445945435,58.4903375943033,High
70,PortC,PortY,3,0,0,5,25.98922704245178,1939.8576172526364,11.309011505446279,regular,congested areas,7713.320513831135,343705.8229889263,50260.670385764846,1207996.4050556633,non-compliant,yes,in place,non-hazardous,bulk carrier,0.16271143481239037,10812.232430449676,16.862535245009312,Low
71,PortB,PortX,1,2,24,3,36.83077314136824,1469.8968904983349,10.186317559835304,regular,shallow waters,9353.057200307869,572510.3641916512,46580.27341113723,858558.3519951337,compliant,yes,in place,hazardous,container,12.534694699442099,48691.76777427946,67.6331233297668,High
72,PortB,PortZ,6,19,35,3,27.40421338603155,2258.217403172035,10.350349898618006,regular,shallow waters,10873.803293675035,464992.99254218006,29522.99257531543,1250898.0388307138,compliant,no,in place,hazardous,container,15.024713635847707,23247.983551498022,33.530384836098634,Medium
73,PortB,PortX,5,1,16,6,40.82003686956178,1458.8332621973914,8.069447320800885,regular,clear,10411.135517407123,577116.5406827922,60771.76528492387,1032622.5422730821,compliant,yes,not in place,hazardous,container,13.485383532507889,45297.9719392818,63.08436081675202,High
74,PortB,PortY,0,8,40,0,32.993695079965704,2051.0606148480097,9.856833056795006,irregular,shallow waters,7314.707006179161,398526.19540537626,58449.568909068315,1536418.9627299379,non-compliant,no,not in place,non-hazardous,bulk carrier,9.866819477232722,8108.307056021968,13.238417891115887,Low
75,PortB,PortZ,8,18,23,4,25.398807351118116,2286.597140637277,12.263156903079047,regular,clear,8704.996539232236,407431.19813023694,37148.79141686967,867908.0252874983,non-compliant,yes,not in place,non-hazardous,container,2.2314066421946688,27974.015638296027,39.86476634780989,Medium
76,PortB,PortZ,8,14,1,2,19.8729095833976,2097.277638810559,6.780958033838042,regular,congested areas,12799.823120462788,525171.2298106668,50568.91099657872,1255038.7808988881,non-compliant,no,in place,non-hazardous,container,8.750135989930246,32261.001558987402,45.610686785559665,Medium
77,PortC,PortX,1,17,39,5,34.04462361139505,2683.4729211746826,8.605381698601946,irregular,congested areas,10518.65277058223,390353.9911830325,38834.48469713311,1102048.3959178298,compliant,yes,not in place,non-hazardous,container,9.222244308075288,19491.019472617238,28.494861724034987,Medium
78,PortC,PortY,2,10,14,6,28.12909862004908,1410.2213017559066,6.368916740949327,regular,clear,6671.767704045541,472511.8829258234,43912.03420145025,897249.1575633482,non-compliant,yes,in place,non-hazardous,bulk carrier,8.70404499652694,34779.99815767573,48.98694094332727,Medium
79,PortB,PortX,4,15,31,5,29.222171527390824,1975.1417982392254,11.073951393887482,regular,shallow waters,11766.464293354673,378992.6537640726,54861.529508553525,1104735.9312061048,compliant,yes,in place,hazardous,bulk carrier,15.059818272037973,19319.209634047857,28.26458206342834,Medium
80,PortC,PortZ,4,16,38,3,33.83098004587053,2005.2366395757967,12.45094109062894,regular,congested areas,6801.47054789444,460863.026692835,58100.47117400053,1094990.803086107,compliant,yes,in place,non-hazardous,bulk carrier,10.33288478299592,28695.53123759248,40.83182602676591,Medium
81,PortA,PortX,0,4,5,4,35.052069131253276,1596.7691551452758,9.633180025415914,regular,clear,9385.959004774497,496814.57681951026,57866.42939146165,933612.2749628823,compliant,no,in place,hazardous,container,18.90837552784547,38238.4365825667,53.622345023468355,High
82,PortB,PortX,7,11,0,5,36.118551703346455,1653.8801627827143,7.988959970969406,regular,congested areas,11126.553109152956,501525.79349007586,52448.39204099953,1085656.1758015023,non-compliant,no,in place,non-hazardous,container,10.872201276527882,34204.35261208368,48.21539338835337,Medium
83,PortA,PortY,7,10,46,2,24.12579345808532,1746.4614167520199,8.047507097090929,regular,congested areas,12427.411760037472,463525.2728733651,62752.05736432445,1232688.3185628413,compliant,yes,not in place,non-hazardous,container,18.07942094066798,26291.33978963938,37.60944717303991,Medium
84,PortA,PortY,3,14,22,3,37.12947374812295,1670.1058117852212,9.405885584254515,irregular,shallow waters,5324.151524678402,533335.0300318138,43894.38300570618,1102270.8321451996,non-compliant,no,not in place,non-hazardous,container,13.072324997168685,35727.30972805234,50.25663881820762,High
85,PortB,PortZ,6,2,38,2,27.104773319159253,1967.6016049508396,9.39825590921695,irregular,congested areas,11423.180214941396,514779.9045512038,46113.70836310702,916162.9660547194,non-compliant,yes,not in place,hazardous,bulk carrier,13.31905947664951,40541.56294862467,56.709264622056324,High
86,PortC,PortX,9,0,16,4,18.718750326258867,1819.1105299543522,11.823663557026741,irregular,clear,11723.449280100933,491063.33362631965,24053.721167546577,904899.5228648714,compliant,yes,in place,non-hazardous,container,8.585675539171126,36397.0335816267,51.15428113593207,High
87,PortA,PortX,2,19,33,5,24.10779826569977,2095.3725152287025,8.662247931113974,irregular,shallow waters,8885.96906368374,437414.9467288896,49069.43482168311,982518.0263516937,non-compliant,no,not in place,hazardous,container,5.246831207704959,29016.01201460917,41.26137188500589,Medium
88,PortB,PortX,5,15,40,1,31.090125460662826,2194.829139860919,10.87015667637172,irregular,clear,10181.8181788687,606824.3749578509,55796.93464036569,1222492.4029164326,compliant,no,in place,non-hazardous,bulk carrier,11.633366228949633,42935.868710717215,59.91839352220697,High
89,PortA,PortZ,9,1,28,5,25.105928769594303,2174.5336879156666,9.389059941504263,regular,clear,3896.056545317312,538628.7208232594,52852.596120089016,849242.1818807547,compliant,no,not in place,hazardous,container,20.43423342626082,44461.94461282919,61.963819114388166,High
90,PortA,PortZ,9,1,8,4,29.55977765411978,1876.9621264445732,8.510486089520326,regular,clear,4504.039370384176,396389.1136108005,43759.7964675665,1078426.2348628289,non-compliant,no,not in place,hazardous,container,9.706514592956594,19881.038667021545,29.017611110597237,Medium
91,PortA,PortY,8,2,12,5,31.691262437645893,2085.3426888393415,9.339247873318046,regular,shallow waters,12217.06544001651,564888.3875690493,58445.25606314535,687506.4876749999,compliant,no,not in place,hazardous,container,8.913147988162727,54526.029940155306,75.45288454155309,Critical
92,PortA,PortY,0,7,5,6,29.09307298445357,2310.53867485302,10.67307676374196,regular,congested areas,8922.209542028062,587549.3636952676,49261.692476204735,1118922.3015059254,compliant,no,not in place,hazardous,bulk carrier,11.14040085221461,43007.92870615929,60.01497676465625,High
93,PortC,PortY,4,14,5,5,27.528228310716415,2133.669374383247,11.829866779763405,regular,clear,9307.575536995722,491843.52407078224,57664.26712008701,1150354.1795941615,compliant,no,not in place,non-hazardous,container,20.840939720214052,31246.19024845596,44.25051785626637,Medium
94,PortA,PortX,3,6,19,0,23.74651968505887,2557.693308333026,9.49605362568302,irregular,congested areas,10469.352807388053,498491.2673925394,54861.49685106263,1405524.2992498144,non-compliant,yes,not in place,non-hazardous,bulk carrier,15.934684828637915,24514.404554914257,35.227790533468266,Medium
95,PortA,PortX,7,5,2,5,30.109719041076662,2294.6536960300064,7.59212373840446,irregular,congested areas,9268.135578446256,294112.93206167873,64245.08958903028,1185058.6107432558,non-compliant,no,in place,hazardous,container,18.07131463103914,7003.220956714089,11.757252120815833,Low
96,PortA,PortY,0,8,16,5,19.675213062076324,2515.522121794538,11.999429606530882,regular,clear,9082.615732926102,415655.89233432757,53393.63362566204,919759.8148779316,non-compliant,yes,in place,non-hazardous,bulk carrier,2.0983040262393793,28747.49951633194,40.90147999821529,Medium
97,PortC,PortX,8,19,48,2,26.570009791402892,1252.2970616209805,8.20366123369577,regular,congested areas,10788.9781238201,584369.4416352654,56099.42672934281,693084.1405238376,compliant,no,in place,hazardous,bulk carrier,7.876847254055511,56034.74242807933,77.47503765318562,Critical
98,PortA,PortY,5,0,11,1,25.361079454696196,2029.0028363420697,10.521646335355065,regular,shallow waters,7008.927484641224,421737.680179746,49232.829112948966,1102839.297197602,compliant,no,in place,non-hazardous,bulk carrier,8.050329113590982,23136.15539197644,33.38049964421833,Medium
99,PortA,PortZ,3,7,47,2,28.803115742455425,1902.8202497143345,9.950334664592491,irregular,shallow waters,12319.835303721187,484015.8077818625,44971.09849921006,934555.5393209809,non-compliant,yes,in place,non-hazardous,container,17.680437598681255,36377.32112163683,51.12786018918077,High
100,PortC,PortY,8,2,46,2,28.933351003453655,1962.5060809057354,9.682859815307562,irregular,congested areas,9539.499950251293,414137.9869934233,54907.322075603646,1066820.4795448477,non-compliant,yes,not in place,non-hazardous,container,15.299400138333311,24228.92139033828,34.8451525728318,Medium
101,PortC,PortZ,4,3,44,3,34.799783372168726,1758.5121739687581,9.026047399623987,regular,congested areas,7988.682998518254,523081.558483173,65027.30697539709,855962.9839581677,non-compliant,yes,in place,hazardous,bulk carrier,17.279454363046945,44025.330106013695,61.3786172348997,High
