RouteID,POL_Code,POD_Code,Distance,Average_Transit_Days,Number_Of_Travels,Total_Incidents_Count,Carbon_Emissions,Cargo_Value,Route_Duration,Incident_Date,Average_Vessel_Age,Crew_Experience_Level,Days_Since_Incident,Recent_Incidents,Total_Recent_Incidents,Previous_Safety_Awards,Training_Programs,Cargo_Type,Navigational_Risks_clear,Regulatory_Compliance_compliant,Ship_Maintenance_Records_overdue,Insurance_Coverage_full,Ship_Type_bulk carrier,Emergency_Response_Plans_in place,RiskScore,RiskScore_Category
19,POL2,POD2,527,9,5,7,126.40084983946426,1769599.7328840196,17,34:35.9,10.574538294453287,15.37870059217744,118,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Overdue,Full,Container,FALSE,0.6427115562732213,Medium Risk
20,POL2,POD1,770,17,47,7,89.47044362192821,1193272.649167229,32,34:35.9,10.22844568443128,14.81635469167019,341,0,0,FALSE,Irregular,Hazardous,Congested Areas,Compliant,Overdue,None,Container,TRUE,0.3452442637462964,Medium Risk
21,POL1,POD2,242,7,16,5,109.28257622085766,1455070.322889906,36,34:35.9,6.267435384363306,16.638110843091216,122,0,1,TRUE,Irregular,Hazardous,Shallow Waters,Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.48035940897888657,Medium Risk
22,POL2,POD3,527,12,34,7,123.77476004053467,1370045.3542614798,29,34:35.9,14.438358963991607,9.594999325,208,0,0,TRUE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Overdue,None,Bulk Carrier,TRUE,0.43649462017440466,Medium Risk
23,POL1,POD1,865,8,1,4,107.33990842850251,1275755.3568679844,35,34:35.9,11.096200350574042,10.257307276789914,235,0,0,TRUE,Irregular,Hazardous,Congested Areas,Non-Compliant,Overdue,None,Container,FALSE,0.387795347,Medium Risk
24,POL1,POD3,692,10,48,7,125.22575143442205,1461307.2462243866,33,34:35.9,15.601535917856548,11.000461688810486,267,0,0,TRUE,Irregular,Non-Hazardous,Clear,Non-Compliant,Up-To-Date,Partial,Container,FALSE,0.4836071609620022,Medium Risk
25,POL2,POD3,318,15,16,7,79.23397250154352,2043628.1614831295,16,34:35.9,11.963339884577316,9.403948977227902,89,0,0,TRUE,Regular,Non-Hazardous,Congested Areas,Compliant,Up-To-Date,Partial,Bulk Carrier,TRUE,0.7841354212253808,High Risk
26,POL3,POD3,539,11,14,7,105.91487523548028,779983.0425704713,21,34:35.9,6.216852978992863,13.188399117777823,135,0,0,FALSE,Irregular,Non-Hazardous,Congested Areas,Compliant,Overdue,Partial,Bulk Carrier,FALSE,0.1319105869815714,Low Risk
27,POL1,POD3,225,9,10,7,59.77740126398019,1455661.1861138393,27,34:35.9,12.440964905382804,9.233901437053417,354,0,0,FALSE,Irregular,Hazardous,Congested Areas,Non-Compliant,Up-To-Date,Full,Bulk Carrier,TRUE,0.48063799935244456,Medium Risk
28,POL3,POD2,373,14,43,2,101.18808493000692,1583265.2115946598,33,34:35.9,9.997931990193113,9.947523945,178,0,0,TRUE,Regular,Non-Hazardous,Shallow Waters,Compliant,Overdue,Full,Container,FALSE,0.546536195,Medium Risk
29,POL1,POD3,577,13,11,4,83.40355467584608,1617769.9662384288,30,34:35.9,8.521519605275184,12.394674511377673,26,0,0,TRUE,Regular,Hazardous,Congested Areas,Non-Compliant,Up-To-Date,Partial,Bulk Carrier,TRUE,0.5643228401112873,Medium Risk
30,POL2,POD2,690,5,40,7,89.37617499290926,1202512.1735073905,17,34:35.9,13.52165263,10.72429838202169,93,0,0,FALSE,Regular,Non-Hazardous,Clear,Compliant,Overdue,Partial,Container,TRUE,0.3500029616294632,Medium Risk
31,POL2,POD2,331,15,35,5,123.86694560340767,1615157.306678694,10,34:35.9,9.411069924218612,13.060281778428596,137,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.5630100443601889,Medium Risk
32,POL3,POD3,449,15,40,6,103.31063848616472,1102558.2640417663,24,34:35.9,19.723582611502323,11.16010627575001,182,0,2,TRUE,Irregular,Non-Hazardous,Shallow Waters,Non-Compliant,Overdue,None,Container,TRUE,0.29842541552353424,Low Risk
33,POL1,POD1,749,16,49,7,54.89772417471859,2123984.407008536,37,34:35.9,12.121279929149052,5.940394927693422,10,1,1,FALSE,Regular,Non-Hazardous,Clear,Non-Compliant,Overdue,Full,Container,FALSE,0.8256162720943947,High Risk
34,POL2,POD3,361,5,45,6,99.00876308925231,1266430.563814359,24,34:35.9,16.06177966289415,12.381181240163967,77,0,0,TRUE,Irregular,Hazardous,Clear,Compliant,Overdue,Partial,Container,TRUE,0.3830025578641527,Medium Risk
35,POL2,POD3,644,7,45,8,132.05117117639097,1532718.8209904374,20,34:35.9,11.895330164364653,13.496053740332757,242,0,0,TRUE,Irregular,Non-Hazardous,Clear,Non-Compliant,Up-To-Date,None,Container,TRUE,0.5204671627168128,Medium Risk
36,POL2,POD2,929,11,43,4,97.58696684306076,1232905.1197181006,16,34:35.9,16.414374089832194,8.979571466683083,235,0,0,FALSE,Regular,Non-Hazardous,Shallow Waters,Compliant,Up-To-Date,Partial,Container,FALSE,0.3656964860169095,Medium Risk
37,POL1,POD2,719,18,2,4,102.07108757095892,1020184.7462239135,29,34:35.9,15.880844045280128,13.4098741,238,0,0,FALSE,Regular,Hazardous,Congested Areas,Compliant,Overdue,None,Container,TRUE,0.25588603732334136,Low Risk
38,POL3,POD2,365,17,9,2,80.18067422095673,1376173.3137442004,13,34:35.9,13.834278350920762,9.906049980602726,52,0,0,FALSE,Regular,Non-Hazardous,Shallow Waters,Compliant,Up-To-Date,None,Bulk Carrier,FALSE,0.43961901348498933,Medium Risk
39,POL1,POD2,796,17,1,7,88.68121361557792,1344718.3481330983,38,34:35.9,14.170663610107768,13.351961686181191,180,0,0,FALSE,Irregular,Hazardous,Congested Areas,Non-Compliant,Overdue,Partial,Bulk Carrier,FALSE,0.42339109267687636,Medium Risk
40,POL3,POD3,554,6,12,5,89.88580066469146,1308218.588674684,13,34:35.9,15.686164730043522,9.084769478087683,215,0,0,FALSE,Irregular,Non-Hazardous,Clear,Compliant,Up-To-Date,Full,Bulk Carrier,TRUE,0.4045478933234676,Medium Risk
41,POL3,POD1,472,19,27,7,93.22014907123501,1518224.4719492814,15,34:35.9,13.490471072344713,17.203184446568883,105,0,0,TRUE,Irregular,Non-Hazardous,Congested Areas,Compliant,Overdue,Full,Container,FALSE,0.5129635585981819,Medium Risk
42,POL1,POD1,885,10,31,5,118.9319980989373,1146425.169288022,15,34:35.9,6.762351087900843,10.310876923252943,220,0,0,FALSE,Regular,Non-Hazardous,Congested Areas,Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.32106321962576034,Low Risk
43,POL3,POD1,688,14,44,4,95.84652289468215,1249246.1324354068,17,34:35.9,3.9833371941459284,8.498549209962556,77,0,0,TRUE,Regular,Hazardous,Congested Areas,Compliant,Overdue,Partial,Container,TRUE,0.3741293156861085,Medium Risk
44,POL1,POD1,367,10,43,3,94.19261835922957,2010679.7056174262,18,34:35.9,12.80557912492202,9.366654812830536,342,0,0,TRUE,Irregular,Hazardous,Shallow Waters,Compliant,Up-To-Date,None,Bulk Carrier,FALSE,0.7671440978608568,High Risk
45,POL1,POD2,745,7,20,2,130.68268226614663,1259307.9838803227,27,34:35.9,14.560825966551967,9.564683687936604,238,0,0,TRUE,Irregular,Non-Hazardous,Clear,Compliant,Overdue,Partial,Container,TRUE,0.37932518507288093,Medium Risk
46,POL1,POD3,401,8,22,5,75.58311614649755,1223053.0252350445,22,34:35.9,11.071534877029187,9.157043037,362,0,0,TRUE,Regular,Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,Partial,Container,TRUE,0.36058750001103074,Medium Risk
47,POL2,POD2,287,16,48,8,113.44248461336153,1897058.634104454,26,34:35.9,14.416458270692408,3.9136607302909043,355,0,0,FALSE,Irregular,Hazardous,Clear,Compliant,Overdue,None,Bulk Carrier,TRUE,0.708517908,High Risk
48,POL2,POD2,524,8,2,6,103.9338367370566,1778626.1296306888,14,34:35.9,19.52657110103218,9.417204273838152,87,0,0,TRUE,Irregular,Non-Hazardous,Clear,Compliant,Overdue,None,Bulk Carrier,FALSE,0.6473563876640169,Medium Risk
49,POL3,POD3,480,18,19,2,81.94095615512427,1044549.7351187172,15,34:35.9,1.3481153852080308,8.067980545690123,206,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.2684535731406877,Low Risk
50,POL1,POD3,206,8,29,7,67.58066494652643,1360239.1174261447,21,34:35.9,16.531297433103784,11.767866624810427,37,0,0,FALSE,Irregular,Hazardous,Congested Areas,Compliant,Up-To-Date,None,Bulk Carrier,FALSE,0.4314005422401812,Medium Risk
51,POL1,POD3,570,13,12,4,87.60979930540206,2023825.2997824098,29,34:35.9,20.90328511424812,2.2140188751975813,286,0,0,TRUE,Regular,Hazardous,Shallow Waters,Compliant,Overdue,Partial,Bulk Carrier,FALSE,0.7739131915461678,High Risk
52,POL2,POD2,967,19,40,6,92.98978440048842,1580085.4803091697,10,34:35.9,18.368760140071526,11.053911395271857,174,0,0,TRUE,Regular,Non-Hazardous,Clear,Non-Compliant,Overdue,Full,Container,FALSE,0.5448985980418425,Medium Risk
53,POL1,POD1,772,10,10,4,151.32697929824394,1374565.4695864334,32,34:35.9,2.754177282926719,13.072143909183692,223,0,0,TRUE,Regular,Non-Hazardous,Congested Areas,Non-Compliant,Overdue,Partial,Bulk Carrier,FALSE,0.43882379827458373,Medium Risk
54,POL2,POD2,416,18,25,6,80.03948292945898,1071530.2439969582,26,34:35.9,13.157841317282159,10.050804676198204,171,0,0,TRUE,Irregular,Hazardous,Congested Areas,Non-Compliant,Up-To-Date,Partial,Container,FALSE,0.2823897338064829,Low Risk
55,POL3,POD2,261,16,5,6,78.75698168330396,954410.7833364836,19,34:35.9,7.383822460675179,12.980239599710751,135,0,0,TRUE,Irregular,Hazardous,Shallow Waters,Compliant,Overdue,Full,Container,FALSE,0.22192478475204136,Low Risk
56,POL3,POD3,387,14,27,4,118.65933449967355,1600589.8478774708,26,34:35.9,17.764421448833264,3.315247164705398,18,0,0,FALSE,Irregular,Hazardous,Congested Areas,Compliant,Overdue,None,Bulk Carrier,FALSE,0.555482267,Medium Risk
57,POL1,POD2,703,10,44,4,51.781648920777094,1271236.8731312593,23,34:35.9,10.977146726932133,18.882241150843345,287,0,1,FALSE,Regular,Non-Hazardous,Congested Areas,Non-Compliant,Up-To-Date,Partial,Bulk Carrier,TRUE,0.38546011709278266,Medium Risk
58,POL2,POD1,833,6,22,3,106.89679901519814,934741.0731323039,16,34:35.9,19.207752467748797,10.681230513503186,134,0,0,FALSE,Regular,Hazardous,Congested Areas,Non-Compliant,Up-To-Date,Full,Bulk Carrier,TRUE,0.211789941,Low Risk
59,POL2,POD1,658,18,15,4,108.04461262904495,807945.1104517764,32,34:35.9,17.090528525845734,14.046995571263304,335,0,0,TRUE,Regular,Hazardous,Congested Areas,Non-Compliant,Up-To-Date,None,Bulk Carrier,TRUE,0.14634822229371397,Low Risk
60,POL2,POD2,997,13,30,5,105.48297184870154,1218334.4211500608,12,34:35.9,10.02245790048502,8.229415656029982,99,0,0,FALSE,Regular,Hazardous,Clear,Non-Compliant,Up-To-Date,None,Container,FALSE,0.35817360629560396,Medium Risk
61,POL2,POD3,439,15,2,5,74.03687271,770923.2543057989,11,34:35.9,12.109105231606527,10.27757539985921,310,0,2,FALSE,Regular,Non-Hazardous,Clear,Non-Compliant,Up-To-Date,Partial,Container,TRUE,0.12721272047989535,Low Risk
62,POL3,POD2,228,17,15,6,118.74352447799929,1457322.0043339385,36,34:35.9,5.165443879120289,11.380946034261175,272,0,0,TRUE,Irregular,Hazardous,Shallow Waters,Compliant,Overdue,Partial,Container,TRUE,0.4815297690446086,Medium Risk
63,POL3,POD1,352,12,1,6,101.70358801148888,1885795.7937789524,25,34:35.9,6.4201692149630345,14.828679032884992,246,0,0,FALSE,Irregular,Non-Hazardous,Congested Areas,Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.7026711110379483,High Risk
64,POL3,POD1,587,12,16,7,85.31641454,2168205.955570454,38,34:35.9,14.07965636432578,12.934822150013158,189,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,Full,Bulk Carrier,TRUE,0.8484397999152632,High Risk
65,POL1,POD2,666,6,34,4,82.35109776641426,1540222.5518991076,31,34:35.9,4.772898422118313,8.939489226,171,0,0,TRUE,Regular,Hazardous,Clear,Non-Compliant,Overdue,Partial,Container,FALSE,0.5243022859071251,Medium Risk
66,POL3,POD1,861,14,33,3,89.78663695197451,1397583.0216160913,11,34:35.9,16.93361014644446,7.848526024658848,193,0,0,FALSE,Regular,Non-Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,None,Bulk Carrier,FALSE,0.45068707709223954,Medium Risk
67,POL2,POD2,462,18,38,4,103.76916653614956,1700616.167019985,11,34:35.9,6.0007658060532245,13.239348490892223,201,0,0,TRUE,Irregular,Non-Hazardous,Shallow Waters,Compliant,Up-To-Date,Partial,Container,FALSE,0.6071100623136558,Medium Risk
68,POL1,POD1,284,5,6,2,96.06300407254226,2325548.5234810086,11,34:35.9,21.181909428530282,10.329497505291258,67,0,0,FALSE,Irregular,Hazardous,Congested Areas,Compliant,Overdue,None,Bulk Carrier,FALSE,0.9296460876229258,High Risk
69,POL2,POD3,477,14,31,3,99.91469253920775,1719222.5529786258,20,34:35.9,6.795524952334334,13.836912003154513,69,0,0,FALSE,Regular,Non-Hazardous,Clear,Compliant,Up-To-Date,Full,Container,FALSE,0.6167052251246562,Medium Risk
70,POL3,POD1,831,9,42,5,91.41197682854124,1706405.1765814445,11,34:35.9,9.783613520192622,4.950749094637893,320,0,0,TRUE,Regular,Non-Hazardous,Shallow Waters,Compliant,Up-To-Date,Full,Bulk Carrier,FALSE,0.6100889934128744,Medium Risk
71,POL1,POD2,483,11,48,10,71.16011314044817,1318667.2825221478,39,34:35.9,13.662857385418338,9.611666698598643,326,0,0,TRUE,Irregular,Non-Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,Full,Bulk Carrier,TRUE,0.40995755914852516,Medium Risk
72,POL1,POD2,648,5,10,3,96.58508684714772,1337091.719692042,24,34:35.9,4.710397439493715,13.435298331462606,322,0,0,FALSE,Irregular,Non-Hazardous,Clear,Compliant,Up-To-Date,None,Bulk Carrier,FALSE,0.4194492692507009,Medium Risk
73,POL3,POD3,566,16,8,3,73.38624001,1118296.9661864666,28,34:35.9,14.480527388020327,10.861318381363828,199,0,0,TRUE,Regular,Hazardous,Shallow Waters,Non-Compliant,Overdue,Full,Bulk Carrier,FALSE,0.3065127784398233,Low Risk
74,POL1,POD1,587,8,31,3,130.0615606693533,1860201.2271771068,35,34:35.9,4.774399058727647,10.51174318,119,0,0,TRUE,Regular,Hazardous,Congested Areas,Non-Compliant,Up-To-Date,Partial,Container,FALSE,0.6894840517837473,High Risk
75,POL1,POD2,207,8,22,3,112.7242531642529,1322839.3501554397,23,34:35.9,18.906605217607996,6.1963156580186585,279,0,1,TRUE,Irregular,Hazardous,Clear,Compliant,Up-To-Date,Full,Container,TRUE,0.41211097748342057,Medium Risk
76,POL1,POD1,576,9,31,2,122.92536585988307,1482416.6902028194,33,34:35.9,11.48375189894094,6.267657034354867,240,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,Partial,Container,TRUE,0.4944849617088081,Medium Risk
77,POL1,POD3,536,15,42,4,99.44749317,1694838.8140846048,26,34:35.9,4.610876294713909,10.550819381124217,352,0,0,TRUE,Regular,Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.604126066,Medium Risk
78,POL1,POD2,659,6,9,5,101.84698236188498,1466018.9650514761,17,34:35.9,10.353887744346011,8.802913864831085,100,0,1,TRUE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Overdue,Full,Bulk Carrier,FALSE,0.4860019182041437,Medium Risk
79,POL1,POD3,851,17,2,7,138.86259476540738,1783281.8209850828,12,34:35.9,3.8465114216703356,10.332274635864216,63,0,0,TRUE,Irregular,Non-Hazardous,Clear,Compliant,Up-To-Date,Partial,Container,TRUE,0.6497788211665818,Medium Risk
80,POL3,POD2,586,15,46,5,87.55868263157308,1666443.9154653135,20,34:35.9,8.793526166651208,6.904573985674148,122,0,0,TRUE,Irregular,Hazardous,Shallow Waters,Compliant,Up-To-Date,None,Bulk Carrier,TRUE,0.5894662488740108,Medium Risk
81,POL1,POD1,510,5,22,6,70.12399129278603,1862127.9330292922,20,34:35.9,20.008582898962985,8.184139203910194,295,0,1,FALSE,Irregular,Hazardous,Congested Areas,Compliant,Overdue,Partial,Bulk Carrier,TRUE,0.6904483418744282,High Risk
82,POL3,POD2,717,9,9,4,91.07894449,2042605.1436351717,12,34:35.9,8.395535573888555,13.260267174824232,70,0,0,FALSE,Irregular,Hazardous,Clear,Non-Compliant,Up-To-Date,Full,Container,FALSE,0.7836037678043224,High Risk
83,POL2,POD3,985,11,46,6,105.12112059609423,1496794.9607739646,12,34:35.9,16.067385795659675,8.904898995718344,264,0,0,TRUE,Regular,Hazardous,Clear,Compliant,Up-To-Date,Full,Bulk Carrier,TRUE,0.5019116835681379,Medium Risk
84,POL2,POD2,962,13,1,5,120.82994605050871,1646713.0802788348,14,34:35.9,8.993057597317279,7.773035679626828,82,0,0,TRUE,Regular,Hazardous,Congested Areas,Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.5792760625219892,Medium Risk
85,POL2,POD3,790,7,28,2,117.99162798151664,1302691.199107247,38,34:35.9,6.877391403399674,8.121552466167637,248,0,0,FALSE,Regular,Hazardous,Congested Areas,Compliant,Up-To-Date,None,Container,TRUE,0.4017128297130239,Medium Risk
86,POL1,POD2,281,17,49,4,100.60883397541771,1713259.3811607424,39,34:35.9,21.671593526275128,11.450632387857935,134,0,0,FALSE,Regular,Hazardous,Clear,Non-Compliant,Up-To-Date,None,Container,TRUE,0.6136430211999274,Medium Risk
87,POL2,POD3,433,6,26,5,76.70430874377584,1346128.0493648767,21,34:35.9,7.484720053554148,6.552862096,32,0,1,FALSE,Regular,Non-Hazardous,Clear,Compliant,Overdue,None,Bulk Carrier,TRUE,0.4241134408483472,Medium Risk
88,POL2,POD1,310,7,30,6,90.78932453910828,882839.8915279428,18,34:35.9,7.270997463879235,4.468777966420911,239,0,0,TRUE,Irregular,Non-Hazardous,Shallow Waters,Non-Compliant,Up-To-Date,Full,Bulk Carrier,FALSE,0.18499542390669035,Low Risk
89,POL2,POD2,820,6,8,10,81.99600883129493,1565497.7648192921,25,34:35.9,4.062179046931151,9.616874591058664,307,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Overdue,Full,Bulk Carrier,TRUE,0.5373405127573633,Medium Risk
90,POL1,POD1,230,5,27,4,92.67436582023244,1775345.039950998,26,34:35.9,19.766883534512075,13.29395941251649,127,0,0,FALSE,Regular,Hazardous,Congested Areas,Non-Compliant,Overdue,None,Container,TRUE,0.6456676397571208,Medium Risk
91,POL2,POD2,971,6,32,3,104.96559097391298,1122539.2335768219,36,34:35.9,10.686965128310064,4.243659075,14,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Compliant,Up-To-Date,Partial,Container,TRUE,0.3087225066804217,Low Risk
92,POL3,POD2,328,11,15,3,124.20829666338341,1967877.1745528292,30,34:35.9,13.079432706467692,10.91771933349926,362,0,0,FALSE,Irregular,Non-Hazardous,Clear,Non-Compliant,Overdue,Full,Bulk Carrier,TRUE,0.7450534265508226,High Risk
93,POL1,POD1,500,9,20,4,114.2735178731909,1213367.1357633313,19,34:35.9,7.990332252481502,10.689754798204046,287,0,1,TRUE,Irregular,Hazardous,Congested Areas,Non-Compliant,Up-To-Date,Partial,Bulk Carrier,FALSE,0.3556074016415377,Medium Risk
94,POL2,POD3,884,19,9,2,88.78497113824943,2007056.665787973,37,34:35.9,16.575164699666402,7.884714908243728,217,0,0,FALSE,Regular,Non-Hazardous,Clear,Non-Compliant,Up-To-Date,None,Container,TRUE,0.765257398,High Risk
95,POL3,POD1,436,9,40,2,94.53121084354456,1729575.334314197,15,34:35.9,5.888867944863323,8.489742047754657,243,0,0,TRUE,Irregular,Hazardous,Congested Areas,Non-Compliant,Overdue,Full,Container,TRUE,0.6220462687803188,Medium Risk
96,POL1,POD1,827,16,30,3,99.56266658225465,2192823.2313329107,13,34:35.9,7.039443472113177,14.57546104286672,52,0,0,TRUE,Regular,Hazardous,Shallow Waters,Non-Compliant,Overdue,Full,Bulk Carrier,FALSE,0.8611577434166136,High Risk
97,POL3,POD2,454,10,24,2,94.85561960545046,1339768.762523354,39,34:35.9,6.8441043919141515,7.236830853697517,306,0,0,FALSE,Regular,Hazardous,Clear,Compliant,Overdue,None,Bulk Carrier,TRUE,0.42083812669498766,Medium Risk
98,POL1,POD3,200,14,14,3,77.20490614139811,1426081.7585253762,35,34:35.9,16.163373648153765,9.526004224928897,78,0,0,TRUE,Regular,Non-Hazardous,Clear,Compliant,Overdue,Full,Bulk Carrier,FALSE,0.4653807480524251,Medium Risk
99,POL2,POD3,985,8,41,9,104.34368435985667,1559789.3313908682,15,34:35.9,8.480174972,9.496744311371106,150,0,0,TRUE,Irregular,Non-Hazardous,Shallow Waters,Non-Compliant,Overdue,None,Bulk Carrier,TRUE,0.5344235008765342,Medium Risk
100,POL3,POD1,613,11,2,10,87.20105040337944,1198764.2390197641,38,34:35.9,8.036388624434457,8.964522515375215,332,0,0,TRUE,Irregular,Hazardous,Congested Areas,Compliant,Overdue,None,Bulk Carrier,TRUE,0.348052554,Medium Risk
101,POL3,POD1,803,15,26,6,108.01821375737981,1474423.615436169,28,34:35.9,12.391353809693817,12.627195829382867,37,0,1,TRUE,Regular,Hazardous,Clear,Non-Compliant,Up-To-Date,Full,Container,TRUE,0.4903583885274751,Medium Risk
102,POL2,POD3,428,5,25,5,74.21232911001104,1267421.482210645,15,34:35.9,17.69000309307716,12.937421251951443,97,0,0,FALSE,Irregular,Non-Hazardous,Clear,Compliant,Overdue,Full,Bulk Carrier,TRUE,0.38349017590107015,Medium Risk
103,POL1,POD1,387,7,31,5,87.73326145405045,1555020.5918783678,27,34:35.9,12.28515494,10.706150750546396,302,0,0,TRUE,Regular,Hazardous,Clear,Compliant,Overdue,Full,Bulk Carrier,FALSE,0.5319452684785011,Medium Risk
