Incidents,RouteID,IncidentType,Severity,Location,IncidentDate,Description,ResponseTime,DamageCost,InsuranceClaim
INC060,R010,Theft,Low,,14-06-2024,Container theft,,,
INC061,R010,Theft,Low,,01-05-2024,Container theft,,,
INC062,R010,Attacks,Medium,,31-12-2023,,,,
INC063,R011,Theft,Low,,27-06-2023,Container theft,,,
INC064,R011,Accident,Medium,,25-08-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC065,R011,Accident,Low,,15-04-2024,Offshore Oil Rig Mishaps,,,
INC066,R011,Piracy,Medium,,11-04-2023,,,,
INC067,R012,Theft,High,,10-05-2024,Cargo theft,,,
INC068,R012,Port Security,Low,,26-10-2023,,,,
INC069,R012,Accident,Low,,14-12-2022,Accidents on Tugboats                          ,,,
INC070,R012,Attacks,Medium,,23-12-2022,,,,
INC071,R012,Accident,Medium,,10-04-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC072,R012,Piracy,Medium,,09-11-2022,,,,
INC073,R012,Piracy,Medium,,07-01-2024,,,,
INC074,R012,Natural Disaster,High,,23-02-2023,,,,
INC075,R012,Natural Disaster,Low,,02-12-2022,,,,
INC076,R012,Attacks,Medium,,04-08-2022,,,,
INC077,R013,Theft,High,,05-04-2024,Container theft,,,
INC078,R013,Delay,Low,,06-12-2023,,,,
INC079,R014,Port Security,High,,28-12-2023,,,,
INC080,R014,Delay,Low,,30-08-2022,,,,
INC081,R014,Accident,Low,,24-08-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC082,R014,Natural Disaster,Low,,14-12-2023,,,,
INC083,R015,Accident,Medium,,17-08-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC084,R015,Piracy,Low,,29-08-2023,,,,
INC085,R015,Accident,Low,,07-02-2023,Accidents on Tugboats                          ,,,
INC086,R015,Port Security,High,,26-05-2023,,,,
INC087,R015,Theft,Medium,,22-08-2023,Cargo theft,,,
INC088,R016,Piracy,Medium,,08-12-2023,,,,
INC089,R016,Accident,High,,04-01-2023,Accidents on Tugboats                          ,,,
INC090,R016,Attacks,Medium,,09-07-2023,,,,
INC091,R016,Natural Disaster,High,,26-08-2022,,,,
INC092,R016,Port Security,Medium,,15-07-2023,,,,
INC093,R017,Delay,Medium,,20-10-2022,,,,
INC094,R017,Delay,High,,21-01-2023,,,,
INC095,R017,Delay,High,,18-03-2023,,,,
INC096,R017,Natural Disaster,High,,16-05-2024,,,,
INC097,R017,Piracy,Medium,,23-04-2023,,,,
INC098,R017,Natural Disaster,Medium,,02-09-2022,,,,
INC099,R017,Attacks,Low,,23-10-2022,,,,
INC100,R017,Natural Disaster,Medium,,14-04-2023,,,,
INC101,R017,Accident,Medium,,22-09-2023,Grounding of Ships                             ,,,
INC102,R017,Port Security,Medium,,26-12-2022,,,,
INC103,R018,Attacks,High,,30-08-2023,,,,
INC104,R018,Delay,Low,,26-12-2022,,,,
INC105,R018,Accident,Low,,22-07-2023,Accidents on Barges                            ,,,
INC106,R018,Theft,High,,04-02-2023,Cargo theft,,,
INC107,R018,Delay,Low,,14-11-2022,,,,
INC108,R018,Port Security,Medium,,21-05-2024,,,,
INC109,R018,Piracy,Medium,,21-01-2024,,,,
INC110,R018,Delay,High,,06-09-2022,,,,
INC111,R019,Natural Disaster,Medium,,07-07-2023,,,,
INC112,R019,Natural Disaster,High,,27-08-2023,,,,
INC113,R019,Delay,Low,,25-10-2023,,,,
INC114,R019,Delay,High,,17-04-2024,,,,
INC115,R019,Natural Disaster,High,,04-12-2022,,,,
INC116,R019,Port Security,High,,13-07-2023,,,,
INC117,R019,Port Security,Medium,,29-05-2023,,,,
INC118,R019,Delay,Low,,21-02-2024,,,,
INC119,R019,Theft,Low,,28-03-2024,Container theft,,,
INC120,R020,Attacks,Medium,,06-02-2023,,,,
INC121,R020,Theft,High,,17-01-2023,Cargo theft,,,
INC122,R020,Piracy,Medium,,14-01-2024,,,,
INC123,R021,Natural Disaster,Low,,01-04-2024,,,,
INC124,R021,Delay,Medium,,05-08-2022,,,,
INC125,R021,Attacks,Medium,,15-12-2023,,,,
INC126,R021,Natural Disaster,Medium,,23-01-2024,,,,
INC127,R022,Natural Disaster,Medium,,25-08-2022,,,,
INC128,R022,Delay,Low,,11-02-2024,,,,
INC129,R022,Piracy,Low,,18-04-2023,,,,
INC130,R022,Accident,Low,,20-12-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC131,R022,Accident,Low,,17-08-2022,Offshore Oil Rig Mishaps                       ,,,
INC132,R022,Natural Disaster,High,,21-02-2024,,,,
INC133,R022,Accident,Medium,,08-02-2024,Accidents on Barges                            ,,,
INC134,R022,Natural Disaster,Low,,28-07-2022,,,,
INC135,R022,Port Security,Low,,10-06-2024,,,,
INC136,R023,Theft,Medium,,28-12-2023,Cargo theft,,,
INC137,R023,Theft,Low,,08-02-2024,Container theft,,,
INC138,R023,Accident,Medium,,09-03-2023,Accidents on Barges                            ,,,
INC139,R023,Theft,Low,,25-02-2024,Container theft,,,
INC140,R024,Attacks,Medium,,01-09-2023,,,,
INC141,R024,Accident,Medium,,12-09-2023,Offshore Oil Rig Mishaps                       ,,,
INC142,R024,Piracy,Low,,06-01-2024,,,,
INC143,R024,Piracy,High,,11-07-2022,,,,
INC144,R024,Natural Disaster,Low,,15-03-2024,,,,
INC145,R024,Natural Disaster,High,,09-02-2023,,,,
INC146,R024,Accident,High,,14-09-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC147,R024,Delay,Medium,,28-08-2022,,,,
INC148,R025,Theft,High,,10-07-2023,Cargo theft,,,
INC149,R025,Port Security,Low,,12-06-2023,,,,
INC150,R025,Natural Disaster,Medium,,11-10-2022,,,,
INC151,R025,Attacks,High,,01-01-2024,,,,
INC152,R025,Natural Disaster,High,,21-08-2022,,,,
INC153,R026,Theft,Medium,,25-12-2022,Container theft,,,
INC154,R026,Delay,Medium,,30-05-2024,,,,
INC155,R026,Attacks,High,,22-03-2023,,,,
INC156,R026,Natural Disaster,High,,15-10-2022,,,,
INC157,R026,Port Security,High,,17-09-2022,,,,
INC158,R027,Attacks,High,,01-10-2022,,,,
INC159,R027,Delay,Low,,02-06-2023,,,,
INC160,R027,Port Security,High,,04-11-2022,,,,
INC161,R027,Natural Disaster,Low,,04-03-2024,,,,
INC162,R028,Theft,Low,,16-02-2024,Cargo theft,,,
INC163,R028,Theft,Low,,09-04-2023,Container theft,,,
INC164,R028,Accident,High,,16-03-2023,Accidents on Barges                            ,,,
INC165,R028,Attacks,High,,04-11-2023,,,,
INC166,R028,Port Security,Medium,,08-06-2023,,,,
INC167,R028,Attacks,Medium,,14-08-2023,,,,
INC168,R028,Delay,Medium,,01-10-2022,,,,
INC169,R028,Port Security,Medium,,22-04-2024,,,,
INC170,R029,Delay,Medium,,15-09-2023,,,,
INC171,R029,Natural Disaster,Low,,08-07-2022,,,,
INC172,R030,Natural Disaster,Low,,21-09-2022,,,,
INC173,R030,Accident,Low,,02-09-2023,Accidents on Barges                            ,,,
INC174,R030,Theft,Medium,,03-03-2024,Container theft,,,
INC175,R030,Delay,Low,,12-11-2023,,,,
INC176,R030,Attacks,Low,,07-03-2023,,,,
INC177,R030,Piracy,Medium,,03-12-2023,,,,
INC178,R030,Delay,High,,17-11-2023,,,,
INC179,R030,Accident,Medium,,10-09-2022,Grounding of Ships                             ,,,
INC180,R030,Natural Disaster,Low,,12-02-2024,,,,
INC181,R031,Natural Disaster,Medium,,15-10-2023,,,,
INC182,R031,Delay,High,,30-11-2023,,,,
INC183,R031,Port Security,High,,03-10-2023,,,,
INC184,R031,Natural Disaster,Medium,,06-04-2023,,,,
INC185,R031,Delay,High,,18-10-2023,,,,
INC186,R031,Natural Disaster,Medium,,16-03-2024,,,,
INC187,R031,Accident,Low,,29-03-2024,Maritime Accidents on Diving Support Vessels:  ,,,
INC188,R031,Attacks,High,,06-08-2022,,,,
INC189,R031,Port Security,High,,07-02-2024,,,,
INC190,R032,Theft,Low,,10-10-2023,Cargo theft,,,
INC191,R032,Natural Disaster,Low,,04-05-2024,,,,
INC192,R032,Natural Disaster,Medium,,24-03-2024,,,,
INC193,R032,Port Security,High,,23-08-2023,,,,
INC194,R032,Delay,Low,,16-04-2024,,,,
INC195,R033,Attacks,Low,,10-06-2023,,,,
INC196,R033,Theft,Low,,05-12-2023,Cargo theft,,,
INC197,R033,Attacks,Low,,19-02-2023,,,,
INC198,R033,Accident,High,,03-11-2022,Minor collision,,,
INC199,R033,Piracy,Medium,,15-03-2024,,,,
INC200,R034,Theft,High,,30-04-2024,Container theft,,,
INC201,R034,Natural Disaster,High,,12-11-2022,,,,
INC202,R034,Theft,Low,,17-03-2024,Cargo theft,,,
INC203,R034,Piracy,Low,,06-07-2022,,,,
INC204,R034,Piracy,Low,,02-10-2022,,,,
INC205,R034,Attacks,Medium,,20-01-2023,,,,
INC206,R034,Accident,Low,,12-08-2023,Accidents on Barges                            ,,,
INC207,R034,Accident,Medium,,28-09-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC208,R035,Accident,High,,07-12-2023,Accidents on Barges                            ,,,
INC209,R035,Delay,Low,,28-10-2022,,,,
INC210,R035,Theft,Low,,26-12-2023,Cargo theft,,,
INC211,R035,Accident,Medium,,04-01-2023,Accidents on Tugboats                          ,,,
INC212,R035,Natural Disaster,Medium,,21-07-2023,,,,
INC213,R036,Natural Disaster,Low,,15-06-2024,,,,
INC214,R036,Attacks,Medium,,29-06-2023,,,,
INC215,R037,Port Security,High,,11-01-2024,,,,
INC216,R037,Piracy,Low,,06-05-2023,,,,
INC217,R037,Attacks,High,,11-03-2024,,,,
INC218,R038,Accident,Low,,10-10-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC219,R038,Theft,Medium,,28-01-2024,Cargo theft,,,
INC220,R038,Accident,Low,,15-11-2022,Offshore Oil Rig Mishaps                       ,,,
INC221,R039,Accident,Medium,,08-12-2023,Offshore Oil Rig Mishaps                       ,,,
INC222,R039,Delay,High,,11-02-2023,,,,
INC223,R039,Piracy,High,,27-04-2023,,,,
INC224,R039,Attacks,Medium,,06-08-2022,,,,
INC225,R039,Piracy,Medium,,01-12-2023,,,,
INC226,R039,Piracy,Medium,,11-12-2022,,,,
INC227,R039,Theft,Low,,09-04-2023,Cargo theft,,,
INC228,R040,Theft,Medium,,08-05-2024,Cargo theft,,,
INC229,R040,Accident,High,,03-08-2022,Offshore Oil Rig Mishaps                       ,,,
INC230,R040,Accident,Low,,08-10-2022,Grounding of Ships                             ,,,
INC231,R040,Accident,Low,,23-07-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC232,R040,Theft,Medium,,24-02-2023,Container theft,,,
INC233,R040,Theft,Medium,,25-02-2024,Container theft,,,
INC234,R040,Piracy,Medium,,04-09-2023,,,,
INC235,R040,Natural Disaster,Medium,,17-02-2023,,,,
INC236,R040,Attacks,Low,,25-04-2023,,,,
INC237,R041,Delay,Low,,28-05-2023,,,,
INC238,R041,Theft,High,,04-02-2024,Container theft,,,
INC239,R041,Attacks,Low,,08-11-2023,,,,
INC240,R041,Accident,High,,30-03-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC241,R041,Attacks,High,,21-03-2023,,,,
INC242,R041,Accident,Medium,,29-05-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC243,R041,Natural Disaster,Medium,,10-08-2023,,,,
INC244,R041,Accident,Low,,10-07-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC245,R041,Delay,High,,18-01-2024,,,,
INC246,R041,Natural Disaster,Low,,01-11-2022,,,,
INC247,R042,Attacks,High,,06-05-2023,,,,
INC248,R042,Theft,Medium,,04-05-2023,Container theft,,,
INC249,R043,Port Security,High,,18-05-2023,,,,
INC250,R043,Theft,Low,,12-07-2022,Container theft,,,
INC251,R043,Delay,Medium,,05-06-2024,,,,
INC252,R043,Theft,Low,,26-09-2023,Cargo theft,,,
INC253,R044,Natural Disaster,Medium,,25-02-2023,,,,
INC254,R044,Piracy,Low,,10-01-2023,,,,
INC255,R044,Natural Disaster,Low,,05-04-2023,,,,
INC256,R044,Natural Disaster,High,,26-03-2024,,,,
INC257,R044,Accident,Low,,30-05-2024,Maritime Accidents on Diving Support Vessels:  ,,,
INC258,R044,Natural Disaster,Low,,18-11-2023,,,,
INC259,R045,Natural Disaster,Medium,,30-05-2023,,,,
INC260,R045,Accident,Medium,,04-09-2023,Accidents on Barges                            ,,,
INC261,R045,Attacks,Low,,25-03-2023,,,,
INC262,R046,Piracy,High,,12-03-2023,,,,
INC263,R046,Delay,High,,23-12-2023,,,,
INC264,R046,Natural Disaster,Low,,02-07-2023,,,,
INC265,R046,Attacks,High,,06-12-2023,,,,
INC266,R046,Accident,Low,,13-01-2024,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC267,R046,Piracy,High,,31-05-2024,,,,
INC268,R046,Accident,High,,27-11-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC269,R046,Attacks,Medium,,29-03-2023,,,,
INC270,R046,Natural Disaster,High,,25-10-2022,,,,
INC271,R047,Piracy,Medium,,08-11-2022,,,,
INC272,R047,Natural Disaster,Low,,01-06-2024,,,,
INC273,R047,Piracy,High,,03-05-2023,,,,
INC274,R047,Theft,Low,,01-02-2023,Container theft,,,
INC275,R047,Natural Disaster,Medium,,22-03-2024,,,,
INC276,R047,Attacks,Medium,,31-10-2023,,,,
INC277,R047,Port Security,High,,21-03-2024,,,,
INC278,R047,Theft,Low,,06-04-2023,Container theft,,,
INC279,R047,Port Security,Medium,,05-01-2024,,,,
INC280,R047,Piracy,High,,03-10-2022,,,,
INC281,R048,Piracy,Medium,,29-10-2023,,,,
INC282,R048,Attacks,Low,,11-04-2024,,,,
INC283,R049,Piracy,High,,13-07-2023,,,,
INC284,R049,Natural Disaster,Medium,,03-07-2022,,,,
INC285,R049,Theft,High,,01-09-2022,Cargo theft,,,
INC286,R049,Port Security,Low,,04-11-2023,,,,
INC287,R049,Delay,Medium,,09-02-2023,,,,
INC288,R049,Port Security,High,,22-05-2024,,,,
INC289,R049,Theft,High,,13-10-2022,Container theft,,,
INC290,R049,Attacks,High,,02-02-2024,,,,
INC291,R049,Natural Disaster,High,,14-09-2023,,,,
INC292,R049,Natural Disaster,Medium,,15-01-2023,,,,
INC293,R050,Theft,High,,15-07-2022,Cargo theft,,,
INC294,R050,Port Security,Low,,27-02-2024,,,,
INC295,R050,Natural Disaster,Medium,,28-04-2023,,,,
INC296,R050,Attacks,High,,13-04-2023,,,,
INC297,R050,Piracy,Medium,,18-12-2023,,,,
INC298,R051,Theft,Low,,12-02-2024,Container theft,,,
INC299,R051,Theft,Low,,27-03-2023,Cargo theft,,,
INC300,R051,Accident,Medium,,26-06-2022,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC301,R051,Accident,Low,,04-01-2024,Accidents on Barges                            ,,,
INC302,R051,Delay,High,,28-04-2023,,,,
INC303,R052,Attacks,Low,,23-08-2023,,,,
INC304,R052,Attacks,Low,,18-03-2024,,,,
INC305,R052,Port Security,High,,14-01-2024,,,,
INC306,R052,Piracy,Low,,07-12-2022,,,,
INC307,R052,Natural Disaster,Medium,,05-03-2024,,,,
INC308,R052,Piracy,High,,27-01-2023,,,,
INC309,R052,Natural Disaster,Medium,,14-05-2024,,,,
INC310,R052,Port Security,Medium,,19-02-2024,,,,
INC311,R053,Delay,High,,30-04-2024,,,,
INC312,R053,Attacks,Medium,,13-05-2024,,,,
INC313,R053,Natural Disaster,Low,,24-01-2023,,,,
INC314,R053,Delay,Low,,27-05-2024,,,,
INC315,R053,Accident,Low,,09-12-2023,Accidents on Barges                            ,,,
INC316,R054,Delay,Medium,,01-08-2023,,,,
INC317,R054,Delay,Medium,,16-05-2024,,,,
INC318,R054,Accident,Low,,09-07-2023,Minor collision,,,
INC319,R054,Accident,Medium,,04-02-2024,Accidents on Tugboats                          ,,,
INC320,R055,Theft,Low,,16-06-2023,Container theft,,,
INC321,R055,Attacks,Low,,19-02-2024,,,,
INC322,R055,Attacks,Medium,,09-05-2023,,,,
INC323,R055,Attacks,High,,07-10-2022,,,,
INC324,R055,Accident,Medium,,18-03-2024,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC325,R055,Accident,Medium,,04-05-2023,Minor collision                                ,,,
INC326,R055,Delay,High,,04-01-2024,,,,
INC327,R055,Theft,High,,08-01-2024,Container theft,,,
INC328,R055,Delay,Low,,05-12-2022,,,,
INC329,R056,Natural Disaster,High,,28-02-2024,,,,
INC330,R056,Piracy,High,,31-05-2023,,,,
INC331,R057,Attacks,High,,04-12-2023,,,,
INC332,R057,Attacks,Low,,30-10-2023,,,,
INC333,R057,Attacks,Low,,03-11-2022,,,,
INC334,R057,Natural Disaster,Medium,,07-12-2023,,,,
INC335,R057,Accident,Low,,09-09-2023,Grounding of Ships                             ,,,
INC336,R057,Theft,Low,,06-05-2024,Cargo theft,,,
INC337,R058,Theft,High,,29-05-2024,Cargo theft,,,
INC338,R058,Piracy,Medium,,28-11-2022,,,,
INC339,R058,Theft,Medium,,25-01-2023,Container theft,,,
INC340,R058,Natural Disaster,High,,21-11-2022,,,,
INC341,R058,Delay,High,,24-08-2022,,,,
INC342,R058,Natural Disaster,Medium,,26-10-2022,,,,
INC343,R058,Delay,Low,,16-03-2023,,,,
INC344,R059,Piracy,High,,05-03-2024,,,,
INC345,R059,Delay,Low,,03-10-2022,,,,
INC346,R060,Attacks,Medium,,17-04-2023,,,,
INC347,R060,Piracy,Medium,,16-03-2024,,,,
INC348,R060,Delay,High,,30-09-2023,,,,
INC349,R060,Port Security,Medium,,05-10-2023,,,,
INC350,R061,Port Security,Medium,,03-03-2024,,,,
INC351,R061,Piracy,Low,,23-05-2024,,,,
INC352,R061,Accident,Low,,01-05-2023,Grounding of Ships                             ,,,
INC353,R061,Theft,High,,22-07-2023,Container theft,,,
INC354,R061,Theft,Medium,,29-09-2022,Cargo theft,,,
INC355,R061,Accident,High,,13-12-2022,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC356,R061,Attacks,High,,22-11-2023,,,,
INC357,R061,Accident,Medium,,07-06-2024,Accidents on Tugboats                          ,,,
INC358,R061,Delay,High,,01-01-2023,,,,
INC359,R061,Port Security,Low,,26-06-2023,,,,
INC360,R062,Delay,High,,22-03-2023,,,,
INC361,R062,Port Security,High,,07-04-2024,,,,
INC362,R062,Port Security,High,,23-03-2023,,,,
INC363,R062,Delay,High,,18-06-2024,,,,
INC364,R062,Theft,Medium,,27-12-2022,Cargo theft,,,
INC365,R062,Theft,Medium,,25-10-2023,Container theft,,,
INC366,R063,Natural Disaster,Low,,18-12-2022,,,,
INC367,R063,Port Security,Medium,,07-06-2023,,,,
INC368,R063,Delay,Medium,,08-11-2023,,,,
INC369,R063,Port Security,Medium,,30-11-2023,,,,
INC370,R063,Attacks,Low,,16-09-2023,,,,
INC371,R063,Accident,Low,,08-12-2022,Minor collision                                ,,,
INC372,R063,Piracy,Low,,11-03-2024,,,,
INC373,R063,Accident,Low,,10-03-2023,Minor collision,,,
INC374,R063,Delay,Low,,11-01-2024,,,,
INC375,R063,Natural Disaster,High,,16-07-2023,,,,
INC376,R064,Port Security,High,,12-06-2023,,,,
INC377,R064,Piracy,Medium,,12-06-2023,,,,
INC378,R064,Attacks,High,,10-09-2022,,,,
INC379,R064,Theft,Medium,,08-02-2023,Cargo theft,,,
INC380,R064,Attacks,Low,,07-10-2022,,,,
INC381,R064,Natural Disaster,Low,,03-02-2023,,,,
INC382,R064,Accident,High,,25-02-2024,Accidents on Barges                            ,,,
INC383,R065,Port Security,Low,,03-10-2023,,,,
INC384,R065,Natural Disaster,High,,22-03-2024,,,,
INC385,R065,Delay,Low,,14-06-2024,,,,
INC386,R065,Attacks,Medium,,19-08-2023,,,,
INC387,R065,Port Security,High,,11-10-2022,,,,
INC388,R065,Attacks,Low,,05-01-2024,,,,
INC389,R065,Delay,High,,28-08-2023,,,,
INC390,R065,Delay,Low,,01-12-2023,,,,
INC391,R065,Theft,Medium,,15-02-2023,Container theft,,,
INC392,R066,Attacks,High,,02-06-2024,,,,
INC393,R066,Attacks,High,,26-01-2023,,,,
INC394,R067,Delay,High,,25-07-2023,,,,
INC395,R067,Theft,High,,30-08-2022,Container theft,,,
INC396,R067,Attacks,High,,22-04-2023,,,,
INC397,R067,Delay,Low,,08-04-2024,,,,
INC398,R067,Accident,Medium,,23-09-2022,Accidents on Tugboats                          ,,,
INC399,R067,Port Security,Low,,13-08-2022,,,,
INC400,R067,Theft,High,,03-07-2022,Cargo theft,,,
INC401,R067,Natural Disaster,Low,,14-05-2023,,,,
INC402,R067,Accident,Medium,,12-05-2024,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC403,R068,Piracy,High,,12-09-2023,,,,
INC404,R068,Port Security,Low,,22-08-2023,,,,
INC405,R069,Theft,High,,07-04-2024,Cargo theft,,,
INC406,R069,Natural Disaster,High,,04-12-2022,,,,
INC407,R069,Port Security,Medium,,04-09-2023,,,,
INC408,R069,Accident,High,,21-01-2024,Accidents on Barges                            ,,,
INC409,R069,Port Security,High,,09-05-2023,,,,
INC410,R070,Accident,Medium,,17-07-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC411,R070,Port Security,High,,06-09-2023,,,,
INC412,R070,Piracy,High,,18-02-2024,,,,
INC413,R070,Attacks,High,,09-07-2023,,,,
INC414,R070,Piracy,Low,,29-03-2023,,,,
INC415,R070,Attacks,High,,21-01-2023,,,,
INC416,R070,Attacks,Low,,21-07-2022,,,,
INC417,R070,Port Security,Low,,01-10-2023,,,,
INC418,R070,Delay,Medium,,11-03-2023,,,,
INC419,R071,Piracy,High,,22-06-2024,,,,
INC420,R071,Theft,Low,,23-12-2023,Container theft,,,
INC421,R072,Accident,Medium,,24-12-2022,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC422,R072,Piracy,High,,03-01-2024,,,,
INC423,R072,Natural Disaster,High,,15-01-2023,,,,
INC424,R073,Attacks,Medium,,24-05-2023,,,,
INC425,R073,Attacks,Low,,02-01-2023,,,,
INC426,R073,Piracy,High,,06-12-2022,,,,
INC427,R073,Piracy,Low,,07-07-2023,,,,
INC428,R073,Port Security,High,,09-04-2024,,,,
INC429,R073,Port Security,Low,,12-05-2023,,,,
INC430,R074,Piracy,Low,,09-05-2023,,,,
INC431,R074,Port Security,High,,12-06-2023,,,,
INC432,R074,Accident,High,,01-10-2023,Offshore Oil Rig Mishaps,,,
INC433,R074,Delay,High,,02-06-2023,,,,
INC434,R074,Natural Disaster,High,,23-01-2024,,,,
INC435,R074,Piracy,Low,,14-08-2023,,,,
INC436,R075,Natural Disaster,High,,12-06-2024,,,,
INC437,R075,Natural Disaster,Medium,,01-05-2024,,,,
INC438,R075,Delay,Low,,23-09-2023,,,,
INC439,R075,Accident,High,,15-12-2023,Accidents on Barges                            ,,,
INC440,R075,Accident,Low,,05-04-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC441,R075,Piracy,Medium,,17-07-2023,,,,
INC442,R075,Accident,Low,,10-08-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC443,R075,Accident,Low,,05-09-2023,Accidents on Crude Oil Tankers and Cargo Ships ,,,
INC444,R076,Delay,High,,17-06-2023,,,,
INC445,R076,Attacks,Low,,25-12-2023,,,,
INC446,R076,Natural Disaster,Low,,09-03-2023,,,,
INC447,R076,Natural Disaster,Medium,,22-07-2022,,,,
INC448,R076,Piracy,High,,20-01-2023,,,,
INC449,R076,Theft,High,,19-09-2022,Cargo theft,,,
INC450,R076,Accident,High,,22-08-2022,Offshore Oil Rig Mishaps                       ,,,
INC451,R077,Accident,Low,,15-03-2024,Accidents on Barges                            ,,,
INC452,R077,Accident,Medium,,08-04-2024,Offshore Oil Rig Mishaps                       ,,,
