RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Risk_Category
75,PortB,PortX,0,0,1,33,1,29,1512,17,regular,clear,676,342494,non-compliant,yes,in place,hazardous,bulk carrier,14,339520,29,Low
76,PortB,PortZ,0,0,4,63,1,20,1585,17,regular,clear,776,377683,non-compliant,yes,in place,hazardous,container,16,320996,33,Medium
77,PortB,PortY,0,1,2,94,2,20,1638,13,regular,congested areas,942,309395,non-compliant,yes,not in place,hazardous,container,5,313836,25,Low
78,PortB,PortX,1,3,5,10,2,18,1535,12,irregular,congested areas,747,500850,non-compliant,no,not in place,hazardous,bulk carrier,11,309261,49,Medium
79,PortC,PortY,0,2,2,88,1,16,1426,14,irregular,clear,700,386403,non-compliant,yes,not in place,hazardous,container,8,497139,34,Medium
80,PortC,PortY,1,1,4,76,2,23,1334,13,irregular,clear,845,149413,non-compliant,no,not in place,non-hazardous,container,8,313629,5,Low
81,PortA,PortY,1,2,2,15,0,16,1517,14,irregular,congested areas,716,394896,compliant,no,not in place,non-hazardous,container,4,354967,35,Medium
82,PortB,PortY,0,3,0,87,1,20,1285,17,irregular,congested areas,691,339353,compliant,yes,in place,hazardous,container,9,344123,28,Low
83,PortA,PortY,1,4,0,64,0,18,915,14,irregular,clear,627,358980,non-compliant,yes,not in place,hazardous,container,11,299498,31,Medium
84,PortC,PortX,0,0,3,47,0,21,1587,14,regular,congested areas,624,338407,non-compliant,no,not in place,non-hazardous,bulk carrier,12,357950,28,Low
85,PortA,PortY,0,2,3,42,1,21,1680,15,regular,clear,657,432390,non-compliant,no,in place,non-hazardous,container,11,356535,40,Medium
86,PortC,PortX,0,1,4,17,2,24,1027,16,irregular,clear,896,457473,compliant,no,in place,non-hazardous,container,17,357975,43,Medium
87,PortB,PortZ,1,2,4,99,0,17,1298,10,irregular,congested areas,733,385848,non-compliant,no,not in place,hazardous,bulk carrier,7,264076,34,Medium
88,PortA,PortY,1,4,6,88,1,18,1623,13,irregular,congested areas,930,339324,compliant,no,in place,non-hazardous,bulk carrier,2,329387,29,Low
89,PortA,PortY,1,0,4,87,0,16,1911,15,irregular,congested areas,848,367994,compliant,yes,in place,non-hazardous,bulk carrier,14,426032,32,Medium
90,PortA,PortZ,0,2,0,29,0,18,1504,17,irregular,clear,637,368168,non-compliant,no,in place,non-hazardous,container,11,332018,32,Medium
91,PortA,PortX,0,4,2,64,0,21,1354,14,regular,clear,989,304114,compliant,yes,not in place,hazardous,container,11,366178,24,Low
92,PortB,PortY,0,1,5,57,0,23,1463,11,regular,clear,674,414649,non-compliant,no,not in place,non-hazardous,bulk carrier,8,366703,38,Medium
93,PortC,PortZ,1,3,6,92,2,16,1774,16,regular,congested areas,741,406390,non-compliant,yes,not in place,hazardous,bulk carrier,16,391739,37,Medium
94,PortC,PortZ,0,1,6,65,0,23,1370,13,regular,congested areas,921,493528,non-compliant,no,in place,non-hazardous,bulk carrier,9,405865,48,Medium
95,PortB,PortY,0,0,6,97,0,25,1340,12,regular,clear,767,467057,compliant,yes,not in place,non-hazardous,bulk carrier,7,332584,44,Medium
96,PortC,PortX,1,1,4,19,0,21,1403,13,regular,clear,858,308089,non-compliant,yes,not in place,hazardous,bulk carrier,20,258866,25,Low
97,PortA,PortX,1,1,4,61,2,27,1309,14,regular,congested areas,972,427030,compliant,no,in place,non-hazardous,container,15,228128,39,Medium
98,PortB,PortY,1,1,0,59,0,16,1524,13,regular,clear,954,296512,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,451768,23,Low
99,PortC,PortZ,0,1,5,43,0,15,1824,10,irregular,congested areas,824,427025,non-compliant,no,in place,non-hazardous,container,0,427025,40,Medium
100,PortB,PortY,0,0,0,45,2,12,1564,16,irregular,congested areas,751,329417,non-compliant,no,in place,hazardous,container,10,414936,27,Low
101,PortB,PortX,0,4,5,70,2,25,1449,17,regular,clear,618,289695,non-compliant,yes,in place,hazardous,bulk carrier,11,431120,22,Low
102,PortC,PortZ,1,2,0,25,2,22,1441,16,regular,clear,745,389095,non-compliant,yes,in place,hazardous,bulk carrier,19,333844,35,Medium
103,PortC,PortY,1,3,2,88,0,19,1187,12,regular,clear,840,150410,compliant,no,not in place,non-hazardous,bulk carrier,3,287512,5,Low
104,PortB,PortZ,1,2,4,27,2,21,1676,14,irregular,clear,971,222519,non-compliant,no,not in place,hazardous,bulk carrier,19,251959,14,Low
105,PortB,PortX,1,2,1,80,2,15,1484,14,irregular,clear,980,347853,non-compliant,no,not in place,non-hazardous,bulk carrier,14,241065,30,Low
106,PortC,PortX,0,3,1,56,0,29,1463,16,regular,congested areas,943,380156,non-compliant,yes,in place,non-hazardous,container,5,471215,34,Medium
107,PortB,PortX,0,0,4,95,2,20,2138,16,irregular,clear,836,335488,compliant,yes,not in place,non-hazardous,bulk carrier,16,300685,28,Low
108,PortC,PortY,0,3,6,41,0,20,1559,13,regular,congested areas,634,246419,non-compliant,no,not in place,non-hazardous,bulk carrier,10,455485,17,Low
109,PortB,PortZ,0,0,4,52,1,22,1349,15,regular,clear,789,301134,non-compliant,yes,in place,non-hazardous,container,3,331311,24,Low
110,PortB,PortY,0,2,4,92,2,21,1414,15,regular,clear,600,395415,non-compliant,yes,in place,non-hazardous,bulk carrier,9,282375,35,Medium
111,PortB,PortY,0,0,4,49,1,20,1729,17,regular,clear,752,408570,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,240563,37,Medium
112,PortC,PortY,0,4,6,74,0,16,1522,16,regular,clear,725,363261,compliant,no,in place,non-hazardous,bulk carrier,12,291184,31,Medium
113,PortA,PortY,0,3,5,44,2,21,1212,16,irregular,clear,944,467137,non-compliant,no,not in place,hazardous,container,15,491823,44,Medium
114,PortC,PortZ,1,4,2,78,0,27,1683,15,regular,clear,999,393870,compliant,yes,in place,hazardous,bulk carrier,17,241578,35,Medium
115,PortB,PortZ,1,2,1,59,1,25,1366,17,regular,congested areas,825,318287,compliant,yes,in place,non-hazardous,bulk carrier,6,561674,26,Low
116,PortA,PortY,0,3,3,21,0,26,1874,15,regular,clear,820,340856,compliant,no,not in place,hazardous,bulk carrier,11,265939,29,Low
117,PortA,PortY,1,2,1,85,2,17,1716,13,regular,clear,810,259020,compliant,yes,in place,hazardous,bulk carrier,8,424994,19,Low
118,PortB,PortX,0,4,1,94,2,16,1410,17,irregular,clear,624,358122,non-compliant,no,in place,hazardous,container,5,335474,31,Medium
119,PortC,PortX,0,2,6,67,1,19,1756,16,regular,clear,615,454865,non-compliant,no,in place,non-hazardous,bulk carrier,11,317944,43,Medium
120,PortA,PortZ,1,3,0,92,0,20,1513,14,regular,congested areas,781,415966,compliant,no,not in place,hazardous,container,14,222857,38,Medium
121,PortA,PortX,0,3,4,72,2,24,1670,14,irregular,congested areas,928,479168,compliant,no,not in place,non-hazardous,bulk carrier,14,340160,46,Medium
122,PortC,PortZ,0,2,4,82,1,13,1596,15,regular,congested areas,728,337477,compliant,no,not in place,hazardous,bulk carrier,10,234171,28,Low
123,PortC,PortZ,0,3,4,58,2,26,1330,15,regular,congested areas,641,466780,non-compliant,no,in place,hazardous,bulk carrier,6,181842,44,Medium
124,PortA,PortZ,0,3,0,45,2,19,1371,15,regular,congested areas,935,352633,compliant,no,in place,hazardous,container,8,361959,30,Medium
125,PortC,PortX,0,2,6,63,0,18,1705,15,regular,congested areas,835,482049,compliant,yes,in place,non-hazardous,bulk carrier,2,286457,46,Medium
126,PortA,PortX,0,4,2,56,2,15,1433,18,irregular,clear,959,374173,compliant,no,in place,non-hazardous,bulk carrier,6,518434,33,Medium
127,PortB,PortZ,0,3,2,41,0,13,1419,17,regular,clear,633,429078,compliant,yes,not in place,non-hazardous,container,6,450002,40,Medium
128,PortC,PortZ,1,3,6,62,2,23,1308,15,regular,congested areas,944,493996,compliant,yes,not in place,non-hazardous,bulk carrier,16,519743,48,Medium
129,PortA,PortY,1,3,3,41,1,20,1584,16,irregular,clear,980,348621,non-compliant,yes,in place,non-hazardous,bulk carrier,16,281911,30,Low
130,PortC,PortZ,0,3,2,71,2,14,1912,12,regular,clear,644,385651,compliant,no,not in place,non-hazardous,bulk carrier,22,363613,34,Medium
131,PortC,PortZ,1,2,6,46,0,14,1286,15,regular,clear,733,457505,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,87932,43,Medium
132,PortA,PortY,0,4,2,47,0,18,1504,18,irregular,clear,620,355450,non-compliant,no,not in place,non-hazardous,container,9,321819,30,Medium
133,PortB,PortZ,0,4,4,39,1,26,1782,14,regular,clear,721,262321,non-compliant,no,in place,non-hazardous,container,12,359849,19,Low
134,PortA,PortZ,0,0,5,67,2,18,1484,13,irregular,congested areas,669,539710,non-compliant,yes,not in place,hazardous,container,11,365404,53,Medium
135,PortC,PortZ,0,3,6,41,2,13,1590,13,regular,congested areas,951,329707,non-compliant,yes,not in place,hazardous,bulk carrier,8,345763,27,Low
136,PortA,PortY,1,3,1,75,1,19,1287,12,irregular,congested areas,960,380533,compliant,yes,not in place,non-hazardous,bulk carrier,13,356659,34,Medium
137,PortC,PortX,1,0,2,60,2,18,1585,13,regular,congested areas,647,446414,non-compliant,yes,not in place,hazardous,bulk carrier,12,78675,42,Medium
138,PortA,PortZ,1,4,2,20,2,9,1462,14,regular,congested areas,638,320101,non-compliant,no,not in place,hazardous,bulk carrier,11,375622,26,Low
139,PortB,PortY,1,1,0,68,0,19,1697,12,irregular,congested areas,886,289287,compliant,yes,in place,non-hazardous,container,10,398343,22,Low
140,PortB,PortZ,0,1,3,29,2,19,1737,15,regular,clear,609,394489,non-compliant,yes,not in place,non-hazardous,bulk carrier,15,483802,35,Medium
141,PortB,PortY,1,4,5,46,2,22,2017,16,irregular,congested areas,629,225897,compliant,yes,not in place,hazardous,container,9,386873,15,Low
142,PortB,PortZ,0,3,0,82,1,27,1615,13,irregular,clear,843,343813,compliant,yes,in place,non-hazardous,bulk carrier,9,336926,29,Low
143,PortA,PortY,0,1,4,58,1,24,1565,18,irregular,clear,873,392627,compliant,yes,not in place,hazardous,bulk carrier,14,460494,35,Medium
144,PortB,PortX,1,2,1,28,0,18,1538,16,irregular,congested areas,687,334117,compliant,no,in place,non-hazardous,container,17,114266,28,Low
145,PortA,PortX,0,2,3,64,2,15,1429,17,regular,congested areas,843,241449,compliant,no,in place,hazardous,bulk carrier,16,298505,16,Low
146,PortC,PortX,1,0,0,49,2,30,1567,13,irregular,congested areas,980,491205,non-compliant,no,in place,non-hazardous,container,10,273419,48,Medium
147,PortC,PortZ,1,4,6,16,2,20,1440,16,regular,clear,928,375610,compliant,yes,in place,hazardous,container,5,346547,33,Medium
148,PortC,PortY,1,4,2,14,0,20,1533,12,regular,congested areas,614,470998,compliant,yes,not in place,hazardous,bulk carrier,10,130130,45,Medium
149,PortB,PortZ,1,1,2,51,0,19,1763,16,irregular,congested areas,603,353295,non-compliant,no,not in place,hazardous,container,12,481963,30,Medium
150,PortB,PortZ,1,3,3,97,1,20,1298,15,irregular,congested areas,790,295849,non-compliant,no,in place,hazardous,container,6,325019,23,Low
151,PortB,PortY,0,4,2,57,0,19,1727,16,regular,clear,767,390628,non-compliant,no,not in place,non-hazardous,bulk carrier,10,381879,35,Medium
152,PortC,PortZ,1,1,6,16,2,17,1763,12,irregular,congested areas,608,351352,non-compliant,no,in place,hazardous,container,18,372309,30,Medium
153,PortC,PortY,1,1,0,20,2,17,1476,13,regular,congested areas,708,279591,compliant,yes,not in place,non-hazardous,container,12,476248,21,Low
154,PortC,PortY,0,4,0,82,0,19,1075,16,irregular,clear,736,475772,non-compliant,yes,not in place,hazardous,bulk carrier,9,163804,45,Medium
155,PortC,PortX,1,1,2,58,2,17,1378,13,regular,clear,753,318279,compliant,yes,in place,non-hazardous,container,12,361232,26,Low
156,PortA,PortX,1,0,2,39,2,17,1759,15,regular,clear,987,226009,non-compliant,no,not in place,hazardous,bulk carrier,12,464617,15,Low
157,PortA,PortX,0,0,4,50,0,20,1495,12,irregular,congested areas,808,473263,non-compliant,no,in place,non-hazardous,container,10,340201,45,Medium
158,PortB,PortY,0,4,1,12,0,18,1300,16,regular,congested areas,871,322399,non-compliant,no,not in place,hazardous,bulk carrier,15,254873,26,Low
159,PortB,PortX,1,3,3,95,2,26,1399,12,regular,clear,742,315854,non-compliant,yes,not in place,hazardous,bulk carrier,2,289610,26,Low
160,PortC,PortY,0,0,0,49,2,9,1668,16,irregular,congested areas,698,224304,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,310705,14,Low
161,PortA,PortZ,1,0,3,60,2,24,1609,16,irregular,clear,976,503170,compliant,no,in place,hazardous,bulk carrier,9,277894,49,Medium
162,PortA,PortX,0,4,4,93,1,24,1452,13,irregular,clear,907,263577,compliant,yes,in place,hazardous,bulk carrier,17,334718,19,Low
163,PortB,PortY,1,2,0,41,1,11,1426,16,irregular,clear,668,379717,compliant,no,in place,hazardous,container,5,500824,33,Medium
164,PortA,PortY,1,1,4,57,1,18,1421,15,irregular,clear,846,437522,non-compliant,no,not in place,hazardous,bulk carrier,16,290263,41,Medium
165,PortB,PortY,1,0,4,80,0,18,1315,13,regular,clear,860,398798,compliant,no,in place,non-hazardous,bulk carrier,8,301232,36,Medium
166,PortC,PortY,0,2,5,80,1,14,1823,12,regular,congested areas,875,365026,non-compliant,yes,in place,hazardous,container,13,395978,32,Medium
167,PortC,PortX,1,3,2,29,0,16,1435,11,irregular,congested areas,678,230492,non-compliant,no,in place,non-hazardous,bulk carrier,9,332517,15,Low
168,PortB,PortX,0,2,6,98,0,15,1743,15,regular,congested areas,745,296076,compliant,no,not in place,non-hazardous,container,17,217081,23,Low
169,PortC,PortX,1,4,5,44,1,27,1804,11,regular,congested areas,710,382218,compliant,yes,not in place,non-hazardous,container,11,343881,34,Medium
170,PortC,PortY,1,3,3,33,1,23,1699,15,regular,clear,857,304031,non-compliant,no,not in place,non-hazardous,bulk carrier,8,340110,24,Low
171,PortA,PortZ,1,3,6,49,1,25,1413,14,regular,congested areas,692,388647,non-compliant,no,not in place,hazardous,container,18,447567,35,Medium
172,PortA,PortY,1,2,3,86,2,22,1580,16,regular,clear,612,417178,compliant,yes,in place,hazardous,container,10,252784,38,Medium
173,PortA,PortZ,1,4,2,61,1,15,1495,14,irregular,clear,859,449411,non-compliant,no,not in place,non-hazardous,container,14,448231,42,Medium
174,PortA,PortX,0,0,6,48,2,17,1319,14,irregular,congested areas,708,268916,compliant,no,in place,hazardous,bulk carrier,16,340216,20,Low
175,PortA,PortY,0,2,5,77,0,21,1564,16,regular,congested areas,929,537691,compliant,no,not in place,hazardous,container,7,239205,53,Medium
176,PortB,PortY,0,0,3,70,2,15,1264,15,regular,clear,788,422354,non-compliant,yes,in place,non-hazardous,bulk carrier,14,219122,39,Medium
177,PortB,PortX,1,2,5,85,1,22,1737,15,irregular,congested areas,694,377034,non-compliant,no,in place,non-hazardous,bulk carrier,14,543438,33,Medium
178,PortA,PortY,1,0,2,90,0,19,1407,15,irregular,congested areas,704,453863,non-compliant,no,not in place,non-hazardous,container,4,334008,43,Medium
179,PortC,PortZ,0,2,6,74,0,18,1540,11,irregular,congested areas,607,561415,non-compliant,no,in place,hazardous,bulk carrier,13,443650,56,Medium
180,PortC,PortZ,1,3,6,71,0,22,1556,16,irregular,congested areas,666,243861,compliant,yes,in place,non-hazardous,container,10,179188,17,Low
181,PortB,PortZ,1,1,0,90,2,21,1448,16,regular,clear,790,362667,non-compliant,yes,in place,non-hazardous,container,20,613769,31,Medium
182,PortB,PortY,1,3,4,11,1,18,1617,12,irregular,clear,965,181691,compliant,yes,in place,hazardous,bulk carrier,16,439324,9,Low
183,PortB,PortY,0,0,4,15,0,24,1405,14,irregular,congested areas,855,381634,compliant,no,not in place,hazardous,bulk carrier,14,324455,34,Medium
184,PortC,PortZ,0,4,5,84,0,15,1674,14,regular,clear,608,395200,non-compliant,yes,not in place,hazardous,bulk carrier,1,319383,35,Medium
185,PortB,PortY,0,3,6,52,0,22,1230,14,irregular,clear,716,368040,compliant,no,in place,hazardous,container,14,423459,32,Medium
186,PortC,PortZ,0,1,3,91,2,22,1525,15,irregular,congested areas,866,318523,non-compliant,yes,not in place,hazardous,container,8,417718,26,Low
187,PortB,PortX,0,0,5,49,2,18,1887,17,irregular,congested areas,698,204451,non-compliant,yes,in place,hazardous,container,16,368252,12,Low
188,PortC,PortZ,1,3,5,98,1,21,1299,17,irregular,clear,897,397437,compliant,yes,in place,hazardous,bulk carrier,11,351087,36,Medium
