RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Risk_Category
R0011,Adelaide,Piraeus,0,4,6,77,2,20,1295,14,irregular,clear,779,195153,829022,compliant,no,in place,non-hazardous,container,5,507538,10,Low
R0012,Perth,Alexandria,0,1,0,48,2,23,1870,13,regular,congested areas,852,394521,1201580,non-compliant,yes,in place,hazardous,container,10,352879,36,Medium
R0013,Wellington,Port Sudan,0,4,5,10,0,13,1744,15,regular,congested areas,725,346263,884729,non-compliant,yes,in place,hazardous,container,14,361821,29,Low
R0014,Prince Rupert,Jebel Ali,0,4,5,50,2,22,1616,20,regular,congested areas,776,441743,752768,compliant,yes,in place,hazardous,container,15,282580,41,Medium
R0015,San Pedro,Mumbai (Bombay),1,3,2,54,1,17,1454,15,regular,congested areas,636,285514,982860,compliant,no,in place,hazardous,container,10,467754,22,Low
R0016,Everett,Visakhapatnam,1,1,3,97,0,22,1308,14,irregular,congested areas,698,316907,878691,compliant,yes,in place,hazardous,bulk carrier,14,328742,26,Low
R0017,Wilmington,Chittagong,0,4,4,97,1,16,1425,16,irregular,congested areas,697,244373,824619,compliant,no,not in place,hazardous,container,13,297913,17,Low
R0018,Mobile,Fremantle,0,1,3,88,1,12,1717,15,regular,congested areas,726,279253,785619,non-compliant,yes,not in place,non-hazardous,container,11,191924,21,Low
R0019,Corpus Christi,Adelaide,0,2,0,90,1,13,1876,15,regular,clear,767,272635,1365256,non-compliant,no,in place,hazardous,container,14,343889,20,Low
R0020,Baltimore,Perth,0,2,4,22,1,20,1808,16,irregular,clear,679,444417,912267,non-compliant,yes,in place,hazardous,bulk carrier,7,294794,42,Medium
R0021,Miami,Wellington,0,2,2,80,0,21,1402,19,regular,clear,893,320061,661164,non-compliant,yes,in place,hazardous,bulk carrier,12,518457,26,Low
R0022,Houston,Prince Rupert,1,4,0,18,0,16,1276,12,irregular,congested areas,932,386653,1174056,non-compliant,yes,not in place,non-hazardous,bulk carrier,3,534389,34,Medium
R0023,Callao,San Pedro,1,2,4,72,1,22,1528,15,regular,congested areas,725,330862,1041660,non-compliant,no,not in place,non-hazardous,container,11,226471,27,Low
R0024,San Antonio,Everett,1,3,4,32,1,13,1146,13,regular,clear,942,260332,835030,non-compliant,yes,not in place,hazardous,container,19,237784,19,Low
R0025,Buenaventura,Wilmington,0,3,3,63,0,19,1564,16,irregular,congested areas,909,352654,810032,compliant,no,not in place,non-hazardous,container,10,322368,30,Medium
R0026,Shanghai,Los Angeles,0,4,0,56,0,15,1470,13,regular,congested areas,749,411348,1051020,compliant,yes,not in place,non-hazardous,container,18,268396,37,Medium
R0027,Singapore,Rotterdam,1,1,2,48,0,17,1406,14,irregular,congested areas,615,271966,912962,compliant,yes,not in place,non-hazardous,container,10,371741,20,Low
R0028,Busan,Long Beach,1,0,2,96,2,20,1181,14,irregular,congested areas,627,430595,661103,compliant,yes,in place,hazardous,bulk carrier,6,317337,40,Medium
R0029,Rotterdam,Hamburg,0,1,0,35,2,16,1602,16,irregular,congested areas,772,300924,1218085,compliant,no,not in place,non-hazardous,container,15,378053,24,Low
R0030,Yokohama,Shenzhen,1,1,0,10,2,18,1393,16,irregular,congested areas,645,333941,884901,compliant,no,not in place,non-hazardous,container,14,451609,28,Low
R0031,Ningbo-Zhoushan,New York,1,1,5,23,1,24,1266,12,irregular,congested areas,927,404633,1174335,compliant,no,not in place,non-hazardous,bulk carrier,23,243577,37,Medium
R0032,Qingdao,Tokyo,0,1,1,83,2,17,925,15,irregular,congested areas,835,319401,1141765,compliant,yes,in place,hazardous,bulk carrier,7,449521,26,Low
R0033,Tianjin,Tanjung Pelepas,1,0,3,74,1,23,1494,13,regular,congested areas,813,366862,799848,non-compliant,no,not in place,non-hazardous,bulk carrier,13,277134,32,Medium
R0034,Hong Kong,Kaohsiung,1,2,0,78,1,15,1854,12,irregular,congested areas,684,353067,1104978,compliant,no,in place,hazardous,bulk carrier,13,564848,30,Medium
R0035,Jebel Ali,Algeciras,1,1,0,76,2,22,1832,14,irregular,congested areas,881,385954,852283,compliant,yes,in place,non-hazardous,bulk carrier,17,512097,34,Medium
R0036,Dubai,Singapore,0,3,1,58,1,25,1408,14,regular,congested areas,831,176475,669994,compliant,yes,not in place,hazardous,container,14,338691,8,Low
R0037,Port Kelang,Colombo,1,4,1,59,2,10,1379,19,irregular,clear,684,216307,886310,non-compliant,no,not in place,hazardous,container,10,253641,13,Low
R0038,Tanjung Pelepas,Los Angeles,1,4,4,67,2,16,1593,15,regular,congested areas,664,411003,1009645,compliant,no,not in place,hazardous,container,6,234513,37,Medium
R0039,Jakarta,Shenzhen,1,3,6,62,0,22,1300,12,irregular,congested areas,733,454842,880589,non-compliant,yes,in place,hazardous,container,13,437362,43,Medium
R0040,Bangkok,Haiphong,0,1,2,66,2,19,1560,13,irregular,clear,750,294509,903942,non-compliant,no,not in place,hazardous,container,13,346959,23,Low
R0041,Manila,Yokohama,0,0,3,95,0,21,1653,17,irregular,clear,714,352612,1121534,compliant,yes,in place,non-hazardous,bulk carrier,15,442686,30,Medium
R0042,Kaohsiung,Los Angeles,1,2,4,27,2,17,1745,19,regular,clear,663,402098,965974,non-compliant,yes,in place,non-hazardous,container,10,570422,36,Medium
R0043,Valencia,Genoa,0,4,0,25,2,20,1479,11,regular,congested areas,942,419105,823505,compliant,no,not in place,non-hazardous,container,13,272961,38,Medium
R0044,Barcelona,Algeciras,1,2,1,11,0,19,1459,11,irregular,congested areas,962,199135,1055304,compliant,no,not in place,hazardous,bulk carrier,4,226986,11,Low
R0045,Santos,Ningbo-Zhoushan,0,0,5,22,0,24,1324,18,irregular,clear,951,297579,979651,compliant,yes,not in place,hazardous,bulk carrier,6,369256,23,Low
R0046,Gioia Tauro,Piraeus,0,4,2,54,2,21,1334,15,regular,clear,757,346617,571759,non-compliant,no,in place,hazardous,container,16,464475,29,Low
R0047,Felixstowe,Rotterdam,1,2,4,89,1,21,1454,13,regular,clear,676,419048,1014252,compliant,yes,not in place,non-hazardous,container,12,255953,38,Medium
R0048,Southampton,Algeciras,1,0,5,81,0,18,1573,16,regular,congested areas,745,567547,1008774,compliant,no,in place,hazardous,bulk carrier,14,353462,57,Medium
R0049,Bremerhaven,New York,1,2,2,52,1,18,1682,9,irregular,congested areas,942,356109,953018,compliant,yes,not in place,hazardous,container,9,487004,31,Medium
R0050,Le Havre,Singapore,0,1,6,81,1,18,1339,15,regular,clear,824,246777,1083755,non-compliant,no,in place,hazardous,bulk carrier,8,186712,17,Low
R0051,Antwerp,Hamburg,1,0,6,63,1,21,1798,15,regular,congested areas,912,400858,849140,non-compliant,no,not in place,hazardous,container,9,373531,36,Medium
R0052,Genoa,Barcelona,0,2,5,83,0,18,1445,16,regular,congested areas,702,470479,1000474,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,295989,45,Medium
R0053,Piraeus,Alexandria,0,1,1,40,1,21,1495,12,regular,clear,946,376761,714956,non-compliant,no,in place,hazardous,bulk carrier,15,362415,33,Medium
R0054,Salalah,Jebel Ali,1,1,4,85,0,28,1350,15,regular,clear,900,298517,1011063,compliant,yes,in place,hazardous,bulk carrier,10,420978,23,Low
R0055,Dammam,Jeddah,0,0,4,18,1,23,1015,13,regular,clear,687,445243,1242958,compliant,no,not in place,hazardous,container,3,372080,41,Medium
R0056,Mumbai (Bombay),Singapore,1,3,6,82,2,18,1676,15,regular,congested areas,970,415532,800771,non-compliant,no,in place,hazardous,bulk carrier,14,248977,38,Medium
R0057,Chennai (Madras),Colombo,0,4,2,57,2,24,1647,13,irregular,congested areas,902,282907,836029,compliant,no,in place,non-hazardous,bulk carrier,13,299875,22,Low
R0058,Colombo,Chittagong,1,0,5,27,0,18,1443,14,regular,congested areas,767,405147,843497,non-compliant,no,in place,hazardous,container,14,492659,37,Medium
R0059,Kelang,Jakarta,0,1,1,96,2,11,1513,13,irregular,congested areas,769,448925,969499,compliant,yes,in place,non-hazardous,container,16,382893,42,Medium
R0060,Brisbane,Singapore,0,1,0,20,2,15,1603,16,irregular,congested areas,734,466252,790544,compliant,yes,not in place,non-hazardous,container,15,434031,44,Medium
R0061,Melbourne,Shanghai,1,0,4,71,1,12,1187,16,regular,clear,649,363435,1013187,non-compliant,no,in place,hazardous,bulk carrier,18,375029,31,Medium
R0062,Sydney,Long Beach,0,3,0,93,0,18,1394,14,irregular,congested areas,939,342899,1077025,non-compliant,yes,not in place,hazardous,bulk carrier,12,430911,29,Low
R0063,Auckland,Brisbane,1,4,1,28,1,20,1658,15,irregular,congested areas,946,463701,1030152,compliant,yes,not in place,non-hazardous,bulk carrier,9,310385,44,Medium
R0064,Vancouver,Yokohama,0,2,6,99,1,26,1249,12,regular,clear,733,266849,684737,non-compliant,no,not in place,hazardous,container,17,273248,19,Low
R0065,Seattle,Busan,0,0,4,83,1,21,1558,14,irregular,clear,946,406404,1099275,compliant,yes,in place,hazardous,container,16,426369,37,Medium
R0066,Long Beach,Hong Kong,0,4,4,33,1,19,1228,14,regular,clear,736,263534,1090605,compliant,yes,not in place,non-hazardous,bulk carrier,10,462737,19,Low
R0067,Oakland,Kaohsiung,1,4,5,22,1,23,1593,20,regular,clear,844,448158,1074524,compliant,no,not in place,non-hazardous,container,17,258571,42,Medium
R0068,Miami,Santos,1,1,0,55,1,11,1492,12,regular,congested areas,708,343976,1005926,compliant,no,not in place,non-hazardous,container,12,292405,29,Low
R0069,New Orleans,Progreso,1,2,6,62,1,20,1176,17,regular,congested areas,912,468170,983028,non-compliant,no,not in place,non-hazardous,bulk carrier,18,333677,44,Medium
R0070,Houston,Altamira,1,0,5,38,0,23,1732,16,regular,clear,886,414912,1104858,compliant,no,not in place,non-hazardous,bulk carrier,20,511982,38,Medium
R0071,New York,Bremerhaven,1,1,3,45,2,14,1353,15,regular,congested areas,620,272458,1238527,compliant,yes,in place,non-hazardous,container,25,406313,20,Low
R0072,Savannah,Antwerp,0,1,0,80,1,24,1337,18,regular,clear,689,474849,807043,compliant,no,not in place,hazardous,bulk carrier,12,217591,45,Medium
R0073,Norfolk,Rotterdam,0,3,0,26,1,21,1540,15,irregular,congested areas,895,491134,1111718,non-compliant,yes,in place,hazardous,container,19,340701,47,Medium
R0074,Charleston,Hamburg,1,4,3,57,1,18,1729,15,regular,congested areas,711,436853,937067,compliant,yes,not in place,hazardous,container,16,325412,41,Medium
R0075,Jacksonville,Valencia,0,0,1,86,1,22,1296,14,irregular,congested areas,900,300706,930549,non-compliant,no,not in place,hazardous,bulk carrier,16,232673,24,Low
R0076,Los Angeles,Yokohama,0,0,1,33,1,29,1512,17,regular,clear,676,342494,719520,non-compliant,yes,in place,hazardous,bulk carrier,14,339520,29,Low
R0077,San Diego,Ensenada,0,0,4,63,1,20,1585,17,regular,clear,776,377683,907281,non-compliant,yes,in place,hazardous,container,16,320996,33,Medium
R0078,Seattle,Incheon,0,1,2,94,2,20,1638,13,regular,congested areas,942,309395,800410,non-compliant,yes,not in place,hazardous,container,5,313836,25,Low
R0079,Tacoma,Keelung,1,3,5,10,2,18,1535,12,irregular,congested areas,747,500850,880421,non-compliant,no,not in place,hazardous,bulk carrier,11,309261,49,Medium
R0080,Portland,Yantian,0,2,2,88,1,16,1426,14,irregular,clear,700,386403,785272,non-compliant,yes,not in place,hazardous,container,8,497139,34,Medium
R0081,Oakland,Qingdao,1,1,4,76,2,23,1334,13,irregular,clear,845,149413,882663,non-compliant,no,not in place,non-hazardous,container,8,313629,5,Low
R0082,Long Beach,Ningbo-Zhoushan,1,2,2,15,0,16,1517,14,irregular,congested areas,716,394896,889083,compliant,no,not in place,non-hazardous,container,4,354967,35,Medium
R0083,Los Angeles,Tianjin,0,3,0,87,1,20,1285,17,irregular,congested areas,691,339353,964513,compliant,yes,in place,hazardous,container,9,344123,28,Low
R0084,Vancouver,Shanghai,1,4,0,64,0,18,915,14,irregular,clear,627,358980,707787,non-compliant,yes,not in place,hazardous,container,11,299498,31,Medium
R0085,Montreal,Antwerp,0,0,3,47,0,21,1587,14,regular,congested areas,624,338407,733172,non-compliant,no,not in place,non-hazardous,bulk carrier,12,357950,28,Low
R0086,Halifax,Southampton,0,2,3,42,1,21,1680,15,regular,clear,657,432390,1004287,non-compliant,no,in place,non-hazardous,container,11,356535,40,Medium
R0087,Rotterdam,Felixstowe,0,1,4,17,2,24,1027,16,irregular,clear,896,457473,830384,compliant,no,in place,non-hazardous,container,17,357975,43,Medium
R0088,Hamburg,Southampton,1,2,4,99,0,17,1298,10,irregular,congested areas,733,385848,1111179,non-compliant,no,not in place,hazardous,bulk carrier,7,264076,34,Medium
R0089,Antwerp,Tilbury,1,4,6,88,1,18,1623,13,irregular,congested areas,930,339324,983790,compliant,no,in place,non-hazardous,bulk carrier,2,329387,29,Low
R0090,Bremerhaven,Liverpool,1,0,4,87,0,16,1911,15,irregular,congested areas,848,367994,1041014,compliant,yes,in place,non-hazardous,bulk carrier,14,426032,32,Medium
R0091,Le Havre,Dunkerque,0,2,0,29,0,18,1504,17,irregular,clear,637,368168,1161603,non-compliant,no,in place,non-hazardous,container,11,332018,32,Medium
R0092,Sines,Algeciras,0,4,2,64,0,21,1354,14,regular,clear,989,304114,903543,compliant,yes,not in place,hazardous,container,11,366178,24,Low
R0093,Valencia,Tanger Med,0,1,5,57,0,23,1463,11,regular,clear,674,414649,863826,non-compliant,no,not in place,non-hazardous,bulk carrier,8,366703,38,Medium
R0094,Gioia Tauro,Valencia,1,3,6,92,2,16,1774,16,regular,congested areas,741,406390,1080755,non-compliant,yes,not in place,hazardous,bulk carrier,16,391739,37,Medium
R0095,Jeddah,Port Sudan,0,1,6,65,0,23,1370,13,regular,congested areas,921,493528,1026427,non-compliant,no,in place,non-hazardous,bulk carrier,9,405865,48,Medium
R0096,Mumbai (Bombay),Jebel Ali,0,0,6,97,0,25,1340,12,regular,clear,767,467057,921900,compliant,yes,not in place,non-hazardous,bulk carrier,7,332584,44,Medium
R0097,Visakhapatnam,Chennai (Madras),1,1,4,19,0,21,1403,13,regular,clear,858,308089,1158718,non-compliant,yes,not in place,hazardous,bulk carrier,20,258866,25,Low
R0098,Chittagong,Colombo,1,1,4,61,2,27,1309,14,regular,congested areas,972,427030,918163,compliant,no,in place,non-hazardous,container,15,228128,39,Medium
R0099,Fremantle,Singapore,1,1,0,59,0,16,1524,13,regular,clear,954,296512,954916,non-compliant,yes,not in place,non-hazardous,bulk carrier,11,451768,23,Low
R0100,Adelaide,Melbourne,0,1,5,43,0,15,1824,10,irregular,congested areas,824,427025,953183,non-compliant,no,in place,non-hazardous,container,0,427025,40,Medium
R0101,Perth,Singapore,0,0,0,45,2,12,1564,16,irregular,congested areas,751,329417,809810,non-compliant,no,in place,hazardous,container,10,414936,27,Low
R0102,Wellington,Melbourne,0,4,5,70,2,25,1449,17,regular,clear,618,289695,961637,non-compliant,yes,in place,hazardous,bulk carrier,11,431120,22,Low
R0103,Prince Rupert,Incheon,1,2,0,25,2,22,1441,16,regular,clear,745,389095,1159514,non-compliant,yes,in place,hazardous,bulk carrier,19,333844,35,Medium
R0104,San Pedro,Yokohama,1,3,2,88,0,19,1187,12,regular,clear,840,150410,1016745,compliant,no,not in place,non-hazardous,bulk carrier,3,287512,5,Low
R0105,Everett,Kaohsiung,1,2,4,27,2,21,1676,14,irregular,clear,971,222519,954659,non-compliant,no,not in place,hazardous,bulk carrier,19,251959,14,Low
R0106,Wilmington,Santos,1,2,1,80,2,15,1484,14,irregular,clear,980,347853,925734,non-compliant,no,not in place,non-hazardous,bulk carrier,14,241065,30,Low
R0107,Mobile,Progreso,0,3,1,56,0,29,1463,16,regular,congested areas,943,380156,999630,non-compliant,yes,in place,non-hazardous,container,5,471215,34,Medium
R0108,Corpus Christi,Altamira,0,0,4,95,2,20,2138,16,irregular,clear,836,335488,1062464,compliant,yes,not in place,non-hazardous,bulk carrier,16,300685,28,Low
R0109,Baltimore,Bremerhaven,0,3,6,41,0,20,1559,13,regular,congested areas,634,246419,1041385,non-compliant,no,not in place,non-hazardous,bulk carrier,10,455485,17,Low
R0110,Tacoma,Yokohama,0,0,4,52,1,22,1349,15,regular,clear,789,301134,900220,non-compliant,yes,in place,non-hazardous,container,3,331311,24,Low
R0111,Everett,Ningbo-Zhoushan,0,2,4,92,2,21,1414,15,regular,clear,600,395415,998717,non-compliant,yes,in place,non-hazardous,bulk carrier,9,282375,35,Medium
R0112,Seattle,Qingdao,0,0,4,49,1,20,1729,17,regular,clear,752,408570,1021990,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,240563,37,Medium
R0113,Portland,Tianjin,0,4,6,74,0,16,1522,16,regular,clear,725,363261,798920,compliant,no,in place,non-hazardous,bulk carrier,12,291184,31,Medium
R0114,Montreal,Rotterdam,0,3,5,44,2,21,1212,16,irregular,clear,944,467137,975234,non-compliant,no,not in place,hazardous,container,15,491823,44,Medium
R0115,Halifax,Hamburg,1,4,2,78,0,27,1683,15,regular,clear,999,393870,625804,compliant,yes,in place,hazardous,bulk carrier,17,241578,35,Medium
R0116,Felixstowe,Antwerp,1,2,1,59,1,25,1366,17,regular,congested areas,825,318287,1022380,compliant,yes,in place,non-hazardous,bulk carrier,6,561674,26,Low
R0117,Southampton,Le Havre,0,3,3,21,0,26,1874,15,regular,clear,820,340856,1049051,compliant,no,not in place,hazardous,bulk carrier,11,265939,29,Low
R0118,Tilbury,Dunkerque,1,2,1,85,2,17,1716,13,regular,clear,810,259020,1062131,compliant,yes,in place,hazardous,bulk carrier,8,424994,19,Low
R0119,Liverpool,Sines,0,4,1,94,2,16,1410,17,irregular,clear,624,358122,890742,non-compliant,no,in place,hazardous,container,5,335474,31,Medium
R0120,Dunkerque,Valencia,0,2,6,67,1,19,1756,16,regular,clear,615,454865,996357,non-compliant,no,in place,non-hazardous,bulk carrier,11,317944,43,Medium
R0121,Algeciras,Gioia Tauro,1,3,0,92,0,20,1513,14,regular,congested areas,781,415966,1163593,compliant,no,not in place,hazardous,container,14,222857,38,Medium
R0122,Tanger Med,Piraeus,0,3,4,72,2,24,1670,14,irregular,congested areas,928,479168,1162065,compliant,no,not in place,non-hazardous,bulk carrier,14,340160,46,Medium
R0123,Alexandria,Salalah,0,2,4,82,1,13,1596,15,regular,congested areas,728,337477,945624,compliant,no,not in place,hazardous,bulk carrier,10,234171,28,Low
R0124,Port Sudan,Jeddah,0,3,4,58,2,26,1330,15,regular,congested areas,641,466780,970897,non-compliant,no,in place,hazardous,bulk carrier,6,181842,44,Medium
R0125,Jebel Ali,Mumbai (Bombay),0,3,0,45,2,19,1371,15,regular,congested areas,935,352633,1116636,compliant,no,in place,hazardous,container,8,361959,30,Medium
R0126,Chennai (Madras),Visakhapatnam,0,2,6,63,0,18,1705,15,regular,congested areas,835,482049,724879,compliant,yes,in place,non-hazardous,bulk carrier,2,286457,46,Medium
R0127,Singapore,Fremantle,0,4,2,56,2,15,1433,18,irregular,clear,959,374173,901538,compliant,no,in place,non-hazardous,bulk carrier,6,518434,33,Medium
R0128,Melbourne,Adelaide,0,3,2,41,0,13,1419,17,regular,clear,633,429078,1150335,compliant,yes,not in place,non-hazardous,container,6,450002,40,Medium
R0129,Perth,Brisbane,1,3,6,62,2,23,1308,15,regular,congested areas,944,493996,1096280,compliant,yes,not in place,non-hazardous,bulk carrier,16,519743,48,Medium
R0130,Auckland,Fremantle,1,3,3,41,1,20,1584,16,irregular,clear,980,348621,1005389,non-compliant,yes,in place,non-hazardous,bulk carrier,16,281911,30,Low
R0131,Incheon,Prince Rupert,0,3,2,71,2,14,1912,12,regular,clear,644,385651,724125,compliant,no,not in place,non-hazardous,bulk carrier,22,363613,34,Medium
R0132,Yokohama,San Pedro,1,2,6,46,0,14,1286,15,regular,clear,733,457505,942513,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,87932,43,Medium
R0133,Kaohsiung,Everett,0,4,2,47,0,18,1504,18,irregular,clear,620,355450,861512,non-compliant,no,not in place,non-hazardous,container,9,321819,30,Medium
R0134,Santos,Wilmington,0,4,4,39,1,26,1782,14,regular,clear,721,262321,999655,non-compliant,no,in place,non-hazardous,container,12,359849,19,Low
R0135,Progreso,Mobile,0,0,5,67,2,18,1484,13,irregular,congested areas,669,539710,828597,non-compliant,yes,not in place,hazardous,container,11,365404,53,Medium
R0136,Altamira,Corpus Christi,0,3,6,41,2,13,1590,13,regular,congested areas,951,329707,796141,non-compliant,yes,not in place,hazardous,bulk carrier,8,345763,27,Low
R0137,Bremerhaven,Baltimore,1,3,1,75,1,19,1287,12,irregular,congested areas,960,380533,640270,compliant,yes,not in place,non-hazardous,bulk carrier,13,356659,34,Medium
R0138,Cartagena,Miami,1,0,2,60,2,18,1585,13,regular,congested areas,647,446414,1133270,non-compliant,yes,not in place,hazardous,bulk carrier,12,78675,42,Medium
R0139,Callao,Houston,1,4,2,20,2,9,1462,14,regular,congested areas,638,320101,890034,non-compliant,no,not in place,hazardous,bulk carrier,11,375622,26,Low
R0140,San Antonio,Los Angeles,1,1,0,68,0,19,1697,12,irregular,congested areas,886,289287,973571,compliant,yes,in place,non-hazardous,container,10,398343,22,Low
R0141,Buenaventura,Oakland,0,1,3,29,2,19,1737,15,regular,clear,609,394489,949664,non-compliant,yes,not in place,non-hazardous,bulk carrier,15,483802,35,Medium
R0142,Santos,New Orleans,1,4,5,46,2,22,2017,16,irregular,congested areas,629,225897,789884,compliant,yes,not in place,hazardous,container,9,386873,15,Low
R0143,Buenos Aires,Savannah,0,3,0,82,1,27,1615,13,irregular,clear,843,343813,761140,compliant,yes,in place,non-hazardous,bulk carrier,9,336926,29,Low
R0144,Rio Grande,Norfolk,0,1,4,58,1,24,1565,18,irregular,clear,873,392627,799202,compliant,yes,not in place,hazardous,bulk carrier,14,460494,35,Medium
R0145,Itaguai,Charleston,1,2,1,28,0,18,1538,16,irregular,congested areas,687,334117,841524,compliant,no,in place,non-hazardous,container,17,114266,28,Low
R0146,Manaus,Jacksonville,0,2,3,64,2,15,1429,17,regular,congested areas,843,241449,1004990,compliant,no,in place,hazardous,bulk carrier,16,298505,16,Low
R0147,Santos,Los Angeles,1,0,0,49,2,30,1567,13,irregular,congested areas,980,491205,830642,non-compliant,no,in place,non-hazardous,container,10,273419,48,Medium
R0148,Salina Cruz,San Diego,1,4,6,16,2,20,1440,16,regular,clear,928,375610,1211973,compliant,yes,in place,hazardous,container,5,346547,33,Medium
R0149,Incheon,Tacoma,1,4,2,14,0,20,1533,12,regular,congested areas,614,470998,1104072,compliant,yes,not in place,hazardous,bulk carrier,10,130130,45,Medium
R0150,Keelung,Everett,1,1,2,51,0,19,1763,16,irregular,congested areas,603,353295,1071253,non-compliant,no,not in place,hazardous,container,12,481963,30,Medium
R0151,Yantian,Portland,1,3,3,97,1,20,1298,15,irregular,congested areas,790,295849,932051,non-compliant,no,in place,hazardous,container,6,325019,23,Low
R0152,Qingdao,Oakland,0,4,2,57,0,19,1727,16,regular,clear,767,390628,1177142,non-compliant,no,not in place,non-hazardous,bulk carrier,10,381879,35,Medium
R0153,Ningbo-Zhoushan,Long Beach,1,1,6,16,2,17,1763,12,irregular,congested areas,608,351352,917299,non-compliant,no,in place,hazardous,container,18,372309,30,Medium
R0154,Tianjin,Los Angeles,1,1,0,20,2,17,1476,13,regular,congested areas,708,279591,945310,compliant,yes,not in place,non-hazardous,container,12,476248,21,Low
R0155,Shanghai,Vancouver,0,4,0,82,0,19,1075,16,irregular,clear,736,475772,975496,non-compliant,yes,not in place,hazardous,bulk carrier,9,163804,45,Medium
R0156,Antwerp,Montreal,1,1,2,58,2,17,1378,13,regular,clear,753,318279,1055273,compliant,yes,in place,non-hazardous,container,12,361232,26,Low
R0157,Southampton,Halifax,1,0,2,39,2,17,1759,15,regular,clear,987,226009,1045536,non-compliant,no,not in place,hazardous,bulk carrier,12,464617,15,Low
R0158,Dunkerque,Le Havre,0,0,4,50,0,20,1495,12,irregular,congested areas,808,473263,878731,non-compliant,no,in place,non-hazardous,container,10,340201,45,Medium
R0159,Algeciras,Sines,0,4,1,12,0,18,1300,16,regular,congested areas,871,322399,870050,non-compliant,no,not in place,hazardous,bulk carrier,15,254873,26,Low
R0160,Gioia Tauro,Alexandria,1,3,3,95,2,26,1399,12,regular,clear,742,315854,1045985,non-compliant,yes,not in place,hazardous,bulk carrier,2,289610,26,Low
R0161,Piraeus,Port Sudan,0,0,0,49,2,9,1668,16,irregular,congested areas,698,224304,1057285,non-compliant,yes,not in place,non-hazardous,bulk carrier,14,310705,14,Low
R0162,Jeddah,Jebel Ali,1,0,3,60,2,24,1609,16,irregular,clear,976,503170,890997,compliant,no,in place,hazardous,bulk carrier,9,277894,49,Medium
R0163,Mumbai (Bombay),Salalah,0,4,4,93,1,24,1452,13,irregular,clear,907,263577,711921,compliant,yes,in place,hazardous,bulk carrier,17,334718,19,Low
R0164,Wellington,Auckland,1,2,0,41,1,11,1426,16,irregular,clear,668,379717,918902,compliant,no,in place,hazardous,container,5,500824,33,Medium
R0165,Durban,Maputo,1,1,4,57,1,18,1421,15,irregular,clear,846,437522,1043528,non-compliant,no,not in place,hazardous,bulk carrier,16,290263,41,Medium
R0166,Lagos,Tema,1,0,4,80,0,18,1315,13,regular,clear,860,398798,1220812,compliant,no,in place,non-hazardous,bulk carrier,8,301232,36,Medium
R0167,Abidjan,Dakar,0,2,5,80,1,14,1823,12,regular,congested areas,875,365026,770306,non-compliant,yes,in place,hazardous,container,13,395978,32,Medium
